klass	lgbm_bin	pst_bin	n	lgbm_p	pst_p
Ground-truth non-viral	47	25	10	0.95	0.51
Ground-truth non-viral	47	26	6	0.95	0.53
Ground-truth non-viral	47	27	6	0.95	0.55
Ground-truth non-viral	47	28	6	0.95	0.57
Ground-truth non-viral	47	29	5	0.95	0.59
Ground-truth non-viral	47	30	9	0.95	0.61
Ground-truth non-viral	47	31	8	0.95	0.63
Ground-truth non-viral	47	32	11	0.95	0.65
Ground-truth non-viral	47	33	5	0.95	0.67
Ground-truth non-viral	47	34	6	0.95	0.69
Ground-truth non-viral	47	35	13	0.95	0.71
Ground-truth non-viral	47	36	9	0.95	0.73
Ground-truth non-viral	47	37	12	0.95	0.75
Ground-truth non-viral	47	38	6	0.95	0.77
Ground-truth non-viral	47	39	7	0.95	0.79
Ground-truth non-viral	47	40	10	0.95	0.81
Ground-truth non-viral	47	41	6	0.95	0.83
Ground-truth non-viral	47	42	15	0.95	0.85
Ground-truth non-viral	47	43	8	0.95	0.87
Ground-truth non-viral	47	44	15	0.95	0.89
Ground-truth non-viral	47	45	26	0.95	0.91
Ground-truth non-viral	47	46	6	0.95	0.93
Ground-truth non-viral	47	47	41	0.95	0.95
Ground-truth non-viral	47	48	5	0.95	0.97
Ground-truth non-viral	47	49	180	0.95	0.99
Ground-truth non-viral	48	0	672	0.97	0.01
Ground-truth non-viral	48	1	3	0.97	0.03
Ground-truth non-viral	48	2	81	0.97	0.05
Ground-truth non-viral	48	3	11	0.97	0.07
Ground-truth non-viral	48	4	34	0.97	0.09
Ground-truth non-viral	48	5	17	0.97	0.11
Ground-truth non-viral	48	6	11	0.97	0.13
Ground-truth non-viral	48	7	17	0.97	0.15
Ground-truth non-viral	48	8	15	0.97	0.17
Ground-truth non-viral	48	9	10	0.97	0.19
Ground-truth non-viral	48	10	13	0.97	0.21
Ground-truth non-viral	48	11	10	0.97	0.23
Ground-truth non-viral	48	12	6	0.97	0.25
Ground-truth non-viral	48	13	10	0.97	0.27
Ground-truth non-viral	48	14	6	0.97	0.29
Ground-truth non-viral	48	15	3	0.97	0.31
Ground-truth non-viral	48	16	4	0.97	0.33
Ground-truth non-viral	48	17	2	0.97	0.35
Ground-truth non-viral	48	18	4	0.97	0.37
Ground-truth non-viral	48	19	5	0.97	0.39
Ground-truth non-viral	48	20	8	0.97	0.41
Ground-truth non-viral	48	21	10	0.97	0.43
Ground-truth non-viral	48	22	6	0.97	0.45
Ground-truth non-viral	48	23	10	0.97	0.47
Ground-truth non-viral	48	24	8	0.97	0.49
Ground-truth non-viral	48	25	3	0.97	0.51
Ground-truth non-viral	48	26	10	0.97	0.53
Ground-truth non-viral	48	27	6	0.97	0.55
Ground-truth non-viral	48	28	8	0.97	0.57
Ground-truth non-viral	48	29	5	0.97	0.59
Ground-truth non-viral	48	30	9	0.97	0.61
Ground-truth non-viral	48	31	4	0.97	0.63
Ground-truth non-viral	48	32	8	0.97	0.65
Ground-truth non-viral	48	33	3	0.97	0.67
Ground-truth non-viral	48	34	7	0.97	0.69
Ground-truth non-viral	48	35	8	0.97	0.71
Ground-truth non-viral	48	36	6	0.97	0.73
Ground-truth non-viral	48	37	6	0.97	0.75
Ground-truth non-viral	48	38	5	0.97	0.77
Ground-truth non-viral	48	39	4	0.97	0.79
Ground-truth non-viral	48	40	14	0.97	0.81
Ground-truth non-viral	48	41	10	0.97	0.83
Ground-truth non-viral	48	42	7	0.97	0.85
Ground-truth non-viral	48	43	10	0.97	0.87
Ground-truth non-viral	48	44	16	0.97	0.89
Ground-truth non-viral	48	45	14	0.97	0.91
Ground-truth non-viral	48	46	9	0.97	0.93
Ground-truth non-viral	48	47	42	0.97	0.95
Ground-truth non-viral	48	48	7	0.97	0.97
Ground-truth non-viral	48	49	250	0.97	0.99
Ground-truth non-viral	49	0	524	0.99	0.01
Ground-truth non-viral	49	1	9	0.99	0.03
Ground-truth non-viral	49	2	63	0.99	0.05
Ground-truth non-viral	49	3	6	0.99	0.07
Ground-truth non-viral	49	4	24	0.99	0.09
Ground-truth non-viral	49	5	18	0.99	0.11
Ground-truth non-viral	49	6	16	0.99	0.13
Ground-truth non-viral	49	7	17	0.99	0.15
Ground-truth non-viral	49	8	7	0.99	0.17
Ground-truth non-viral	49	9	8	0.99	0.19
Ground-truth non-viral	49	10	11	0.99	0.21
Ground-truth non-viral	49	11	8	0.99	0.23
Ground-truth non-viral	49	12	10	0.99	0.25
Ground-truth non-viral	49	13	9	0.99	0.27
Ground-truth non-viral	49	14	9	0.99	0.29
Ground-truth non-viral	49	15	13	0.99	0.31
Ground-truth non-viral	49	16	14	0.99	0.33
Ground-truth non-viral	49	17	3	0.99	0.35
Ground-truth non-viral	49	18	10	0.99	0.37
Ground-truth non-viral	49	19	4	0.99	0.39
Ground-truth non-viral	49	20	5	0.99	0.41
Ground-truth non-viral	49	21	10	0.99	0.43
Ground-truth non-viral	49	22	7	0.99	0.45
Ground-truth non-viral	49	23	8	0.99	0.47
Ground-truth non-viral	49	24	13	0.99	0.49
Ground-truth non-viral	49	25	12	0.99	0.51
Ground-truth non-viral	49	26	10	0.99	0.53
Ground-truth non-viral	49	27	9	0.99	0.55
Ground-truth non-viral	49	28	9	0.99	0.57
Ground-truth non-viral	49	29	5	0.99	0.59
Ground-truth non-viral	49	30	10	0.99	0.61
Ground-truth non-viral	49	31	7	0.99	0.63
Ground-truth non-viral	49	32	10	0.99	0.65
Ground-truth non-viral	49	33	13	0.99	0.67
Ground-truth non-viral	49	34	9	0.99	0.69
Ground-truth non-viral	49	35	15	0.99	0.71
Ground-truth non-viral	49	36	5	0.99	0.73
Ground-truth non-viral	49	37	15	0.99	0.75
Ground-truth non-viral	49	38	9	0.99	0.77
Ground-truth non-viral	49	39	8	0.99	0.79
Ground-truth non-viral	49	40	15	0.99	0.81
Ground-truth non-viral	49	41	13	0.99	0.83
Ground-truth non-viral	49	42	25	0.99	0.85
Ground-truth non-viral	49	43	16	0.99	0.87
Ground-truth non-viral	49	44	18	0.99	0.89
Ground-truth non-viral	49	45	26	0.99	0.91
Ground-truth non-viral	49	46	11	0.99	0.93
Ground-truth non-viral	49	47	79	0.99	0.95
Ground-truth non-viral	49	48	7	0.99	0.97
Ground-truth non-viral	49	49	523	0.99	0.99
Ground-truth viral	0	0	785	0.01	0.01
Ground-truth viral	0	1	5	0.01	0.03
Ground-truth viral	0	2	130	0.01	0.05
Ground-truth viral	0	3	16	0.01	0.07
Ground-truth viral	0	4	35	0.01	0.09
Ground-truth viral	0	5	31	0.01	0.11
Ground-truth viral	0	6	29	0.01	0.13
Ground-truth viral	0	7	27	0.01	0.15
Ground-truth viral	0	8	17	0.01	0.17
Ground-truth viral	0	9	25	0.01	0.19
Ground-truth viral	0	10	15	0.01	0.21
Ground-truth viral	0	11	10	0.01	0.23
Ground-truth viral	0	12	26	0.01	0.25
Ground-truth viral	0	13	10	0.01	0.27
Ground-truth viral	0	14	16	0.01	0.29
Ground-truth viral	0	15	14	0.01	0.31
Ground-truth viral	0	16	22	0.01	0.33
Ground-truth viral	0	17	10	0.01	0.35
Ground-truth viral	0	18	19	0.01	0.37
Ground-truth viral	0	19	17	0.01	0.39
Ground-truth viral	0	20	13	0.01	0.41
Ground-truth viral	0	21	12	0.01	0.43
Ground-truth viral	0	22	20	0.01	0.45
Ground-truth viral	0	23	17	0.01	0.47
Ground-truth viral	0	24	20	0.01	0.49
Ground-truth viral	0	25	12	0.01	0.51
Ground-truth viral	0	26	8	0.01	0.53
Ground-truth viral	0	27	16	0.01	0.55
Ground-truth viral	0	28	15	0.01	0.57
Ground-truth viral	0	29	21	0.01	0.59
Ground-truth viral	0	30	17	0.01	0.61
Ground-truth viral	0	31	19	0.01	0.63
Ground-truth viral	0	32	16	0.01	0.65
Ground-truth viral	0	33	23	0.01	0.67
Ground-truth viral	0	34	21	0.01	0.69
Ground-truth viral	0	35	26	0.01	0.71
Ground-truth viral	0	36	24	0.01	0.73
Ground-truth viral	0	37	34	0.01	0.75
Ground-truth viral	0	38	40	0.01	0.77
Ground-truth viral	0	39	37	0.01	0.79
Ground-truth viral	0	40	38	0.01	0.81
Ground-truth viral	0	41	22	0.01	0.83
Ground-truth viral	0	42	49	0.01	0.85
Ground-truth viral	0	43	44	0.01	0.87
Ground-truth viral	0	44	63	0.01	0.89
Ground-truth viral	0	45	83	0.01	0.91
Ground-truth viral	0	46	32	0.01	0.93
Ground-truth viral	0	47	253	0.01	0.95
Ground-truth viral	0	48	30	0.01	0.97
Ground-truth viral	0	49	1965	0.01	0.99
Ground-truth viral	1	0	165	0.03	0.01
Ground-truth viral	1	1	2	0.03	0.03
Ground-truth viral	1	2	43	0.03	0.05
Ground-truth viral	1	3	5	0.03	0.07
Ground-truth viral	1	4	15	0.03	0.09
Ground-truth viral	1	5	14	0.03	0.11
Ground-truth viral	1	6	13	0.03	0.13
Ground-truth viral	1	7	11	0.03	0.15
Ground-truth viral	1	8	8	0.03	0.17
Ground-truth viral	1	9	19	0.03	0.19
Ground-truth viral	1	10	12	0.03	0.21
Ground-truth viral	1	11	12	0.03	0.23
Ground-truth viral	1	12	15	0.03	0.25
Ground-truth viral	1	13	11	0.03	0.27
Ground-truth viral	1	14	14	0.03	0.29
Ground-truth viral	1	15	15	0.03	0.31
Ground-truth viral	1	16	7	0.03	0.33
Ground-truth viral	1	17	9	0.03	0.35
Ground-truth viral	1	18	11	0.03	0.37
Ground-truth viral	1	19	10	0.03	0.39
Ground-truth viral	1	20	9	0.03	0.41
Ground-truth viral	1	21	9	0.03	0.43
Ground-truth viral	1	22	13	0.03	0.45
Ground-truth viral	1	23	8	0.03	0.47
Ground-truth viral	1	24	12	0.03	0.49
Ground-truth viral	1	25	14	0.03	0.51
Ground-truth viral	1	26	14	0.03	0.53
Ground-truth viral	1	27	6	0.03	0.55
Ground-truth viral	1	28	9	0.03	0.57
Ground-truth viral	1	29	13	0.03	0.59
Ground-truth viral	1	30	15	0.03	0.61
Ground-truth viral	1	31	7	0.03	0.63
Ground-truth viral	1	32	13	0.03	0.65
Ground-truth viral	1	33	27	0.03	0.67
Ground-truth viral	1	34	16	0.03	0.69
Ground-truth viral	1	35	18	0.03	0.71
Ground-truth viral	1	36	14	0.03	0.73
Ground-truth viral	1	37	21	0.03	0.75
Ground-truth viral	1	38	21	0.03	0.77
Ground-truth viral	1	39	29	0.03	0.79
Ground-truth viral	1	40	38	0.03	0.81
Ground-truth viral	1	41	23	0.03	0.83
Ground-truth viral	1	42	47	0.03	0.85
Ground-truth viral	1	43	37	0.03	0.87
Ground-truth viral	1	44	50	0.03	0.89
Ground-truth viral	1	45	85	0.03	0.91
Ground-truth viral	1	46	37	0.03	0.93
Ground-truth viral	1	47	205	0.03	0.95
Ground-truth viral	1	48	25	0.03	0.97
Ground-truth viral	1	49	1901	0.03	0.99
Ground-truth viral	2	0	112	0.05	0.01
Ground-truth viral	2	1	2	0.05	0.03
Ground-truth viral	2	2	36	0.05	0.05
Ground-truth viral	2	3	3	0.05	0.07
Ground-truth viral	2	4	15	0.05	0.09
Ground-truth viral	2	5	13	0.05	0.11
Ground-truth viral	2	6	12	0.05	0.13
Ground-truth viral	2	7	14	0.05	0.15
Ground-truth viral	2	8	13	0.05	0.17
Ground-truth viral	2	9	5	0.05	0.19
Ground-truth viral	2	10	8	0.05	0.21
Ground-truth viral	2	11	4	0.05	0.23
Ground-truth viral	2	12	4	0.05	0.25
Ground-truth viral	2	13	5	0.05	0.27
Ground-truth viral	2	14	7	0.05	0.29
Ground-truth viral	2	15	6	0.05	0.31
Ground-truth viral	2	16	8	0.05	0.33
Ground-truth viral	2	17	7	0.05	0.35
Ground-truth viral	2	18	6	0.05	0.37
Ground-truth viral	2	19	8	0.05	0.39
Ground-truth viral	2	20	5	0.05	0.41
Ground-truth viral	2	21	7	0.05	0.43
Ground-truth viral	2	22	4	0.05	0.45
Ground-truth viral	2	23	3	0.05	0.47
Ground-truth viral	2	24	6	0.05	0.49
Ground-truth viral	2	25	12	0.05	0.51
Ground-truth viral	2	26	9	0.05	0.53
Ground-truth viral	2	27	10	0.05	0.55
Ground-truth viral	2	28	12	0.05	0.57
Ground-truth viral	2	29	8	0.05	0.59
Ground-truth viral	2	30	12	0.05	0.61
Ground-truth viral	2	31	7	0.05	0.63
Ground-truth viral	2	32	11	0.05	0.65
Ground-truth viral	2	33	8	0.05	0.67
Ground-truth viral	2	34	9	0.05	0.69
Ground-truth viral	2	35	15	0.05	0.71
Ground-truth viral	2	36	15	0.05	0.73
Ground-truth viral	2	37	16	0.05	0.75
Ground-truth viral	2	38	13	0.05	0.77
Ground-truth viral	2	39	24	0.05	0.79
Ground-truth viral	2	40	23	0.05	0.81
Ground-truth viral	2	41	18	0.05	0.83
Ground-truth viral	2	42	27	0.05	0.85
Ground-truth viral	2	43	23	0.05	0.87
Ground-truth viral	2	44	32	0.05	0.89
Ground-truth viral	2	45	59	0.05	0.91
Ground-truth viral	2	46	17	0.05	0.93
Ground-truth viral	2	47	156	0.05	0.95
Ground-truth viral	2	48	12	0.05	0.97
Ground-truth viral	2	49	1659	0.05	0.99
Ground-truth viral	3	0	99	0.07	0.01
Ground-truth viral	3	1	3	0.07	0.03
Ground-truth viral	3	2	35	0.07	0.05
Ground-truth viral	3	3	2	0.07	0.07
Ground-truth viral	3	4	14	0.07	0.09
Ground-truth viral	3	5	4	0.07	0.11
Ground-truth viral	3	6	6	0.07	0.13
Ground-truth viral	3	7	9	0.07	0.15
Ground-truth viral	3	8	8	0.07	0.17
Ground-truth viral	3	9	10	0.07	0.19
Ground-truth viral	3	10	4	0.07	0.21
Ground-truth viral	3	11	5	0.07	0.23
Ground-truth viral	3	12	3	0.07	0.25
Ground-truth viral	3	13	5	0.07	0.27
Ground-truth viral	3	14	5	0.07	0.29
Ground-truth viral	3	15	5	0.07	0.31
Ground-truth viral	3	16	6	0.07	0.33
Ground-truth viral	3	17	8	0.07	0.35
Ground-truth viral	3	18	5	0.07	0.37
Ground-truth viral	3	19	11	0.07	0.39
Ground-truth viral	3	20	11	0.07	0.41
Ground-truth viral	3	21	5	0.07	0.43
Ground-truth viral	3	22	7	0.07	0.45
Ground-truth viral	3	23	4	0.07	0.47
Ground-truth viral	3	24	4	0.07	0.49
Ground-truth viral	3	25	8	0.07	0.51
Ground-truth viral	3	26	8	0.07	0.53
Ground-truth viral	3	27	7	0.07	0.55
Ground-truth viral	3	28	9	0.07	0.57
Ground-truth viral	3	29	4	0.07	0.59
Ground-truth viral	3	30	6	0.07	0.61
Ground-truth viral	3	31	13	0.07	0.63
Ground-truth viral	3	32	9	0.07	0.65
Ground-truth viral	3	33	4	0.07	0.67
Ground-truth viral	3	34	6	0.07	0.69
Ground-truth viral	3	35	18	0.07	0.71
Ground-truth viral	3	36	8	0.07	0.73
Ground-truth viral	3	37	21	0.07	0.75
Ground-truth viral	3	38	18	0.07	0.77
Ground-truth viral	3	39	12	0.07	0.79
Ground-truth viral	3	40	18	0.07	0.81
Ground-truth viral	3	41	10	0.07	0.83
Ground-truth viral	3	42	23	0.07	0.85
Ground-truth viral	3	43	29	0.07	0.87
Ground-truth viral	3	44	24	0.07	0.89
Ground-truth viral	3	45	42	0.07	0.91
Ground-truth viral	3	46	17	0.07	0.93
Ground-truth viral	3	47	133	0.07	0.95
Ground-truth viral	3	48	8	0.07	0.97
Ground-truth viral	3	49	1452	0.07	0.99
Ground-truth viral	4	0	83	0.09	0.01
Ground-truth viral	4	1	3	0.09	0.03
Ground-truth viral	4	2	18	0.09	0.05
Ground-truth viral	4	3	4	0.09	0.07
Ground-truth viral	4	4	8	0.09	0.09
Ground-truth viral	4	5	10	0.09	0.11
Ground-truth viral	4	6	4	0.09	0.13
Ground-truth viral	4	7	4	0.09	0.15
Ground-truth viral	4	8	2	0.09	0.17
Ground-truth viral	4	9	6	0.09	0.19
Ground-truth viral	4	10	7	0.09	0.21
Ground-truth viral	4	11	3	0.09	0.23
Ground-truth viral	4	12	4	0.09	0.25
Ground-truth viral	4	13	5	0.09	0.27
Ground-truth viral	4	14	4	0.09	0.29
Ground-truth viral	4	15	8	0.09	0.31
Ground-truth viral	4	16	5	0.09	0.33
Ground-truth viral	4	17	2	0.09	0.35
Ground-truth viral	4	18	5	0.09	0.37
Ground-truth viral	4	19	7	0.09	0.39
Ground-truth viral	4	20	5	0.09	0.41
Ground-truth viral	4	21	6	0.09	0.43
Ground-truth viral	4	23	6	0.09	0.47
Ground-truth viral	4	24	2	0.09	0.49
Ground-truth viral	4	25	7	0.09	0.51
Ground-truth viral	4	26	7	0.09	0.53
Ground-truth viral	4	27	3	0.09	0.55
Ground-truth viral	4	28	9	0.09	0.57
Ground-truth viral	4	29	8	0.09	0.59
Ground-truth viral	4	30	13	0.09	0.61
Ground-truth viral	4	31	2	0.09	0.63
Ground-truth viral	4	32	9	0.09	0.65
Ground-truth viral	4	33	5	0.09	0.67
Ground-truth viral	4	34	6	0.09	0.69
Ground-truth viral	4	35	7	0.09	0.71
Ground-truth viral	4	36	7	0.09	0.73
Ground-truth viral	4	37	18	0.09	0.75
Ground-truth viral	4	38	15	0.09	0.77
Ground-truth viral	4	39	11	0.09	0.79
Ground-truth viral	4	40	18	0.09	0.81
Ground-truth viral	4	41	12	0.09	0.83
Ground-truth viral	4	42	19	0.09	0.85
Ground-truth viral	4	43	14	0.09	0.87
Ground-truth viral	4	44	21	0.09	0.89
Ground-truth viral	4	45	44	0.09	0.91
Ground-truth viral	4	46	10	0.09	0.93
Ground-truth viral	4	47	117	0.09	0.95
Ground-truth viral	4	48	17	0.09	0.97
Ground-truth viral	4	49	1379	0.09	0.99
Ground-truth viral	5	0	70	0.11	0.01
Ground-truth viral	5	1	1	0.11	0.03
Ground-truth viral	5	2	25	0.11	0.05
Ground-truth viral	5	3	3	0.11	0.07
Ground-truth viral	5	4	8	0.11	0.09
Ground-truth viral	5	5	9	0.11	0.11
Ground-truth viral	5	6	4	0.11	0.13
Ground-truth viral	5	7	5	0.11	0.15
Ground-truth viral	5	8	4	0.11	0.17
Ground-truth viral	5	9	8	0.11	0.19
Ground-truth viral	5	10	4	0.11	0.21
Ground-truth viral	5	11	2	0.11	0.23
Ground-truth viral	5	12	5	0.11	0.25
Ground-truth viral	5	13	5	0.11	0.27
Ground-truth viral	5	14	5	0.11	0.29
Ground-truth viral	5	15	4	0.11	0.31
Ground-truth viral	5	16	3	0.11	0.33
Ground-truth viral	5	17	5	0.11	0.35
Ground-truth viral	5	18	2	0.11	0.37
Ground-truth viral	5	19	6	0.11	0.39
Ground-truth viral	5	20	5	0.11	0.41
Ground-truth viral	5	21	4	0.11	0.43
Ground-truth viral	5	22	7	0.11	0.45
Ground-truth viral	5	23	7	0.11	0.47
Ground-truth viral	5	24	5	0.11	0.49
Ground-truth viral	5	25	5	0.11	0.51
Ground-truth viral	5	26	1	0.11	0.53
Ground-truth viral	5	27	8	0.11	0.55
Ground-truth viral	5	28	5	0.11	0.57
Ground-truth viral	5	29	7	0.11	0.59
Ground-truth viral	5	30	6	0.11	0.61
Ground-truth viral	5	31	6	0.11	0.63
Ground-truth viral	5	32	6	0.11	0.65
Ground-truth viral	5	33	8	0.11	0.67
Ground-truth viral	5	34	5	0.11	0.69
Ground-truth viral	5	35	9	0.11	0.71
Ground-truth viral	5	36	8	0.11	0.73
Ground-truth viral	5	37	10	0.11	0.75
Ground-truth viral	5	38	15	0.11	0.77
Ground-truth viral	5	39	12	0.11	0.79
Ground-truth viral	5	40	12	0.11	0.81
Ground-truth viral	5	41	10	0.11	0.83
Ground-truth viral	5	42	21	0.11	0.85
Ground-truth viral	5	43	18	0.11	0.87
Ground-truth viral	5	44	23	0.11	0.89
Ground-truth viral	5	45	33	0.11	0.91
Ground-truth viral	5	46	16	0.11	0.93
Ground-truth viral	5	47	101	0.11	0.95
Ground-truth viral	5	48	15	0.11	0.97
Ground-truth viral	5	49	1383	0.11	0.99
Ground-truth viral	6	0	40	0.13	0.01
Ground-truth viral	6	1	2	0.13	0.03
Ground-truth viral	6	2	19	0.13	0.05
Ground-truth viral	6	3	2	0.13	0.07
Ground-truth viral	6	4	4	0.13	0.09
Ground-truth viral	6	5	6	0.13	0.11
Ground-truth viral	6	6	3	0.13	0.13
Ground-truth viral	6	7	5	0.13	0.15
Ground-truth viral	6	8	4	0.13	0.17
Ground-truth viral	6	9	6	0.13	0.19
Ground-truth viral	6	10	1	0.13	0.21
Ground-truth viral	6	11	5	0.13	0.23
Ground-truth viral	6	12	2	0.13	0.25
Ground-truth viral	6	13	4	0.13	0.27
Ground-truth viral	6	14	3	0.13	0.29
Ground-truth viral	6	15	2	0.13	0.31
Ground-truth viral	6	16	2	0.13	0.33
Ground-truth viral	6	17	5	0.13	0.35
Ground-truth viral	6	18	5	0.13	0.37
Ground-truth viral	6	19	6	0.13	0.39
Ground-truth viral	6	20	5	0.13	0.41
Ground-truth viral	6	21	6	0.13	0.43
Ground-truth viral	6	22	3	0.13	0.45
Ground-truth viral	6	23	2	0.13	0.47
Ground-truth viral	6	24	3	0.13	0.49
Ground-truth viral	6	25	2	0.13	0.51
Ground-truth viral	6	26	4	0.13	0.53
Ground-truth viral	6	27	4	0.13	0.55
Ground-truth viral	6	28	3	0.13	0.57
Ground-truth viral	6	29	4	0.13	0.59
Ground-truth viral	6	30	2	0.13	0.61
Ground-truth viral	6	31	12	0.13	0.63
Ground-truth viral	6	32	6	0.13	0.65
Ground-truth viral	6	33	4	0.13	0.67
Ground-truth viral	6	34	10	0.13	0.69
Ground-truth viral	6	35	14	0.13	0.71
Ground-truth viral	6	36	3	0.13	0.73
Ground-truth viral	6	37	7	0.13	0.75
Ground-truth viral	6	38	9	0.13	0.77
Ground-truth viral	6	39	11	0.13	0.79
Ground-truth viral	6	40	17	0.13	0.81
Ground-truth viral	6	41	13	0.13	0.83
Ground-truth viral	6	42	14	0.13	0.85
Ground-truth viral	6	43	9	0.13	0.87
Ground-truth viral	6	44	22	0.13	0.89
Ground-truth viral	6	45	47	0.13	0.91
Ground-truth viral	6	46	14	0.13	0.93
Ground-truth viral	6	47	120	0.13	0.95
Ground-truth viral	6	48	5	0.13	0.97
Ground-truth viral	6	49	1391	0.13	0.99
Ground-truth viral	7	0	42	0.15	0.01
Ground-truth viral	7	2	15	0.15	0.05
Ground-truth viral	7	3	3	0.15	0.07
Ground-truth viral	7	4	4	0.15	0.09
Ground-truth viral	7	5	4	0.15	0.11
Ground-truth viral	7	6	2	0.15	0.13
Ground-truth viral	7	7	4	0.15	0.15
Ground-truth viral	7	8	5	0.15	0.17
Ground-truth viral	7	9	1	0.15	0.19
Ground-truth viral	7	10	3	0.15	0.21
Ground-truth viral	7	11	4	0.15	0.23
Ground-truth viral	7	12	3	0.15	0.25
Ground-truth viral	7	13	5	0.15	0.27
Ground-truth viral	7	14	4	0.15	0.29
Ground-truth viral	7	15	1	0.15	0.31
Ground-truth viral	7	16	4	0.15	0.33
Ground-truth viral	7	17	6	0.15	0.35
Ground-truth viral	7	18	3	0.15	0.37
Ground-truth viral	7	19	2	0.15	0.39
Ground-truth viral	7	20	5	0.15	0.41
Ground-truth viral	7	22	2	0.15	0.45
Ground-truth viral	7	23	3	0.15	0.47
Ground-truth viral	7	24	7	0.15	0.49
Ground-truth viral	7	25	2	0.15	0.51
Ground-truth viral	7	26	3	0.15	0.53
Ground-truth viral	7	27	8	0.15	0.55
Ground-truth viral	7	28	1	0.15	0.57
Ground-truth viral	7	29	5	0.15	0.59
Ground-truth viral	7	30	4	0.15	0.61
Ground-truth viral	7	31	4	0.15	0.63
Ground-truth viral	7	32	6	0.15	0.65
Ground-truth viral	7	33	3	0.15	0.67
Ground-truth viral	7	34	10	0.15	0.69
Ground-truth viral	7	35	17	0.15	0.71
Ground-truth viral	7	36	8	0.15	0.73
Ground-truth viral	7	37	6	0.15	0.75
Ground-truth viral	7	38	11	0.15	0.77
Ground-truth viral	7	39	11	0.15	0.79
Ground-truth viral	7	40	15	0.15	0.81
Ground-truth viral	7	41	8	0.15	0.83
Ground-truth viral	7	42	10	0.15	0.85
Ground-truth viral	7	43	19	0.15	0.87
Ground-truth viral	7	44	25	0.15	0.89
Ground-truth viral	7	45	29	0.15	0.91
Ground-truth viral	7	46	14	0.15	0.93
Ground-truth viral	7	47	111	0.15	0.95
Ground-truth viral	7	48	16	0.15	0.97
Ground-truth viral	7	49	1237	0.15	0.99
Ground-truth viral	8	0	43	0.17	0.01
Ground-truth viral	8	1	1	0.17	0.03
Ground-truth viral	8	2	20	0.17	0.05
Ground-truth viral	8	3	1	0.17	0.07
Ground-truth viral	8	4	6	0.17	0.09
Ground-truth viral	8	5	2	0.17	0.11
Ground-truth viral	8	6	2	0.17	0.13
Ground-truth viral	8	7	5	0.17	0.15
Ground-truth viral	8	8	9	0.17	0.17
Ground-truth viral	8	9	5	0.17	0.19
Ground-truth viral	8	10	3	0.17	0.21
Ground-truth viral	8	11	4	0.17	0.23
Ground-truth viral	8	12	3	0.17	0.25
Ground-truth viral	8	13	4	0.17	0.27
Ground-truth viral	8	14	4	0.17	0.29
Ground-truth viral	8	15	1	0.17	0.31
Ground-truth viral	8	16	3	0.17	0.33
Ground-truth viral	8	17	4	0.17	0.35
Ground-truth viral	8	18	2	0.17	0.37
Ground-truth viral	8	19	3	0.17	0.39
Ground-truth viral	8	20	3	0.17	0.41
Ground-truth viral	8	21	2	0.17	0.43
Ground-truth viral	8	22	3	0.17	0.45
Ground-truth viral	8	23	5	0.17	0.47
Ground-truth viral	8	24	5	0.17	0.49
Ground-truth viral	8	25	7	0.17	0.51
Ground-truth viral	8	26	2	0.17	0.53
Ground-truth viral	8	27	8	0.17	0.55
Ground-truth viral	8	28	2	0.17	0.57
Ground-truth viral	8	29	11	0.17	0.59
Ground-truth viral	8	30	10	0.17	0.61
Ground-truth viral	8	31	9	0.17	0.63
Ground-truth viral	8	32	9	0.17	0.65
Ground-truth viral	8	33	8	0.17	0.67
Ground-truth viral	8	34	9	0.17	0.69
Ground-truth viral	8	35	9	0.17	0.71
Ground-truth viral	8	36	5	0.17	0.73
Ground-truth viral	8	37	17	0.17	0.75
Ground-truth viral	8	38	20	0.17	0.77
Ground-truth viral	8	39	9	0.17	0.79
Ground-truth viral	8	40	12	0.17	0.81
Ground-truth viral	8	41	17	0.17	0.83
Ground-truth viral	8	42	17	0.17	0.85
Ground-truth viral	8	43	25	0.17	0.87
Ground-truth viral	8	44	19	0.17	0.89
Ground-truth viral	8	45	46	0.17	0.91
Ground-truth viral	8	46	15	0.17	0.93
Ground-truth viral	8	47	126	0.17	0.95
Ground-truth viral	8	48	16	0.17	0.97
Ground-truth viral	8	49	1502	0.17	0.99
Ground-truth viral	9	0	37	0.19	0.01
Ground-truth viral	9	2	15	0.19	0.05
Ground-truth viral	9	3	2	0.19	0.07
Ground-truth viral	9	4	5	0.19	0.09
Ground-truth viral	9	5	3	0.19	0.11
Ground-truth viral	9	6	2	0.19	0.13
Ground-truth viral	9	7	3	0.19	0.15
Ground-truth viral	9	8	2	0.19	0.17
Ground-truth viral	9	9	2	0.19	0.19
Ground-truth viral	9	10	4	0.19	0.21
Ground-truth viral	9	11	2	0.19	0.23
Ground-truth viral	9	13	2	0.19	0.27
Ground-truth viral	9	14	2	0.19	0.29
Ground-truth viral	9	15	4	0.19	0.31
Ground-truth viral	9	16	2	0.19	0.33
Ground-truth viral	9	17	2	0.19	0.35
Ground-truth viral	9	18	5	0.19	0.37
Ground-truth viral	9	19	4	0.19	0.39
Ground-truth viral	9	20	8	0.19	0.41
Ground-truth viral	9	21	4	0.19	0.43
Ground-truth viral	9	22	5	0.19	0.45
Ground-truth viral	9	23	2	0.19	0.47
Ground-truth viral	9	24	2	0.19	0.49
Ground-truth viral	9	25	6	0.19	0.51
