pfam_acc	hmmer_rejected	hmmer_supported	hmmer_borderline	total	frac_rejected
PF00923	27728	345	9	28082	0.9873940602521188
PF03446	24564	1762	1705	28031	0.8763155078306161
PF02800	27331	355	53	27739	0.9852914668877754
PF00682	26675	716	37	27428	0.9725463030479802
PF00722	27156	231	39	27426	0.990155327061912
PF03264	27067	77	220	27364	0.9891463236368951
PF04616	25671	591	197	26459	0.9702180732453985
PF01467	23505	2416	486	26407	0.8901048964289772
PF01557	25953	408	19	26380	0.9838134950720243
PF02812	25984	281	20	26285	0.9885486018641811
PF03171	26086	47	123	26256	0.9935252894576477
PF04940	26113	85	31	26229	0.9955774143124023
PF13501	26106	75	14	26195	0.9966024050391296
PF01208	25633	290	33	25956	0.987555863769456
PF06983	25801	58	15	25874	0.9971786349230888
PF00248	24969	851	24	25844	0.9661430119176598
PF02913	25397	305	45	25747	0.9864061832446499
PF05090	25626	24	7	25657	0.9987917527380442
PF10032	25486	0	11	25497	0.9995685766952975
PF00361	24111	1310	2	25423	0.9483931872713685
PF00206	24429	657	1	25087	0.9737712759596604
PF01288	24274	320	10	24604	0.9865875467403674
PF06463	24143	134	23	24300	0.9935390946502057
PF03824	24250	15	3	24268	0.9992582825119499
PF01663	22657	1115	410	24182	0.9369365643867339
PF02348	22188	1113	428	23729	0.9350583673985419
PF05222	23387	271	31	23689	0.9872514669255773
PF01734	22773	592	39	23404	0.973038796786874
PF00106	15589	4729	3054	23372	0.6669946945062468
PF07732	22849	157	28	23034	0.9919683945471911
PF00291	21345	1313	124	22782	0.9369238872794311
PF00119	22309	285	6	22600	0.9871238938053097
PF02672	22238	88	62	22388	0.9932999821332857
PF08770	22232	81	16	22329	0.9956558735276994
PF01126	22060	123	9	22192	0.9940519105984138
PF01408	18714	1997	627	21338	0.8770269003655451
PF00266	18029	2370	897	21296	0.8465909090909091
PF13442	17743	1535	1797	21075	0.8418979833926453
PF02911	20550	363	6	20919	0.9823605334863044
PF01048	19897	764	18	20679	0.9621838580202138
PF02779	19208	1134	43	20385	0.9422614667647781
PF04488	19834	374	36	20244	0.9797470855562141
PF01145	20012	101	21	20134	0.9939405979934439
PF03951	19803	242	81	20126	0.9839511080194773
PF00984	18916	1064	47	20027	0.9445248913966146
PF12139	19982	10	27	20019	0.9981517558319596
PF00122	17951	1273	65	19289	0.930634040126497
PF14489	18786	350	105	19241	0.9763525804272127
PF05191	18285	237	571	19093	0.9576808254334049
PF01451	18121	505	25	18651	0.9715832931210123
PF07977	17894	555	50	18499	0.9672955294880804
PF00551	17452	993	47	18492	0.9437594635518062
PF01242	16839	1029	27	17895	0.940989103101425
PF07700	17312	46	8	17366	0.9968904756420592
PF00317	16510	628	107	17245	0.9573789504204118
PF06442	17148	15	35	17198	0.9970926851959531
PF02801	15834	1067	139	17040	0.9292253521126761
PF02675	16442	388	12	16842	0.9762498515615723
PF02700	16691	93	29	16813	0.9927437102242312
PF08501	16288	304	15	16607	0.9807912326127537
PF03435	14916	273	1164	16353	0.9121262153733259
PF08545	15025	522	254	15801	0.9508891842288463
PF13385	11855	2990	515	15360	0.7718098958333334
PF04909	14861	399	96	15356	0.9677650429799427
PF00391	14547	444	56	15047	0.9667707848740613
PF01817	14480	220	74	14774	0.9801001759848382
PF00441	13480	1259	13	14752	0.9137744034707158
PF02780	13486	899	118	14503	0.9298765772598773
PF01144	14269	198	29	14496	0.9843405077262694
PF08541	12587	508	104	13199	0.9536328509735587
PF03477	12083	980	70	13133	0.9200487322013249
PF00543	11741	353	37	12131	0.9678509603495178
PF00223	11299	0	0	11299	1.0
PF00408	10523	671	72	11266	0.9340493520326647
PF14765	11203	8	15	11226	0.9979511847496882
PF01503	9943	1024	229	11196	0.8880850303679886
PF02468	10935	6	32	10973	0.996536954342477
PF01648	10207	425	30	10662	0.9573250797223786
PF00534	4133	5469	768	10370	0.3985535197685632
PF01066	9543	684	11	10238	0.9321156475874194
PF03460	9831	136	96	10063	0.9769452449567724
PF07884	9510	32	12	9554	0.9953945991207871
PF02152	9149	279	5	9433	0.969892929078766
PF00703	8385	651	38	9074	0.9240687679083095
PF01701	8763	7	24	8794	0.9964748692290197
PF00288	8004	709	46	8759	0.9138029455417285
PF02771	7440	1219	19	8678	0.8573404010140585
PF02915	7570	743	261	8574	0.8829017961278283
PF13417	7450	689	155	8294	0.8982396913431396
PF09489	7142	9	38	7189	0.993462233968563
PF00132	2191	3098	128	5417	0.4044674173896991
PF03703	2762	197	11	2970	0.92996632996633
PF00550	1771	1000	26	2797	0.633178405434394
