id,cutoff_full,cutoff_domain
HMMsoil230,118.8,118.7
HMMsoil231,48.5,48.4
HMMsoil232,291.4,291.2
HMMsoil233,80.8,80.7
HMMsoil234,255.3,255.2
HMMsoil235,288.1,287.9
HMMsoil236,99.2,99.1
HMMsoil237,344.6,344.4
HMMsoil239,138.9,138.7
HMMsoil240,241.4,241.3
HMMsoil243,87.4,87.3
HMMsoil244,98.4,98.3
HMMsoil245,182.1,181.9
HMMsoil246,322.8,322.6
HMMsoil247,182.5,182.4
HMMsoil248,753.3,753.1
HMMsoil249,171.0,170.9
HMMsoil250,86.9,86.7
HMMsoil251,176.3,175.1
HMMsoil253,317.9,317.8
HMMsoil254,440.9,440.8
HMMsoil255,496.2,496.1
HMMsoil256,30.6,30.6
HMMsoil257,86.3,86.2
HMMsoil259,68.3,68.2
HMMsoil260,126.6,126.5
HMMsoil261,113.6,113.5
HMMsoil262,549.6,549.5
HMMsoil263,78.5,78.4
HMMsoil264,220.8,220.6
HMMsoil265,126.3,126.1
HMMsoil266,342.7,342.6
HMMsoil267,243.6,243.4
HMMsoil268,216.6,216.5
HMMsoil269,135.5,135.4
HMMsoil441,81.6,81.5
HMMsoil442,181.2,181.1
HMMsoil443,146.7,146.5
HMMsoil444,273.0,272.8
HMMsoil447,80.6,80.5
HMMsoil448,356.5,356.3
HMMsoil451,221.1,110.7
HMMsoil452,340.2,340.1
HMMsoil379,161.6,161.4
HMMsoil380,253.3,253.1
HMMsoil381,188.5,188.3
HMMsoil382,114.6,114.5
HMMsoil383,112.1,112.0
HMMsoil384,992.7,992.6
HMMsoil385,48.7,48.6
HMMsoil386,538.7,538.6
HMMsoil387,135.4,135.3
HMMsoil388,134.4,134.3
HMMsoil389,27.8,27.7
HMMsoil390,167.4,167.3
HMMsoil391,296.0,295.9
HMMsoil392,136.0,135.9
HMMsoil393,142.3,142.2
HMMsoil394,148.2,148.1
HMMsoil395,378.6,378.5
HMMsoil396,160.4,160.2
HMMsoil397,310.9,310.8
HMMsoil398,623.0,622.8
HMMsoil399,432.6,314.7
HMMsoil400,199.3,199.1
HMMsoil405,115.0,114.8
HMMsoil406,370.9,370.7
HMMsoil407,64.4,64.3
HMMsoil408,279.9,279.8
HMMsoil409,199.2,199.0
HMMsoil410,251.4,251.2
HMMsoil411,293.0,292.8
HMMsoil414,975.3,975.2
HMMsoil415,701.2,701.1
HMMsoil416,134.3,134.2
HMMsoil418,315.7,315.5
HMMsoil419,254.2,128.9
HMMsoil420,42.9,42.8
HMMsoil421,352.9,352.8
HMMsoil422,330.1,330.0
HMMsoil424,420.4,420.3
HMMsoil425,191.5,191.3
HMMsoil426,46.5,46.5
HMMsoil427,206.1,206.0
HMMsoil428,190.3,190.1
HMMsoil429,230.7,230.6
HMMsoil430,796.1,795.9
HMMsoil431,74.0,73.9
HMMsoil434,693.9,693.8
HMMsoil435,427.3,427.1
HMMsoil436,236.0,235.5
HMMsoil440,314.4,314.3
HMMsoil354,106.8,106.6
HMMsoil355,46.8,46.8
HMMsoil356,312.7,312.6
HMMsoil357,18.9,18.9
HMMsoil358,16.1,16.1
HMMsoil359,307.3,307.2
HMMsoil360,247.9,247.7
HMMsoil361,347.6,347.4
HMMsoil362,179.9,179.8
HMMsoil363,205.0,204.9
HMMsoil364,184.9,184.8
HMMsoil365,396.4,396.2
HMMsoil366,116.3,116.2
HMMsoil367,275.0,274.9
HMMsoil368,171.6,171.5
HMMsoil369,455.7,455.5
HMMsoil370,598.2,598.0
HMMsoil371,614.4,614.3
HMMsoil372,397.0,396.9
HMMsoil373,145.2,145.1
HMMsoil374,177.1,176.9
HMMsoil375,400.3,400.2
HMMsoil376,218.1,217.9
HMMsoil377,100.7,99.1
HMMsoil378,586.7,586.5
HMMsoil543,209.8,209.7
HMMsoil544,461.3,461.2
HMMsoil545,324.7,324.5
HMMsoil546,76.2,76.1
HMMsoil547,422.0,421.9
HMMsoil548,369.2,369.0
HMMsoil549,137.4,137.2
HMMsoil550,146.8,146.6
HMMsoil551,214.3,214.1
HMMsoil552,151.7,151.6
HMMsoil553,198.5,198.3
HMMsoil554,135.0,134.8
HMMsoil555,412.0,411.9
HMMsoil556,86.1,86.0
HMMsoil482,40.3,40.3
HMMsoil483,141.0,140.9
HMMsoil484,149.1,148.9
HMMsoil485,213.4,213.3
HMMsoil486,37.9,37.9
HMMsoil487,108.4,108.3
HMMsoil488,243.1,122.3
HMMsoil490,413.5,413.4
HMMsoil491,424.8,424.6
HMMsoil492,665.7,665.6
HMMsoil493,902.2,902.0
HMMsoil494,55.5,55.4
HMMsoil495,12.0,12.0
HMMsoil496,125.2,125.1
HMMsoil497,776.6,776.4
HMMsoil499,97.2,97.1
HMMsoil500,408.5,408.3
HMMsoil501,141.7,141.6
HMMsoil503,314.4,314.3
HMMsoil504,299.2,299.1
HMMsoil505,454.9,454.8
HMMsoil506,240.0,239.9
HMMsoil507,82.2,82.1
HMMsoil508,148.2,148.1
HMMsoil509,164.6,164.5
HMMsoil510,405.5,405.3
HMMsoil511,288.1,287.9
HMMsoil512,311.0,310.8
HMMsoil513,229.5,229.4
HMMsoil515,379.7,379.5
HMMsoil517,277.5,277.4
HMMsoil518,495.6,495.5
HMMsoil519,682.1,682.0
HMMsoil520,124.0,123.9
HMMsoil521,179.4,179.3
HMMsoil522,266.0,265.9
HMMsoil523,51.5,51.4
HMMsoil524,113.9,113.8
HMMsoil525,223.4,219.4
HMMsoil528,25.4,25.4
HMMsoil529,141.7,141.6
HMMsoil530,614.7,614.6
HMMsoil531,308.8,308.7
HMMsoil532,99.0,98.9
HMMsoil533,171.1,170.9
HMMsoil535,129.1,129.0
HMMsoil536,185.9,185.8
HMMsoil537,125.2,125.1
HMMsoil538,272.1,271.9
HMMsoil540,174.1,174.0
HMMsoil541,47.0,46.9
HMMsoil542,186.0,185.9
HMMsoil453,483.4,483.3
HMMsoil455,152.3,152.2
HMMsoil457,423.5,423.3
HMMsoil458,87.5,87.4
HMMsoil460,74.1,57.5
HMMsoil461,228.8,227.0
HMMsoil462,79.7,79.6
HMMsoil463,81.3,81.2
HMMsoil464,647.7,646.5
HMMsoil465,128.9,128.7
HMMsoil466,151.8,151.7
HMMsoil467,899.4,899.3
HMMsoil468,209.3,209.1
HMMsoil469,618.5,618.3
HMMsoil470,59.9,59.8
HMMsoil471,460.7,460.6
HMMsoil473,29.7,29.7
HMMsoil474,484.3,484.1
HMMsoil475,262.2,262.1
HMMsoil476,84.1,84.0
HMMsoil478,743.0,742.8
HMMsoil479,206.1,205.9
HMMsoil480,302.6,302.5
HMMsoil481,136.7,136.6
HMMsoil270,77.7,77.7
HMMsoil271,861.8,861.6
HMMsoil272,200.3,101.7
HMMsoil273,71.6,71.5
HMMsoil275,748.8,748.6
HMMsoil276,219.6,219.4
HMMsoil277,165.8,165.6
HMMsoil278,414.6,414.5
HMMsoil279,183.0,182.9
HMMsoil280,188.3,188.1
HMMsoil281,208.1,208.0
HMMsoil282,247.5,247.3
HMMsoil283,28.4,28.3
HMMsoil284,204.2,204.1
HMMsoil285,630.3,630.1
HMMsoil286,108.7,108.6
HMMsoil287,126.8,126.7
HMMsoil288,130.2,130.1
HMMsoil289,157.6,157.5
HMMsoil290,290.3,290.2
HMMsoil291,39.8,39.8
HMMsoil292,164.2,164.0
HMMsoil293,224.9,224.8
HMMsoil294,227.5,227.4
HMMsoil295,189.0,188.8
HMMsoil297,247.1,246.9
HMMsoil298,433.8,433.7
HMMsoil299,80.6,80.5
HMMsoil300,90.8,90.7
HMMsoil301,257.1,257.0
HMMsoil303,43.8,43.8
HMMsoil302,785.6,785.4
HMMsoil304,218.5,218.3
HMMsoil305,99.6,99.5
HMMsoil306,518.1,517.9
HMMsoil307,192.2,192.0
HMMsoil308,145.5,145.3
HMMsoil309,214.8,214.6
HMMsoil310,239.5,239.4
HMMsoil311,309.5,309.4
HMMsoil312,100.1,100.0
HMMsoil313,156.5,156.3
HMMsoil314,586.8,586.7
HMMsoil315,176.4,176.3
HMMsoil316,187.1,186.9
HMMsoil317,512.7,512.5
HMMsoil318,211.7,211.5
HMMsoil319,266.7,266.5
HMMsoil320,131.5,131.3
HMMsoil321,219.3,219.1
HMMsoil322,139.1,138.9
HMMsoil323,80.1,79.9
HMMsoil324,87.8,84.8
HMMsoil325,212.8,212.7
HMMsoil326,572.1,572.0
HMMsoil327,660.6,660.5
HMMsoil328,118.2,118.1
HMMsoil329,218.0,214.9
HMMsoil330,47.8,47.8
HMMsoil331,160.2,160.0
HMMsoil332,595.4,595.2
HMMsoil333,396.3,396.1
HMMsoil334,350.1,350.0
HMMsoil335,159.9,159.8
HMMsoil336,180.7,180.6
HMMsoil337,340.8,340.7
HMMsoil338,149.8,149.7
HMMsoil339,192.6,192.5
HMMsoil340,185.1,183.4
HMMsoil341,440.6,440.4
HMMsoil342,231.6,231.4
HMMsoil343,60.9,60.8
HMMsoil344,202.7,202.6
HMMsoil345,296.3,295.7
HMMsoil346,341.7,341.5
HMMsoil347,63.7,63.5
HMMsoil348,29.6,29.6
HMMsoil349,44.4,44.3
HMMsoil350,171.8,171.6
HMMsoil351,88.4,88.3
HMMsoil352,180.1,180.0
HMMsoil353,249.1,249.0
HMMsoil636,205.6,205.5
HMMsoil637,137.0,136.9
HMMsoil638,253.8,253.6
HMMsoil639,597.7,597.6
HMMsoil640,285.8,285.6
HMMsoil641,212.5,212.4
HMMsoil642,148.6,148.4
HMMsoil643,178.1,178.0
HMMsoil644,188.7,188.5
HMMsoil645,210.8,210.7
HMMsoil646,272.7,272.6
HMMsoil647,142.2,142.1
HMMsoil557,156.7,156.6
HMMsoil558,235.5,235.4
HMMsoil559,226.9,226.7
HMMsoil560,183.2,183.1
HMMsoil561,183.1,182.9
HMMsoil562,219.1,219.0
HMMsoil563,159.6,159.5
HMMsoil564,185.2,185.1
HMMsoil565,617.1,617.0
HMMsoil566,121.3,121.2
HMMsoil567,241.3,240.1
HMMsoil568,45.3,45.2
HMMsoil569,163.7,163.5
HMMsoil570,73.0,72.9
HMMsoil571,243.2,243.0
HMMsoil572,101.2,101.1
HMMsoil573,410.7,410.5
HMMsoil574,182.9,182.7
HMMsoil575,243.2,121.2
HMMsoil576,251.0,250.8
HMMsoil577,349.5,349.4
HMMsoil578,177.0,176.8
HMMsoil579,78.2,78.1
HMMsoil580,697.3,697.1
HMMsoil581,55.4,55.2
HMMsoil582,111.4,111.3
HMMsoil583,140.3,140.2
HMMsoil584,65.8,65.8
HMMsoil585,217.7,217.6
HMMsoil586,53.4,53.3
HMMsoil588,216.0,215.9
HMMsoil697,321.0,320.9
HMMsoil698,130.0,129.8
HMMsoil699,268.0,267.9
HMMsoil700,151.1,150.9
HMMsoil701,352.9,352.8
HMMsoil702,127.3,127.2
HMMsoil703,107.6,107.5
HMMsoil704,283.3,283.1
HMMsoil705,100.0,99.8
HMMsoil706,118.6,118.4
HMMsoil707,511.4,511.3
HMMsoil587,122.4,122.3
HMMsoil589,166.4,166.3
HMMsoil590,308.9,308.8
HMMsoil591,97.6,74.7
HMMsoil592,222.6,222.5
HMMsoil593,260.4,260.3
HMMsoil594,222.6,222.4
HMMsoil595,184.6,184.5
HMMsoil596,91.7,91.5
HMMsoil597,622.7,622.6
HMMsoil598,282.1,282.0
HMMsoil599,332.9,332.8
HMMsoil600,450.1,449.9
HMMsoil601,241.0,240.9
HMMsoil602,123.0,122.8
HMMsoil603,222.0,221.8
HMMsoil604,279.7,279.5
HMMsoil605,253.6,253.5
HMMsoil606,389.4,389.2
HMMsoil607,294.2,294.1
HMMsoil608,168.1,168.0
HMMsoil609,201.1,200.9
HMMsoil610,110.6,110.1
HMMsoil611,180.3,180.2
HMMsoil613,620.3,620.1
HMMsoil614,227.9,227.8
HMMsoil615,44.0,44.0
HMMsoil616,252.1,252.0
HMMsoil617,194.2,194.0
HMMsoil618,473.7,473.6
HMMsoil619,387.1,387.0
HMMsoil620,380.4,380.1
HMMsoil621,185.5,185.4
HMMsoil622,137.6,137.4
HMMsoil623,143.3,143.1
HMMsoil624,99.9,99.8
HMMsoil625,200.3,200.1
HMMsoil626,113.8,113.7
HMMsoil627,768.7,768.5
HMMsoil628,510.0,509.8
HMMsoil629,356.9,356.8
HMMsoil630,236.5,236.4
HMMsoil631,233.7,233.6
HMMsoil632,234.7,234.6
HMMsoil633,169.7,169.6
HMMsoil634,542.6,542.5
HMMsoil635,147.4,147.2
HMMsoil756,496.0,495.8
HMMsoil757,447.9,447.8
HMMsoil759,292.0,291.9
HMMsoil761,213.0,212.9
HMMsoil762,214.6,214.4
HMMsoil763,168.4,168.3
HMMsoil764,640.1,640.0
HMMsoil765,84.4,84.2
HMMsoil768,134.3,134.2
HMMsoil769,214.8,214.6
HMMsoil770,127.9,127.8
HMMsoil648,140.6,140.0
HMMsoil649,215.6,215.5
HMMsoil650,135.4,134.6
HMMsoil652,631.1,631.0
HMMsoil653,295.2,295.1
HMMsoil654,180.9,99.8
HMMsoil655,195.1,195.0
HMMsoil656,83.5,83.4
HMMsoil657,37.9,37.8
HMMsoil658,128.0,127.8
HMMsoil659,365.2,365.1
HMMsoil660,179.3,179.1
HMMsoil661,271.3,271.1
HMMsoil662,242.9,242.7
HMMsoil663,115.8,115.6
HMMsoil664,601.6,601.5
HMMsoil665,197.6,197.5
HMMsoil666,145.0,144.9
HMMsoil668,210.4,210.3
HMMsoil669,127.6,127.5
HMMsoil670,240.6,240.5
HMMsoil671,159.2,159.1
HMMsoil672,159.6,159.5
HMMsoil673,114.3,113.6
HMMsoil674,971.3,971.2
HMMsoil675,653.2,653.0
HMMsoil676,87.8,87.7
HMMsoil677,315.0,314.8
HMMsoil678,197.1,197.0
HMMsoil679,348.2,348.0
HMMsoil680,199.8,199.7
HMMsoil681,186.9,186.7
HMMsoil682,224.1,223.9
HMMsoil683,146.7,146.6
HMMsoil684,215.2,215.1
HMMsoil685,131.5,131.4
HMMsoil686,494.0,493.8
HMMsoil687,112.9,112.7
HMMsoil688,103.1,102.9
HMMsoil689,662.1,662.0
HMMsoil690,651.2,651.1
HMMsoil691,291.2,291.1
HMMsoil692,591.8,591.7
HMMsoil693,215.5,215.3
HMMsoil694,27.9,27.8
HMMsoil695,313.3,313.1
HMMsoil696,255.8,255.7
HMMsoil802,447.7,447.5
HMMsoil803,409.9,409.7
HMMsoil804,142.5,142.4
HMMsoil805,254.1,253.9
HMMsoil807,322.7,322.6
HMMsoil810,164.3,164.1
HMMsoil811,76.2,76.2
HMMsoil812,694.9,694.8
HMMsoil813,626.7,626.5
HMMsoil815,82.2,82.1
HMMsoil708,312.5,312.3
HMMsoil709,155.7,155.6
HMMsoil710,156.6,156.5
HMMsoil711,421.1,421.0
HMMsoil712,670.0,669.8
HMMsoil713,159.3,159.2
HMMsoil714,314.1,314.0
HMMsoil715,329.8,329.7
HMMsoil716,107.9,107.8
HMMsoil717,419.5,419.3
HMMsoil718,44.9,44.8
HMMsoil719,239.0,238.9
HMMsoil720,173.3,173.1
HMMsoil721,220.3,220.2
HMMsoil722,418.2,418.0
HMMsoil724,127.4,127.3
HMMsoil725,746.4,746.2
HMMsoil726,34.9,34.9
HMMsoil727,160.5,160.4
HMMsoil728,282.5,282.3
HMMsoil729,132.6,132.5
HMMsoil730,441.6,441.5
HMMsoil731,164.1,164.0
HMMsoil732,81.0,80.9
HMMsoil733,94.5,94.4
HMMsoil734,276.8,276.6
HMMsoil735,351.4,351.2
HMMsoil736,93.4,93.3
HMMsoil740,220.9,220.7
HMMsoil741,371.9,371.8
HMMsoil743,191.6,191.4
HMMsoil745,223.2,223.1
HMMsoil747,270.6,270.4
HMMsoil748,39.4,39.3
HMMsoil749,762.9,762.7
HMMsoil751,101.5,101.4
HMMsoil752,510.2,510.1
HMMsoil753,144.0,143.9
HMMsoil754,263.6,263.4
HMMsoil755,88.1,88.0
HMMsoil771,392.0,390.7
HMMsoil772,342.5,342.4
HMMsoil773,146.6,146.5
HMMsoil775,315.8,315.7
HMMsoil776,366.3,366.1
HMMsoil777,161.2,161.1
HMMsoil778,29.0,29.0
HMMsoil779,171.0,170.9
HMMsoil781,547.4,547.2
HMMsoil782,142.9,142.8
HMMsoil783,42.9,42.9
HMMsoil784,165.0,164.8
HMMsoil787,75.7,74.1
HMMsoil788,84.2,84.1
HMMsoil789,106.6,106.5
HMMsoil790,485.4,485.2
HMMsoil792,423.7,423.6
HMMsoil793,113.7,113.6
HMMsoil795,80.3,80.2
HMMsoil796,382.4,382.2
HMMsoil797,616.6,616.5
HMMsoil798,111.3,111.1
HMMsoil799,138.4,138.3
HMMsoil800,156.7,156.6
HMMsoil801,82.4,82.3
HMMsoil849,199.1,199.0
HMMsoil850,998.9,998.8
HMMsoil851,327.4,327.3
HMMsoil852,361.8,361.6
HMMsoil853,289.4,289.3
HMMsoil855,139.2,139.1
HMMsoil856,417.9,417.8
HMMsoil857,324.4,162.8
HMMsoil858,301.6,301.5
HMMsoil859,46.4,46.4
HMMsoil860,829.0,828.8
HMMsoil861,133.9,126.6
HMMsoil862,110.3,110.2
HMMsoil863,128.8,128.7
HMMsoil864,169.1,168.9
HMMsoil865,471.4,471.2
HMMsoil866,284.0,283.9
HMMsoil867,264.6,264.4
HMMsoil868,180.2,180.1
HMMsoil869,166.9,166.8
HMMsoil870,150.2,150.0
HMMsoil871,59.8,59.7
HMMsoil872,139.6,139.5
HMMsoil873,54.0,53.9
HMMsoil874,467.9,467.7
HMMsoil875,510.6,510.4
HMMsoil876,371.6,371.4
HMMsoil877,191.8,191.7
HMMsoil878,90.5,90.3
HMMsoil879,235.1,234.9
HMMsoil880,163.3,163.2
HMMsoil881,670.1,669.9
HMMsoil882,316.3,316.2
HMMsoil883,202.1,201.9
HMMsoil884,227.4,227.2
HMMsoil885,183.8,183.1
HMMsoil886,224.1,223.9
HMMsoil887,83.8,83.7
HMMsoil888,208.1,208.0
HMMsoil889,218.0,217.9
HMMsoil890,212.3,212.2
HMMsoil816,529.0,528.8
HMMsoil817,239.9,239.8
HMMsoil818,47.0,47.0
HMMsoil819,240.9,240.7
HMMsoil820,202.4,202.2
HMMsoil821,153.2,153.1
HMMsoil822,122.3,122.2
HMMsoil823,47.9,47.8
HMMsoil824,132.1,132.0
HMMsoil825,159.2,159.1
HMMsoil826,175.7,175.5
HMMsoil827,135.8,135.7
HMMsoil828,716.1,716.0
HMMsoil829,107.5,107.4
HMMsoil830,248.4,248.3
HMMsoil1041,196.9,196.7
HMMsoil1042,269.7,269.3
HMMsoil909,944.1,943.9
HMMsoil910,203.9,203.8
HMMsoil911,277.1,277.0
HMMsoil912,290.7,290.6
HMMsoil913,175.5,175.3
HMMsoil914,214.2,214.1
HMMsoil915,804.2,804.1
HMMsoil916,207.9,207.8
HMMsoil917,398.4,398.2
HMMsoil918,196.8,196.6
HMMsoil919,513.4,513.3
HMMsoil920,722.2,722.0
HMMsoil921,427.8,427.7
HMMsoil922,640.8,640.7
HMMsoil924,916.2,916.0
HMMsoil925,143.2,143.0
HMMsoil926,189.6,189.5
HMMsoil927,204.0,203.9
HMMsoil928,226.1,226.0
HMMsoil929,141.3,141.2
HMMsoil930,106.0,105.9
HMMsoil931,115.2,115.1
HMMsoil932,132.6,132.5
HMMsoil933,155.2,155.0
HMMsoil934,726.3,726.1
HMMsoil935,319.7,319.6
HMMsoil936,627.6,627.5
HMMsoil937,148.9,148.8
HMMsoil938,499.2,499.0
HMMsoil939,46.2,46.1
HMMsoil940,124.6,124.5
HMMsoil941,224.3,224.2
HMMsoil942,132.8,132.7
HMMsoil943,954.0,953.8
HMMsoil944,361.9,361.7
HMMsoil945,437.8,437.6
HMMsoil946,944.0,943.9
HMMsoil948,290.1,290.0
HMMsoil949,24.0,23.9
HMMsoil950,479.4,479.2
HMMsoil951,349.0,348.9
HMMsoil831,209.9,209.8
HMMsoil832,57.4,57.3
HMMsoil833,219.6,219.5
HMMsoil834,61.8,61.6
HMMsoil835,592.9,592.8
HMMsoil836,568.7,568.6
HMMsoil837,96.0,95.9
HMMsoil838,67.7,66.5
HMMsoil839,832.3,832.1
HMMsoil840,339.3,339.2
HMMsoil841,267.7,267.5
HMMsoil842,212.2,212.0
HMMsoil843,373.1,373.0
HMMsoil844,340.7,340.5
HMMsoil846,209.1,209.0
HMMsoil847,65.8,65.7
HMMsoil848,255.4,255.3
HMMsoil970,68.0,67.9
HMMsoil972,129.2,129.1
HMMsoil973,55.2,55.2
HMMsoil974,247.9,247.8
HMMsoil976,120.9,120.7
HMMsoil977,59.8,59.7
HMMsoil979,108.1,108.0
HMMsoil980,34.5,34.5
HMMsoil981,500.1,499.9
HMMsoil983,343.6,343.5
HMMsoil986,371.0,370.8
HMMsoil988,994.5,994.4
HMMsoil989,30.6,30.6
HMMsoil990,120.8,120.6
HMMsoil991,825.6,825.5
HMMsoil992,152.3,152.2
HMMsoil993,148.4,148.3
HMMsoil995,168.7,168.5
HMMsoil996,14.1,14.1
HMMsoil998,62.2,62.1
HMMsoil999,231.4,231.2
HMMsoil1000,425.7,425.5
HMMsoil1001,22.5,22.5
HMMsoil1002,165.1,165.0
HMMsoil1003,758.6,758.4
HMMsoil1004,151.0,150.8
HMMsoil1005,300.9,300.7
HMMsoil1006,93.6,93.5
HMMsoil1007,459.3,459.1
HMMsoil1008,57.8,57.2
