id,threshold
K00142,409.5
K00143,912.4
K00145,125.57
K00146,695.97
K00147,553.77
K00148,371.43
K00149,754.4
K00150,335.1
K00151,725.63
K00152,1092.83
K00153,433.97
K00154,567.57
K00155,1130.27
K00156,686.6
K00157,2142.47
K00158,615.03
K00161,420.4
K00162,496.97
K00163,324
K00164,1231.17
K00166,424.07
K00167,476.47
K00169,293.37
K00170,323.47
K00171,100.1
K00172,154.2
K00174,267.73
K00175,228.33
K00176,65.4
K00177,145.73
K00179,416.43
K00180,137.03
K00181,201.33
K00182,486.93
K00184,252.97
K00185,299.8
K00186,471.97
K00187,532.1
K00188,91.03
K00189,286.7
K00192,638.47
K00193,619.13
K00194,251.17
K00195,101.13
K00196,153.87
K00197,294.37
K00198,371.73
K00200,329.4
K00201,162.03
K00202,187.77
K00203,120.9
K00204,170.8
K00205,156.53
K00206,620.27
K00207,450.7
K00208,269.33
K00209,140.8
K00211,432.23
K00212,655.2
K00213,421.47
K00214,153.77
K00215,126.33
K00216,240.33
K00217,286.73
K00218,267.47
K00219,561.17
K00220,383.5
K00221,56.2
K00222,718.93
K00223,446.93
K00224,256.2
K00225,552.53
K00226,238.47
K00227,131.07
K00228,71.87
K00230,66
K00231,144.8
K00232,172.17
K00233,968.57
K00234,1140.13
K00235,478.23
K00236,140.27
K00237,91.33
K00239,611.73
K00240,155.17
K00241,64.7
K00242,67.47
K00243,155.27
K00244,698.23
K00245,300.67
K00246,55.33
K00247,42.5
K00248,515.7
K00249,384.57
K00251,596.23
K00252,516.57
K00253,483.43
K00254,188.37
K00255,581.93
K00257,418.1
K00258,316.43
K00259,287.37
K00260,636.57
K00261,519.83
K00262,465.2
K00263,480.6
K00264,2576.5
K00265,1967.07
K00266,538.23
K00270,537.63
K00271,494.77
K00272,421.7
K00273,126.6
K00274,302.53
K00275,31.3
K00276,538.3
K00277,546.67
K00278,518.43
K00279,202.9
K00280,394.73
K00281,608.1
K00282,415.77
K00283,528.4
K00284,2322.4
K00285,353.37
K00286,132
K00287,53.83
K00288,1412.03
K00289,733.23
K00290,257.2
K00293,734.07
K00294,478.67
K00295,386.07
K00296,535
K00297,175.4
K00298,325.97
K00299,93.83
K00300,348.2
K00301,420.2
K00302,1342.57
K00303,638.9
K00304,109.87
K00305,132.83
K00306,331.4
K00307,856.13
K00308,637.73
K00309,872.97
K00310,539.6
K00311,248.67
K00312,475.4
K00313,304.17
K00314,709.3
K00315,826.7
K00316,331.4
K00317,700.4
K00318,167.63
K00319,337.4
K00320,222.2
K00322,412.4
K00323,912.43
K00324,248.7
K00325,643.3
K00326,156.27
K00327,570.13
K00330,129.17
K00331,280.03
K00332,180.7
K00333,512.23
K00334,155.53
K00335,614.53
K00336,714.87
K00337,423.37
K00338,138.17
K00339,123.93
K00340,94.8
K00341,564.47
K00342,562.67
K00343,319.17
K00344,276.53
K00345,69.67
K00346,223.97
K00347,294.7
K00348,101.37
K00349,232.6
K00350,230.47
K00351,299.13
K00354,459
K00355,113.87
K00357,115.9
K00359,462.3
K00360,555.7
K00361,1740.67
K00362,1300.33
K00363,144.27
K00364,324.13
K00365,212.63
K00366,600.83
K00367,1028.87
K00368,191.67
K00370,794.97
K00371,380.2
K00372,1041.97
K00373,91.4
K00374,179.2
K00375,339.63
K00376,374.1
K00378,633.77
K00380,521.7
K00381,512.67
K00382,458.17
K00383,544.37
K00384,334.2
K00385,262.53
K00386,74.67
K00387,450.77
K00389,51.1
K00390,167.07
K00392,576.2
K00394,495.23
K00395,81.5
K00399,739.33
K00400,471.93
K00401,572.1
K00402,343.37
K00404,654.2
K00405,278.2
K00406,95.33
K00407,23.3
K00408,474.37
K00410,722.9
K00411,82.1
K00412,319.63
K00413,50.5
K00414,763.47
K00415,381.23
K00416,39.93
K00417,35.3
K00418,35.23
K00419,35.9
K00420,27.27
K00421,758.13
K00422,314.73
K00423,645.87
K00424,31.87
K00425,161.2
K00426,35.77
K00427,917.93
K00428,120.2
K00430,110.3
K00431,1149.07
K00432,63.17
K00433,196.23
K00434,333.53
K00435,248.7
K00436,645.2
K00437,770.73
K00440,291.5
K00441,229.9
K00442,133.63
K00443,154.93
K00444,495.9
K00445,442.97
K00446,172.9
K00448,161.73
K00449,175.6
K00450,154.77
K00451,46.2
K00452,74.03
K00453,77
K00454,1157.6
K00455,231
K00456,75.07
K00457,313.63
K00458,1077.73
K00459,158.6
K00460,1199.97
K00461,820.87
K00462,329.2
K00463,121.63
K00464,393.9
K00465,580.17
K00466,464.03
K00467,477.27
K00468,580.7
K00469,104.9
K00471,421.43
K00472,174.73
K00473,1273.63
K00474,385.27
K00475,440.73
K00476,149.2
K00477,130.63
K00478,1046.23
K00479,572.2
K00480,456.2
K00481,276.27
K00483,447.8
K00484,214.17
K00485,228.77
K00486,333.37
K00487,526.4
K00488,718.63
K00489,634.17
K00490,930.03
K00491,536.9
K00492,
K00493,721.73
K00494,426.53
K00495,1225.13
K00496,183.53
K00497,714.23
K00498,704.03
K00499,401.13
K00500,137.93
K00501,680.13
K00502,752.43
K00503,246.3
K00504,406.93
K00505,184.9
K00506,761.83
K00507,63.6
K00508,335.8
K00509,1120.3
K00510,401.9
K00511,189.9
K00512,526.33
K00513,520.13
K00514,454
K00515,732.37
K00516,436.6
K00517,951.33
K00518,99.6
K00520,471.83
K00521,252.7
K00522,149.27
K00523,374.27
K00524,559.73
K00525,361.8
K00526,308.17
K00527,651.07
K00528,114.97
K00529,397.77
K00530,491.63
K00531,159.33
K00532,913.43
K00533,571.4
K00534,91.1
K00537,82.43
K00540,75.83
K00541,335.43
K00542,130.73
K00543,432.23
K00544,324.07
K00545,115.8
K00546,110.97
K00547,262.5
K00548,239.2
K00549,34.73
K00550,96.83
K00551,61
K00552,219.33
K00553,327.7
K00554,113.8
K00555,130.9
K00556,164.17
K00557,269.17
K00558,161.67
K00559,403.3
K00560,115.1
K00561,204.13
K00562,405.43
K00563,117.73
K00564,110.73
K00565,112.7
K00566,425.47
K00567,172.97
K00568,320.07
K00569,117.93
K00570,106.33
K00571,160.87
K00572,494.13
K00573,79.8
K00574,335.03
K00575,234.5
K00577,124.27
K00578,79.7
K00579,222.87
K00580,263.93
K00581,383.37
K00582,61.53
K00583,88.73
K00584,371.4
K00586,275.87
K00587,131.83
K00588,399.1
K00589,456.17
K00590,165.2
K00591,340.23
K00592,277.9
K00594,380.63
K00595,224.1
K00596,443.93
K00597,474.5
K00598,121.07
K00599,369.73
K00600,73.5
K00601,242.93
K00602,112.47
K00603,388
K00604,260.17
K00605,309.37
K00606,96.57
K00607,299.33
K00608,746.23
K00609,245.1
K00610,105.93
K00611,278.4
K00612,350.43
K00613,366.93
K00614,157.2
K00615,214.4
K00616,140.4
K00617,330.23
K00618,310.13
K00619,170.9
K00620,170.53
K00621,104.87
K00622,259.33
K00623,770.5
K00624,743
K00625,386.57
K00626,483.97
K00627,463.87
K00628,546.3
K00629,484.73
K00630,282.73
K00631,461.13
K00632,504.33
K00633,280.17
K00634,394.2
K00635,68.1
K00637,302.9
K00638,252.2
K00639,524.53
K00640,96.7
K00641,78.57
K00643,449.53
K00645,257.47
K00646,422.97
K00647,359.5
K00648,232.4
K00649,506.13
K00650,545.33
K00651,245.97
K00652,453.13
K00653,310.47
K00654,393.77
K00655,119.43
K00656,285.27
K00657,73.07
K00658,462.33
K00659,568.47
K00660,622.3
K00661,137.33
K00662,44.23
K00663,103.7
K00664,486.27
K00665,836.63
K00666,585.57
K00667,1393.53
K00668,1414.6
K00669,48.4
K00670,114.5
K00671,197.37
K00672,213.13
K00673,96.23
K00674,148.77
K00675,231.17
K00677,165
K00678,186.27
K00679,261.53
K00680,224.33
K00681,531.23
K00682,101.23
K00683,155.63
K00684,151.63
K00685,182.87
K00686,94.3
K00687,888.93
K00688,74.33
K00689,1894.37
K00690,570.97
K00691,830.53
K00692,307.43
K00693,447.43
K00694,411.1
K00695,589.4
K00696,315.4
K00697,522.87
K00698,131.47
K00699,153.33
K00700,301.33
K00701,462.13
K00702,854.73
K00703,237.97
K00704,173.5
K00705,114.67
K00706,855.8
K00709,464.4
K00710,86.2
K00712,184.6
K00713,496.4
K00714,365.17
K00715,317.8
K00716,570.2
K00717,132.13
K00718,163.33
K00719,346.4
K00720,109.6
K00721,181.53
K00722,471.23
K00725,633.8
K00726,274.47
K00727,537.57
K00728,138.7
K00729,205.3
K00730,41.4
K00731,226.43
K00733,215.77
K00734,223.43
K00735,470.9
K00736,71.97
K00737,64.2
K00738,402.03
K00739,495.3
K00741,472.97
K00742,471.3
K00743,481.87
K00744,927.33
K00746,376.13
K00747,903
K00748,116.07
K00749,1879.77
K00750,190.57
K00752,315
K00753,358
K00754,260.77
K00756,580.73
K00757,92.63
K00758,565.53
K00759,88.97
K00760,83.23
K00761,221.23
K00762,134.83
K00763,107.47
K00764,179.17
K00765,36.1
K00766,92.5
K00767,219.97
K00768,163.53
K00769,108.53
K00770,2110.93
K00771,389
K00772,291.1
K00773,542.23
K00774,127.2
K00775,434.27
K00776,1295.7
K00777,535.77
K00778,550.8
K00779,533.03
K00780,494.07
K00781,383.9
K00782,113.17
K00783,89.3
K00784,65.87
K00785,252.8
K00786,474.6
K00787,152.47
K00788,164.67
K00789,18.87
K00790,160.5
K00791,179.47
K00793,54.73
K00794,50.63
K00795,391.97
K00796,245.87
K00797,110.97
K00798,29.5
K00799,62.63
K00800,131.73
K00801,131.63
K00802,169.27
K00803,324.13
K00804,200.4
K00805,55.87
K00806,337.23
K00807,185.03
K00808,506.7
K00809,99
K00810,220.1
K00811,642.53
K00812,466.77
K00813,533.9
K00814,430.13
K00815,375.3
K00816,485.1
K00817,287.83
K00818,569.33
K00819,476.9
K00820,183.87
K00821,487.63
K00822,552.67
K00823,603.13
K00824,296
K00825,467.67
K00826,186.43
K00827,555
K00830,396.3
K00831,128.1
K00832,570.37
K00833,426.57
K00835,251.67
K00836,438.5
K00837,322.77
K00838,455.6
K00839,544.6
K00840,708.63
K00841,489
K00843,981.33
K00844,167.53
K00845,112.47
K00846,168.33
K00847,184.8
K00848,294.9
K00849,353.57
K00850,349.97
K00851,69.27
K00852,232.93
K00853,371.8
K00854,315.37
K00855,159.27
K00856,109.8
K00857,77.37
K00858,31.1
K00859,61.37
K00860,331.57
K00861,228.33
K00862,538.9
K00863,480.27
K00864,515.47
K00865,57.17
K00866,348.13
K00867,140.7
K00868,136.6
K00869,152.5
K00871,342.07
K00872,118.03
K00873,134.63
K00874,238.6
K00875,373.1
K00876,150.03
K00877,440.13
K00878,136.03
K00879,325.8
K00880,475.97
K00881,258.33
K00882,308.43
K00883,50.97
K00884,223.1
K00885,305.6
K00886,155.7
K00887,149.27
K00888,443.83
K00889,343.8
K00891,133.23
K00892,557.5
K00893,414.27
K00894,334.17
K00895,221
K00897,265.93
K00898,352.5
K00899,417.83
K00900,645.63
K00901,93.6
K00902,107.2
K00903,266.33
K00904,428.23
K00905,370.37
K00906,368.53
K00907,554.5
K00908,759.83
K00909,815.07
K00910,538.83
K00911,188.6
K00912,90.9
K00913,209.7
K00914,502.63
K00915,249.87
K00916,552.2
K00917,336.23
K00918,204.27
K00919,102.33
K00920,297
K00921,271
K00922,1002.9
K00923,870.87
K00924,560.1
K00925,141.63
K00926,178.53
K00927,107.47
K00928,349
K00929,235.77
K00930,221.63
K00931,289.97
K00932,611.13
K00933,775.5
K00934,457
K00936,102.8
K00937,245.43
K00938,126.37
K00939,181.27
K00940,141.77
K00941,322.83
K00942,190.57
K00943,99.67
K00944,357.77
K00945,43.93
K00946,139.43
K00947,276.93
K00948,65.07
K00949,44.73
K00950,40.1
K00951,682.97
K00952,130.23
K00953,145.77
K00954,84
K00955,752.03
K00956,512.73
K00957,215.53
K00958,282.03
K00960,46.5
K00962,272.7
K00963,65.47
K00965,111.87
K00966,317.47
K00967,218.6
K00968,212.27
K00969,121.27
K00970,330.03
K00971,176.6
K00972,443.07
K00973,240.17
K00974,292.43
K00975,193.37
K00976,353.33
K00977,705.83
K00978,214.37
K00979,144.3
K00980,121.47
K00981,50.03
K00982,194.33
K00983,305.17
K00984,255.23
K00985,905.8
K00986,85.7
K00987,348.6
K00988,108.3
K00989,240.97
K00990,156.43
K00991,254.07
K00992,188.47
K00993,402.6
K00994,703.07
K00995,113.9
K00996,832.33
K00997,82.13
K00998,453.3
K00999,91.57
K01000,192.8
K01001,112.63
K01002,245.67
K01003,275.83
K01004,132.17
K01005,196.93
K01006,361.93
K01007,470.97
K01008,130.3
K01009,222.13
K01011,185.8
K01012,167.2
K01013,86.47
K01014,432.97
K01015,434.13
K01016,414.3
K01017,486.33
K01019,391.6
K01020,442.83
K01021,81.1
K01022,387
K01023,114.03
K01024,427.6
K01025,354.1
K01026,321.37
K01027,486.1
K01028,397.17
K01029,359.7
K01031,346.47
K01032,314.17
K01034,300.07
K01035,312.77
K01039,279.67
K01040,196.07
K01041,568.13
K01042,65.1
K01043,2861.03
K01044,773
K01045,114.6
K01046,50.73
K01047,15.77
K01048,197.4
K01049,751.57
K01050,580.23
K01051,68.27
K01052,160.3
K01053,182.53
K01054,210.27
K01055,280.6
K01056,49.73
K01057,117.83
K01058,108.4
K01059,692.83
K01060,103.13
K01061,90.77
K01062,138.63
K01063,570.2
K01064,370.5
K01065,368.27
K01066,301.47
K01067,759.87
K01068,551
K01069,160.1
K01070,132.3
K01071,210.9
K01073,193.53
K01074,81.4
K01075,132.83
K01076,183.4
K01077,68.47
K01078,185.77
K01079,127.13
K01080,208.77
K01081,145.8
K01082,179.77
K01083,101.67
K01084,159
K01085,371.57
K01086,581.27
K01087,168.3
K01089,340.83
K01090,392.57
K01091,119.6
K01092,210.6
K01093,383.33
K01094,113.03
K01095,55.37
K01096,82.97
K01097,209.43
K01098,142.9
K01099,425.57
K01100,324.53
K01101,346.17
K01102,190.27
K01103,862.8
K01104,62.63
K01106,85.03
K01107,199.07
K01108,962.5
K01109,669.57
K01110,401.37
K01111,258.97
K01112,44.6
K01113,80.93
K01114,134.1
K01115,97.13
K01116,1666.8
K01117,477.37
K01118,93.1
K01119,371.53
K01120,291
K01121,165.23
K01122,1162.67
K01123,337.13
K01124,503.6
K01125,173.9
K01126,165.17
K01127,239.43
K01128,373.27
K01129,82.77
K01130,399.2
K01131,937.9
K01132,575.73
K01133,453.77
K01134,532.2
K01135,378
K01136,455.43
K01137,537.27
K01138,418.87
K01139,800.2
K01141,345.6
K01142,228.23
K01143,477.03
K01146,254.63
K01147,385.63
K01148,113.33
K01149,60.17
K01150,130.67
K01151,124.8
K01152,345.73
K01153,160.7
K01154,42.53
K01155,28.83
K01156,153.93
K01157,644.17
K01158,89.77
K01159,31.87
K01160,34.17
K01161,162.23
K01163,91.57
K01164,167.57
K01165,404.9
K01166,98.57
K01167,42.8
K01168,196.17
K01169,208.07
K01170,97.63
K01171,154.97
K01172,201.8
K01173,104.13
K01174,92.27
K01175,315
K01176,234.7
K01177,355.2
K01178,117.3
K01179,17.47
K01180,173.23
K01181,108
K01182,867.67
K01183,117.23
K01184,457.77
K01185,68.47
K01186,263.57
K01187,311.07
K01188,736.97
K01189,618.97
K01190,388.6
K01191,448.3
K01192,386.73
K01193,87.7
K01194,147.67
K01195,416.07
K01196,398.97
K01197,28.43
K01198,210.23
K01199,301.17
K01200,395.43
K01201,224.47
K01202,291.17
K01203,2929.7
K01204,644.77
K01205,299.4
K01206,44.43
K01207,256.3
K01208,509.47
K01209,92.33
K01210,200.6
K01212,633.33
K01213,507.77
K01214,552.6
K01215,859.47
K01216,287.33
K01217,301.37
K01218,77.87
K01219,267
K01220,568.13
K01222,399.17
K01223,476.9
K01224,182.3
K01225,519.73
K01226,801
K01227,207.63
K01228,183.43
K01229,1307.5
K01230,615.57
K01231,1152.43
K01232,477.13
K01233,40.6
K01235,574.1
K01236,398.87
K01237,765.5
K01238,379
K01239,316
K01240,337.67
K01241,144.93
K01242,321
K01243,98.97
K01244,270.77
K01245,191.57
K01246,48.03
K01247,172.33
K01250,414.57
K01251,59.77
K01252,315.1
K01253,620.5
K01254,683.37
K01255,418.5
K01256,427.7
K01257,1192.17
K01258,180
K01259,136.3
K01260,842.07
K01261,366.1
K01262,260.83
K01264,575.03
K01265,142.77
K01266,588.87
K01267,481.07
K01268,578.23
K01269,348.87
K01270,158.6
K01271,466.03
K01273,57.37
K01274,627.8
K01275,271.37
K01276,605.8
K01277,205.07
K01278,677.1
K01279,316.13
K01280,285.2
K01281,283.37
K01282,839.3
K01283,74.1
K01284,778.07
K01285,602.97
K01286,163.43
K01288,373.3
K01290,640.17
K01291,620.9
K01292,683.23
K01293,469.3
K01294,632.73
K01295,214.17
K01296,587.4
K01297,146.2
K01298,622.07
K01299,202.9
K01300,566.53
K01301,507.13
K01302,277.33
K01303,145.9
K01304,48.5
K01305,232.1
K01306,1053.03
K01307,89.9
K01308,201.83
K01309,55.9
K01310,414.27
K01311,478.47
K01312,310.67
K01313,480.9
K01314,645.6
K01315,773.2
K01316,620.23
K01317,347.63
K01318,116.8
K01319,414.87
K01320,630.83
K01321,624.47
K01322,491.6
K01323,973.4
K01324,411.8
K01325,334.3
K01326,433.43
K01327,425.3
K01328,718.87
K01329,357.33
K01330,933.2
K01331,877.67
K01332,874.5
K01333,342.77
K01334,310.33
K01335,860
K01336,498.93
K01337,160.57
K01338,878.3
K01339,
K01340,352.63
K01341,773.33
K01342,372.3
K01343,483.57
K01344,552.9
K01345,470.1
K01346,422.17
K01347,988.27
K01348,469.43
K01349,1063.4
K01350,378.8
K01351,544.07
K01352,380.27
K01353,335.43
K01354,481.6
K01355,384.17
K01356,131.9
K01357,423.83
K01358,66.77
K01359,885.43
K01360,780.53
K01361,813.13
K01362,468.37
K01363,231.27
K01364,811.97
K01365,531.87
K01366,410
K01367,1270.47
K01368,520.57
K01369,217.6
K01370,500.03
K01371,510.07
K01372,84.7
K01373,429.67
K01374,315.37
K01375,582.33
K01376,288.4
K01377,575.93
K01378,589.47
K01379,541.03
K01380,586.93
K01381,409.37
K01382,539.2
K01383,518.83
K01384,450.57
K01385,511.17
K01386,
K01387,196.2
K01388,719.27
K01389,1032.3
K01390,1818.47
K01392,1166.83
K01393,1227.87
K01394,714.07
K01395,863.97
K01396,946.37
K01397,409.3
K01398,1000.33
K01399,680.1
K01400,528.9
K01401,628.17
K01402,731.2
K01403,849.47
K01404,378.2
K01405,960.6
K01406,81.23
K01407,892.63
K01408,1037.3
K01409,411.03
K01410,440.9
K01411,1002.6
K01412,415.07
K01413,704.5
K01414,772.4
K01415,998.27
K01416,86.47
K01417,233.77
K01419,88.5
K01420,204.33
K01421,141.13
K01422,686.57
K01423,177.63
K01424,36.6
K01425,96.43
K01426,297.13
K01427,1243.57
K01428,586.47
K01429,173.03
K01430,180.13
K01431,284.23
K01432,256.1
K01433,204.77
K01434,407.67
K01435,693.13
K01436,517.67
K01437,453.63
K01438,301.1
K01439,271.87
K01440,233.8
K01441,188.37
K01442,374.87
K01443,101.67
K01444,266.3
K01446,85.53
K01447,129.7
K01448,37.17
K01449,49.07
K01451,506.4
K01452,259.43
K01453,442.6
K01455,81.4
K01456,131.9
K01457,367.97
K01458,182.43
K01459,260.73
K01460,756.77
K01461,782.37
K01462,71.43
K01463,153.13
K01464,386.17
K01465,301.87
K01466,356.2
K01467,236.03
K01468,214.03
K01469,933.53
K01470,67.37
K01471,
K01473,646.2
K01474,601.03
K01475,264.17
K01476,180.93
K01477,151.17
K01478,101.73
K01479,203.7
K01480,235.27
K01481,135.33
K01482,98.77
K01483,54.23
K01484,219.03
K01485,239.33
K01486,330.5
K01487,305.2
K01488,328.63
K01489,34.73
K01490,221.07
K01491,416.53
K01492,901.3
K01493,82.17
K01494,83.33
K01495,53.87
K01496,198.83
K01497,157.2
K01498,278.7
K01499,281.4
K01500,200.53
K01501,201.3
K01502,
K01505,361.83
K01506,259.13
K01507,20.77
K01509,692.2
K01510,627.73
K01511,386.67
K01512,74.63
K01513,1043.97
K01514,299.83
K01515,158.33
K01516,552.73
K01517,193.73
K01518,106.93
K01519,43.37
K01520,57.77
K01521,69.53
K01522,208.13
K01523,125.7
K01524,164.23
K01525,128.8
K01526,382.17
K01527,49.57
K01528,890.73
K01529,65.93
K01530,1357.43
K01531,727.7
K01532,902.93
K01533,822.5
K01534,710.57
K01535,585.2
K01536,939.03
K01537,991
K01538,80.47
K01539,1716.57
K01540,284
K01542,1773.37
K01543,376.37
K01544,1929.17
K01545,26.9
K01546,127.27
K01547,358.27
K01548,44.13
K01549,60.67
K01551,74.83
K01552,399.53
K01554,210.07
K01555,201.93
K01556,183.67
K01557,254.47
K01558,461.1
K01559,536.4
K01560,143.5
K01561,193.23
K01562,285.73
K01563,248.8
K01565,288.8
K01566,704.03
K01567,244.87
K01568,634.47
K01569,93.43
K01571,806.63
K01573,55.8
K01574,98.17
K01575,113.37
K01576,419.43
K01577,797
K01578,306.87
K01579,43.27
K01580,394.13
K01581,218.47
K01582,1057.9
K01583,552.23
K01584,858.97
K01585,250.97
K01586,291.5
K01587,310
K01588,111.57
K01589,271.3
K01590,764.4
K01591,144.17
K01592,1178.77
K01593,366.63
K01595,54.7
K01596,154.27
K01597,218.87
K01598,191.47
K01599,188.6
K01601,316.83
K01602,43.97
K01604,833.93
K01607,19.43
K01608,722.23
K01609,314.83
K01610,91.1
K01611,28.23
K01612,584.5
K01613,54.73
K01615,942.5
K01616,1318.47
K01617,297.57
K01618,856.4
K01619,37.07
K01620,88.67
K01621,322.73
K01622,199.67
K01623,40.1
K01624,77.13
K01625,191.03
K01626,188.63
K01627,201.1
K01628,208.23
K01629,179.73
K01630,339.43
K01631,198.77
K01633,91.67
K01634,365.93
K01635,233.43
K01636,274.67
K01637,238.3
K01638,150.3
K01639,226.33
K01640,140.43
K01641,290.27
K01643,337.47
K01644,147.77
K01645,140.73
K01646,71.13
K01647,414.13
K01648,578.73
K01649,465.5
K01652,504.33
K01653,54.33
K01654,406.27
K01655,354
K01656,775.47
K01657,462.07
K01658,245.67
K01659,479.1
K01661,393.33
K01662,304.47
K01663,398.5
K01664,306.9
K01665,477.6
K01666,157.4
K01667,666.13
K01668,707.27
K01669,361.77
K01670,
K01671,319.37
K01672,285.5
K01673,18.53
K01674,238.7
K01675,89.57
K01676,364.47
K01677,322.07
K01678,235.83
K01679,622.53
K01681,1275.73
K01682,656.5
K01683,433.9
K01684,366.7
K01685,566.53
K01686,135.8
K01687,597.03
K01689,256.23
K01690,516.43
K01691,131.73
K01692,371.53
K01693,299.4
K01694,764.73
K01695,83.33
K01696,623.5
K01697,441.93
K01698,96.13
K01699,913.1
K01702,1113.07
K01703,455.9
K01704,124.57
K01705,499.67
K01706,494.43
K01707,249.73
K01708,614.8
K01709,283.67
K01710,489.4
K01711,268.6
K01712,290.93
K01713,222.2
K01714,258.13
K01715,332.53
K01716,155.57
K01719,45.67
K01720,227.07
K01721,274.5
K01723,713.4
K01724,20.57
K01725,90.4
K01726,179.53
K01727,472.27
K01728,179.4
K01729,37.53
K01730,109.53
K01731,725.23
K01732,213.53
K01733,240.63
K01734,82.3
K01735,307.43
K01736,177.43
K01737,22.87
K01738,421.27
K01739,422.63
K01740,414.23
K01741,145.9
K01742,
K01743,254.9
K01744,680.97
K01745,413.77
K01746,385.43
K01749,139
K01750,411.97
K01751,221.17
K01752,28.2
K01753,197.1
K01754,266
K01755,172.33
K01756,311.63
K01757,430
K01758,600.33
K01759,75.97
K01760,510.8
K01761,502.73
K01762,758.97
K01763,415.7
K01764,41.23
K01765,252.2
K01766,557.43
K01767,155.13
K01768,164.13
K01769,576.13
K01770,123.93
K01771,112.07
K01772,76.27
K01773,798.8
K01774,197.27
K01775,115.57
K01776,89.17
K01777,440.2
K01778,75.97
K01779,90.5
K01780,153.8
K01781,388.8
K01782,816.3
K01783,254.43
K01784,254.6
K01785,47.33
K01787,202.87
K01788,103.33
K01790,202.9
K01791,413.33
K01792,112.13
K01793,111.57
K01794,770.73
K01795,104.43
K01796,339.63
K01798,594.9
K01799,106.33
K01800,134.47
K01801,346.77
K01802,91.63
K01803,26.6
K01804,181.23
K01805,107.4
K01807,93.47
K01808,184.73
K01809,47.17
K01810,146.47
K01811,630.33
K01812,152.67
K01813,544.77
K01814,250.67
K01815,184.13
K01816,138.4
K01817,210.57
K01818,177.97
K01819,174.03
K01820,400.57
K01821,34
K01822,69.77
K01823,49.63
K01824,93.13
K01825,747.73
K01826,51.8
K01827,725.1
K01828,
K01829,139.63
K01830,167.8
K01831,662.1
K01832,653.33
K01833,1177.07
K01834,150.17
K01835,377.7
K01836,271.63
K01837,409.3
K01838,243.67
K01839,134.57
K01840,439.83
K01841,354.3
K01843,371.5
K01844,716.9
K01845,317.53
K01846,99.37
K01847,637.43
K01848,809.93
K01849,169.13
K01850,97.57
K01851,541
K01852,989.53
K01853,1327.2
K01854,135.6
K01855,223.6
K01856,369.53
K01857,374.7
K01858,70.8
K01859,75
K01860,544.53
K01861,
K01865,36.07
K01866,95.57
K01867,138.47
K01868,143.47
K01869,380.3
K01870,486.3
K01872,203.9
K01873,593.63
K01874,178.07
K01875,65.67
K01876,317.03
K01878,508.33
K01879,568.63
K01880,322
K01881,172.7
K01883,386.97
K01884,155.23
K01885,306.33
K01886,511.4
K01887,103.27
K01889,102.7
K01890,125.23
K01892,274.87
K01893,378.93
K01894,313.8
K01895,776.5
K01896,950.03
K01897,441.17
K01899,558.33
K01900,606.9
K01902,357.57
K01903,498.87
K01904,540.37
K01905,575.77
K01906,151.6
K01907,542.67
K01908,776.3
K01909,680.9
K01910,184.57
K01911,341.43
K01912,266.7
K01913,991.8
K01914,145.03
K01915,37.03
K01916,286.27
K01917,1220.57
K01918,131.83
K01919,87.27
