#ncbi_accession	source_identifier	label	sequence_cutoff	domain_cutoff	hmm_length	family_type	for_structural_annotation	for_naming	for_AMRFinder	product_name	gene_symbol	gene_synonyms	ec_numbers	go_terms	pmids	taxonomic_range	taxonomic_range_name	taxonomic_rank_name	n_refseq_protein_hits	source	name_orig	hmm_name	comment
NF014495.6	PF02442.22	L1R_F9L	27	27	200	domain	Y	Y	N	L1 family membrane protein					11689653,8938976				0	EBI-EMBL	Lipid membrane protein of large eukaryotic DNA viruses	L1 family membrane protein	The four families of large eukaryotic DNA viruses, Poxviridae, Asfarviridae, Iridoviridae, and Phycodnaviridae, referred to collectively as nucleocytoplasmic large DNA viruses or NCLDV, have all been shown to have a lipid membrane, in spite of the major differences in virion structure. The paralogous genes L1R and F9L encode membrane proteins that have a conserved domain architecture, with a single, C-terminal transmembrane helix, and an N-terminal, multiple-disulfide-bonded domain. The conservation of the myristoylated, disulfide-bonded protein L1R/F9L in most of the NCLDV correlates with the conservation of the thiol-disulfide oxidoreductase E10R which, in vaccinia virus, is required for the formation of disulfide bonds in L1R and F9L (PMID: 11689653). (from Pfam)
NF014532.6	PF02480.22	Herpes_gE	26.7	26.7	175	domain	Y	N	N	Alphaherpesvirus glycoprotein E					10881679,16646632				0	EBI-EMBL	Alphaherpesvirus glycoprotein E	Alphaherpesvirus glycoprotein E	Glycoprotein E (gE) of Alphaherpesvirus forms a complex with glycoprotein I (gI) (Pfam:PF01688), functioning as an immunoglobulin G (IgG) Fc binding protein. gE is involved in virus spread but is not essential for propagation (PMID: 10881679). This entry represents the Ig-like domain of gE, identified as the Fc-binding domain (PMID: 16646632). (from Pfam)
NF014737.6	PF02713.20	DUF220	29.4	29.4	73	domain	Y	Y	N	DUF220 domain-containing protein					31068459				0	EBI-EMBL	Domain of unknown function DUF220	Domain of unknown function DUF220	This is family consists of a region in several Arabidopsis thaliana hypothetical proteins none of which have any known function. The aligned region contains two cysteine residues. This domain shows structural similarity to members of the Bet v1-like superfamily (PMID: 31068459) and may be involved in lipid binding. (from Pfam)
NF015088.6	PF03103.23	DUF243	25	25	98	domain	Y	Y	N	DUF243 domain-containing protein									0	EBI-EMBL	Domain of unknown function (DUF243)	Domain of unknown function (DUF243)	This family of uncharacterised proteins is only found in fly proteins. It is found associated with YLP motifs Pfam:PF02757 in some proteins. (from Pfam)
NF015105.6	PF03121.20	Herpes_UL52	21	21	75	domain	Y	Y	N	herpesvirus-type DNA primase					10501495,11278618,8659123,9242911				0	EBI-EMBL	Herpesviridae UL52/UL70 DNA primase	herpesvirus DNA primase	Herpes simplex virus type 1 DNA replication in host cells is known to be mediated by seven viral-encoded proteins, three of which form a heterotrimeric DNA helicase-primase complex. This complex consists of UL5, UL8, and UL52 subunits. Heterodimers consisting of UL5 and UL52 have been shown to retain both helicase and primase activities. Nevertheless, UL8 is still essential for replication: though it lacks any DNA binding or catalytic activities, it is involved in the transport of UL5-UL52 and it also interacts with other replication proteins. The molecular mechanisms of the UL5-UL52 catalytic activities are not known. While UL5 is associated with DNA helicase activity and UL52 with DNA primase activity, the helicase activity requires the interaction of UL5 and UL52 [see 2,3]. It is not known if the primase activity can be maintained by UL52 alone. The region encompassed by residues 610-636 of HSV1 UL52 Swiss:P10236 is thought to contain a divalent metal cation binding motif. Indeed, this region contains several aspartate and glutamate residues that might be involved in divalent cation binding. The biological significance of UL52-UL8 interaction is not known. Yeast two-hybrid analysis together with immunoprecipitation experiments have shown that the HSV1 UL52 region between residues 366-914 is essential for this interaction, while the first 349 N-terminal residues are dispensable (PMID: 10501495). This family also includes protein UL70 from cytomegalovirus (CMV, a subgroup of the Herpesviridae) strains (e.g. Swiss:P17149), which, by analogy with UL52, is thought to have DNA primase activity. Indeed, CMV strains also p. TRUNCATED at 1650 bytes (from Pfam)
NF015240.6	PF03268.19	DUF267	25	25	360	domain	Y	Y	N	DUF267 domain-containing protein									0	EBI-EMBL	Caenorhabditis protein of unknown function, DUF267	Caenorhabditis protein of unknown function, DUF267	
NF015265.6	PF03294.19	Pox_Rap94	25	25	796	domain	Y	Y	N	RNA polymerase-associated transcription-specificity factor RAP94				GO:0003700	1565650,19759131				0	EBI-EMBL	RNA polymerase-associated transcription specificity factor, Rap94	RNA polymerase-associated transcription-specificity factor RAP94	
NF015283.6	PF03312.20	DUF272	25	25	124	domain	Y	Y	N	DUF272 domain-containing protein									0	EBI-EMBL	Protein of unknown function (DUF272)	Protein of unknown function (DUF272)	This family of proteins is restricted to C.elegans and has no known function. The protein contains a ubiquitin fold. The GO annotation for the protein indicates that it has a function in nematode larval development. (from Pfam)
NF015345.6	PF03380.19	DUF282	22.8	21.8	38	domain	Y	Y	N	DUF282 domain-containing protein									0	EBI-EMBL	Caenorhabditis protein of unknown function, DUF282	Caenorhabditis protein of unknown function, DUF282	
NF015381.7	PF03416.26	Peptidase_C54	25	25	276	domain	Y	Y	N	cysteine protease ATG4				GO:0019786	19322194,28704456,31315929				0	EBI-EMBL	Peptidase C54 catalytic domain	Peptidase C54 catalytic domain	This is the catalytic domain of of cysteine peptidases from C54 family, which includes cysteine protease ATG4 from human and its homologues from fungi and plants. ATG4 plays a key role in cytoplasm to vacuole transport (Cvt) and autophagy by mediating both proteolytic activation and delipidation of ATG8 [1-3]. (from Pfam)
NF015401.6	PF03436.18	DUF281	25	25	55	domain	Y	Y	N	DUF281 domain-containing protein									0	EBI-EMBL	Domain of unknown function (DUF281)	Domain of unknown function (DUF281)	This family of worm domain has no known function. The boundaries of the presumed domain are rather uncertain. (from Pfam)
NF015518.6	PF03556.21	Cullin_binding	27.9	27.9	118	domain	Y	Y	N	cullin binding domain-containing protein					17597076,18206966,18826954				0	EBI-EMBL	Cullin binding	Cullin binding	This domain binds to cullins and to Rbx-1, components of an E3 ubiquitin ligase complex for neddylation [1-3]. Neddylation is the process by which the C-terminal glycine of the ubiquitin-like protein Nedd8 is covalently linked to lysine residues in a protein through an isopeptide bond. The structure of this domain is composed entirely of alpha helices [1,2]. (from Pfam)
NF015698.6	PF03754.18	At2g31720-like	24.4	24.4	113	domain	Y	Y	N	B3 domain-containing protein				GO:0003677	29462363				0	EBI-EMBL	B3 domain-containing protein At2g31720-like	B3 domain-containing protein At2g31720-like	This entry represents a group of uncharacterised plant proteins, including B3 domain-containing protein At2g31720 (also known as Protein AUXIN RESPONSE FACTOR 70) from Arabidopsis. These are DNA-binding proteins likely to be involved in stress response (PMID: 29462363). (from Pfam)
NF016106.6	PF04190.19	GET4	30	30	257	domain	Y	Y	N	Get4 family protein				GO:0045048	20676083,21636303,21743475,22190685,24727835,25535373,28104892				0	EBI-EMBL	Golgi to ER traffic protein 4	Get4 family protein	In budding yeast, Get4 is part of the GET complex that inserts the tail-anchored (TA) proteins into the endoplasmic reticulum membrane [1,2]. In humans, Get4 is part the BAG6/BAT3 complex, maintains misfolded and hydrophobic patches-containing proteins in a soluble state and facilitates their proper delivery to the endoplasmic reticulum, or alternatively promotes their sorting to the proteasome where they undergo degradation [3,4,5,6]. The BAG6/BAT3 complex is involved in the post-translational delivery of tail-anchored/type II transmembrane proteins to the endoplasmic reticulum membrane [3,6,7]. (from Pfam)
NF016225.6	PF04318.17	DUF468	25	25	84	domain	Y	Y	N	DUF468 domain-containing protein									0	EBI-EMBL	Protein of unknown function (DUF468)	Protein of unknown function (DUF468)	These conserved ORFs probably are probably not translated into protein [Personal communication, Val Wood]. (from Pfam)
NF016237.6	PF04334.17	DUF478	25	25	68	domain	Y	Y	N	DUF478 domain-containing protein									0	EBI-EMBL	Protein of unknown function (DUF478)	Protein of unknown function (DUF478)	This family contains uncharacterised protein encoded on Trypanosoma kinetoplast minicircles. (from Pfam)
NF016273.6	PF04370.17	DUF508	25	25	149	domain	Y	Y	N	DUF508 domain-containing protein									0	EBI-EMBL	Domain of unknown function (DUF508)	Domain of unknown function (DUF508)	This is a family of uncharacterised proteins from C. elegans. (from Pfam)
NF016378.6	PF04489.18	DUF570	25	25	456	domain	Y	Y	N	DUF570 domain-containing protein									0	EBI-EMBL	Protein of unknown function (DUF570)	Protein of unknown function (DUF570)	Protein of unknown function, found in herpesvirus and cytomegalovirus. (from Pfam)
NF016393.6	PF04504.20	GeBP-like_DBD	29.5	29.5	94	domain	Y	Y	N	DNA-binding domain-containing protein				GO:0006355	12028578,12535344,18162594,27031427,35890483				0	EBI-EMBL	Glabrous-enhancer-binding protein-like family, DBD domain	Glabrous-enhancer-binding protein-like family, DBD domain	This entry represents the DNA binding domain (DBD) present in GLABROUS1 enhancer-binding protein (GeBP) and GeBP-like proteins, such us storekeeper and storekeeper-like (STKL) transcription factors. GeBP and GeBP-like proteins play a redundant role in cytokinin hormone pathway regulation [1,2,3]. Storekeeper was identified as a B-box motif binding factor that regulates expression of patatin, a storage protein in potato (PMID: 12028578). Storekeeper-like transcription factors STKL1 and STKL2 function as transcription factors in the glucose signalling pathway (PMID: 27031427). The overall predicted structure of this DNA binding domain (DBD) reveals a bundle of four helices, with helices alpha1 to alpha3 making up a single myb-type helix-turn-helix (HTH) domain. (from Pfam)
NF016399.7	PF04510.18	DUF577	32.1	32.1	173	domain	Y	Y	N	DUF577 domain-containing protein					25653662				0	EBI-EMBL	Repeat of unknown function (DUF577)	Repeat of unknown function (DUF577)	This domain is found in Arabidopsis thaliana proteins, which are specifically expressed during meiosis (PMID: 25653662). Many of these members contain a repeated region. (from Pfam)
NF016406.6	PF04517.17	Microvir_lysis	25	25	40	domain	Y	Y	N	MraY-inhibiting host cell lysis protein E				GO:0004857,GO:0044068	12100551				0	EBI-EMBL	Microvirus lysis protein (E), C terminus	MraY-inhibiting host cell lysis protein E	E protein causes host cell lysis by inhibiting MraY, a peptidoglycan biosynthesis enzyme. This leads to cell wall failure at septation (PMID: 12100551). The N terminal transmembrane region matches the signal peptide model and must be omitted from the family. (from Pfam)
NF016411.7	PF04522.18	BBMV_Gp1_N	27	27	242	domain	Y	Y	N	broad bean mottle virus Gp1 domain-containing protein				GO:0003723,GO:0003968,GO:0006351					0	EBI-EMBL	Broad bean mottle virus, Gp1, N-terminal	Broad bean mottle virus, Gp1, N-terminal	This region represents the N terminus of Broad bean mottle virus, Gp1 (2a protein), and is always found N terminal to a predicted RNA-dependent RNA polymerase region (Pfam:PF00978). (from Pfam)
NF016414.6	PF04526.18	DUF568	25	25	100	domain	Y	Y	N	DUF568 domain-containing protein									0	EBI-EMBL	Protein of unknown function (DUF568)	Protein of unknown function (DUF568)	Family of uncharacterised plant proteins. (from Pfam)
NF016420.6	PF04532.17	DUF587	25	25	227	domain	Y	Y	N	DUF587 domain-containing protein									0	EBI-EMBL	Protein of unknown function (DUF587)	Protein of unknown function (DUF587)	This family consists of the N termini of some human herpesvirus U58 proteins, and some cytomegalovirus UL87 proteins. This region is always found N terminal to the Pfam family UL87 (Pfam:PF03043), which has no known function. (from Pfam)
NF016441.6	PF04554.18	Extensin_2	20.8	20.8	57	domain	Y	Y	N	extensin-like domain-containing protein				GO:0005199,GO:0009664					0	EBI-EMBL	Extensin-like region	Extensin-like region	
NF016521.6	PF04642.17	DUF601	24.1	24.1	327	domain	Y	Y	N	DUF601 domain-containing protein									0	EBI-EMBL	Protein of unknown function, DUF601	Protein of unknown function, DUF601	This family represents a conserved region found in several uncharacterised plant proteins. (from Pfam)
NF016525.6	PF04646.18	DUF604	25	25	256	domain	Y	Y	N	DUF604 domain-containing protein									0	EBI-EMBL	Protein of unknown function, DUF604	Protein of unknown function, DUF604	This family includes a conserved region found in several uncharacterised plant proteins. (from Pfam)
NF016622.6	PF04747.17	DUF612	22.6	22.6	511	domain	Y	Y	N	DUF612 domain-containing protein									0	EBI-EMBL	Protein of unknown function, DUF612	Protein of unknown function, DUF612	This family includes several uncharacterised proteins from Caenorhabditis elegans. (from Pfam)
NF016639.6	PF04764.18	DUF613	25	25	120	domain	Y	Y	N	DUF613 domain-containing protein									0	EBI-EMBL	Protein of unknown function (DUF613)	Protein of unknown function (DUF613)	Family of chloroplast proteins of unknown function. Some members have two copies of the conserved region. (from Pfam)
NF016651.6	PF04776.17	protein_MS5	25	25	119	domain	Y	Y	N	MS5 family protein									0	EBI-EMBL	Protein MS5	MS5 family protein	Proteins are known only from species of Brassicaceae. Protein MS5 is essential for pairing of homologues during early prophase stage of meiosis but not necessary for the initiation of DNA double-strand breaks. (from Pfam)
NF016655.6	PF04781.17	DUF627	27.6	27.6	108	domain	Y	Y	N	DUF627 domain-containing protein									0	EBI-EMBL	Protein of unknown function (DUF627)	Protein of unknown function (DUF627)	This family represents the N-terminal region of several plant proteins of unknown function. (from Pfam)
NF016657.6	PF04783.17	DUF630	27	27	59	domain	Y	Y	N	DUF630 domain-containing protein					21348639				0	EBI-EMBL	Protein of unknown function (DUF630)	Protein of unknown function (DUF630)	This region is sometimes found at the N-terminus of putative plant bZIP proteins. Its function is not known. Structural modelling suggests this domain may bind nucleic acids (PMID: 21348639). (from Pfam)
NF016660.6	PF04786.17	Baculo_DNA_bind	25	25	248	domain	Y	Y	N	DNA-binding protein									0	EBI-EMBL	ssDNA binding protein	DNA-binding protein	Family of Baculovirus ssDNA binding proteins. (from Pfam)
NF016692.6	PF04819.17	DUF716	25	25	138	domain	Y	Y	N	DUF716 domain-containing protein									0	EBI-EMBL	Family of unknown function (DUF716)	Family of unknown function (DUF716)	This family is equally distributed in both metazoa and plants. Annotation associated with Swiss:Q9SLW7 suggest that it may be involved in response to viral attack in plants. However, no clear function has been assigned to this family. (from Pfam)
NF016715.6	PF04842.18	DUF639	37.1	37.1	231	domain	Y	Y	N	DUF639 domain-containing protein									0	EBI-EMBL	Plant protein of unknown function (DUF639)	Plant protein of unknown function (DUF639)	Plant protein of unknown function. (from Pfam)
NF016788.7	PF04920.18	BNYVV_p31	27	27	76	domain	Y	Y	N	beet necrotic yellow vein virus protein p31					17412994				0	EBI-EMBL	Beet necrotic yellow vein virus, p31	beet necrotic yellow vein virus protein p31	This is a family of hypothetical proteins known as p31, mostly from Beet necrotic yellow vein virus. P31, encoded by RNA4, is involved in efficient vector transmission, symptom severity and silencing suppression in roots (PMID: 17412994). (from Pfam)
NF016864.6	PF05003.17	DUF668	24	24	89	domain	Y	Y	N	DUF668 domain-containing protein				GO:0045927	25062973				0	EBI-EMBL	Protein of unknown function (DUF668)	Protein of unknown function (DUF668)	This entry represents the C-terminal domain of PSI proteins from Arabidopsis. This domain is found associated with Pfam:PF11961. PSI1 was identified as a gene that is co-expressed with the phytosulfokine (PSK) receptor genes PSKR1 and PSKR2 in Arabidopsis thaliana. PSI proteins are plant-specific and promote growth (PMID: 25062973). (from Pfam)
NF016878.6	PF05018.18	CFA20_dom	24	24	185	domain	Y	Y	N	CFA20 domain-containing protein					20118210,24259666,24574454				0	EBI-EMBL	CFA20 domain	CFA20 domain	This domain is characteristic of cilia- and flagella-associated protein 20 (CFA20). CFA20 is a cilium- and flagellum-specific protein that plays a role in axonemal structure organisation and motility [1,2]. In Chlamydomonas reinhardtii, it stabilises outer doublet microtubules (DMTs) of the axoneme and may work as a scaffold for intratubular proteins, such as tektin and PACRG, to produce the beak structures in DMT1 [2,3]. Other proteins contain a domain with homology to CFA20. WDR90/POC16 contains such a domain in its N terminus, followed by a large C-terminal domain with multiple WD40 repeats (PMID: 24574454). This domain is also present in the N terminus of uncharacterised protein C3orf67. (from Pfam)
NF016933.6	PF05077.17	DUF678	24.1	24.1	74	domain	Y	Y	N	DUF678 domain-containing protein									0	EBI-EMBL	Protein of unknown function (DUF678)	Protein of unknown function (DUF678)	This family contains several poxvirus proteins of unknown function. (from Pfam)
NF016934.6	PF05078.17	DUF679	25	25	163	domain	Y	Y	N	DUF679 domain-containing protein					20712629,22530652,30850817				0	EBI-EMBL	Protein of unknown function (DUF679)	Protein of unknown function (DUF679)	This family includes members such as plant proteins AtDMPs 1-10 (Arabidopsis thaliana DUF679 domain membrane proteins 1 -10) (PMID: 20712629). The AtDMP proteins are predicted to have four transmembrane spans, with cytosolic amino- and carboxy-termini. DMP1 is a membrane protein that may be involved in membrane fission during breakdown of the ER and the tonoplast during leaf senescence and in membrane fusion during vacuole biogenesis in roots (PMID: 22530652). Several DMP proteins are expressed in senescing organs (DMP1, -3, -4) or tissues that will stall later in development (DMP1, -2, -4, -7). These expression patterns strongly suggest involvement of several DMPs in various programmed cell death processes, e.g. senescence, dehiscence and abscission (PMID: 20712629). AtDMP8 and AtDMP9 however, have been shown to facilitate gamete fusion during double fertilisation in flowering plants (PMID: 30850817). (from Pfam)
NF016936.6	PF05080.17	DUF681	25	25	101	domain	Y	Y	N	DUF681 domain-containing protein									0	EBI-EMBL	Protein of unknown function (DUF681)	Protein of unknown function (DUF681)	This family contains several uncharacterised beak and feather disease virus proteins. (from Pfam)
NF016937.6	PF05081.17	AcMNPV_P18	25	25	157	domain	Y	Y	N	AcMNPV P18 family protein									0	EBI-EMBL	Autographa californica nuclear polyhedrosis virus (AcMNPV), P18	AcMNPV P18 family protein	This family is represented by Autographa californica nuclear polyhedrosis virus (AcMNPV), P18; it is a family of uncharacterised viral proteins. (from Pfam)
NF017110.6	PF05266.19	DUF724	38.4	38.4	188	domain	Y	Y	N	DUF724 domain-containing protein									0	EBI-EMBL	Protein of unknown function (DUF724)	Protein of unknown function (DUF724)	This family contains several uncharacterised proteins found in Arabidopsis thaliana and other plants. This region is often found associated with Agenet domains and may contain coiled-coil. (from Pfam)
NF017111.6	PF05267.17	DUF725	22	22	121	domain	Y	Y	N	DUF725 domain-containing protein									0	EBI-EMBL	Protein of unknown function (DUF725)	Protein of unknown function (DUF725)	This family contains several Drosophila proteins of unknown function. (from Pfam)
NF017144.6	PF05301.17	Acetyltransf_16	27	27	173	domain	Y	Y	N	GNAT family N-acetyltransferase			2.3.1.-	GO:0005874,GO:0019799,GO:0071929	12124626,17172875				0	EBI-EMBL	GNAT acetyltransferase, Mec-17	GNAT family N-acetyltransferase	Mec-17 is the protein product of one of the 18 genes required for the development and function of the touch receptor neuron for gentle touch. Mec-17 is specifically required for maintaining the differentiation of the touch receptor (PMID: 12124626). The family shares all the residue-motifs characteristic of Gcn5-related acetyl-transferases, though the exact unction is still unknown (PMID: 17172875). (from Pfam)
NF017147.7	PF05304.18	DUF728	29.3	29.3	138	domain	Y	Y	N	DUF728 domain-containing protein									0	EBI-EMBL	Protein of unknown function (DUF728)	Protein of unknown function (DUF728)	This family consists of several uncharacterised tobravirus proteins of unknown function. (from Pfam)
NF017149.6	PF05306.16	DUF733	25	25	85	domain	Y	Y	N	DUF733 domain-containing protein									0	EBI-EMBL	Protein of unknown function (DUF733)	Protein of unknown function (DUF733)	This family consists of several uncharacterised Drosophila melanogaster proteins of unknown function. (from Pfam)
