Protein	Contig	Genome	Protein Classification	Protein Viral Origin Confidence	Function	KEGG KO	KEGG KO Name	FOAM ID	FOAM Annotation	Pfam Accession	Pfam Name	CAZy Family	CAZy Activities	METABOLIC db ID	METABOLIC Annotation	CAMPER ID	CAMPER Annotation	PHROG Number	PHROG Annotation	Best Scoring HMM	Best Scoring HMM Annotation	Best Scoring HMM Origin
vRhyme_bin_11__MHr2D2E2F_000000167594_3	vRhyme_bin_11__MHr2D2E2F_000000167594	MHr2D2E2F_vRhyme_bin_11	metabolic	medium	pstS; phosphate transport system substrate-binding protein			HMMsoil60431	pstS; phosphate transport system substrate-binding protein	PF00691.26	OmpA family									PF00691.26	OmpA family	Pfam
vRhyme_bin_11__MHr2D2E2F_000000167594_5	vRhyme_bin_11__MHr2D2E2F_000000167594	MHr2D2E2F_vRhyme_bin_11	metabolic	medium	ABC.SN.P; NitT/TauT family transport system permease protein	K02050	ABC.SN.P; NitT/TauT family transport system permease protein	HMMsoil56955	ABC.SN.P; NitT/TauT family transport system permease protein									phrog_6743	""	HMMsoil56955	ABC.SN.P; NitT/TauT family transport system permease protein	FOAM
vRhyme_bin_11__MHr2D2E2F_000000167594_7	vRhyme_bin_11__MHr2D2E2F_000000167594	MHr2D2E2F_vRhyme_bin_11	metabolic	medium	modC; molybdate transport system ATP-binding protein [EC:7.3.2.5]	K02049	ABC.SN.A; NitT/TauT family transport system ATP-binding protein	HMMsoil34383	modC; molybdate transport system ATP-binding protein [EC:7.3.2.5]	PF00005.34	ABC transporter							phrog_23675	""	K02049	ABC.SN.A; NitT/TauT family transport system ATP-binding protein	KEGG
vRhyme_bin_11__MHr2D2E2F_000000172760_31	vRhyme_bin_11__MHr2D2E2F_000000172760	MHr2D2E2F_vRhyme_bin_11	metabolic	medium	P4HA; prolyl 4-hydroxylase [EC:1.14.11.2]	K00472	P4HA; prolyl 4-hydroxylase [EC:1.14.11.2]	HMMsoil135564	P4HA; prolyl 4-hydroxylase [EC:1.14.11.2]	PF13640.13	2OG-Fe(II) oxygenase superfamily									K00472	P4HA; prolyl 4-hydroxylase [EC:1.14.11.2]	KEGG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_31	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	metabolic	medium	yogA; zinc-binding alcohol dehydrogenase/oxidoreductase	K13955	yogA; zinc-binding alcohol dehydrogenase/oxidoreductase	HMMsoil27784	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	PF00107.33	Zinc-binding dehydrogenase							phrog_2640	zinc containing alcohol dehydrogenase superfamily	K13955	yogA; zinc-binding alcohol dehydrogenase/oxidoreductase	KEGG
vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970_4	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	metabolic	medium	asnB, ASNS; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	K01953	asnB, ASNS; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	HMMsoil7829	asnB, ASNS; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	PF00733.28	Asparagine synthase							phrog_16728	""	K01953	asnB, ASNS; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	KEGG
vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090_14	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	metabolic	medium	Iron reduction					PF01436.28	NHL repeat			DFE_0451	Iron reduction					PF01436.28	NHL repeat	Pfam
vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090_2	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	metabolic	medium	iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]	K04487	iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]	HMMsoil86550	iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]	PF00266.26	Aminotransferase class-V							phrog_12787	""	K04487	iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]	KEGG
vRhyme_unbinned_11__MGr3G3H3I_000000030488_7	vRhyme_unbinned_11__MGr3G3H3I_000000030488	vRhyme_unbinned_11__MGr3G3H3I_000000030488	metabolic	medium	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]			HMMsoil127075	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]	PF10282.16	Lactonase, 7-bladed beta-propeller									HMMsoil127075	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]	FOAM
vRhyme_unbinned_20__MGr3G3H3I_000000054425_2	vRhyme_unbinned_20__MGr3G3H3I_000000054425	vRhyme_unbinned_20__MGr3G3H3I_000000054425	metabolic	medium	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]	K18298	mexE; membrane fusion protein, multidrug efflux system	HMMsoil104173	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]	PF25917.1	RND MFP, barrel-sandwich hybrid domain							phrog_13642	""	K18298	mexE; membrane fusion protein, multidrug efflux system	KEGG
vRhyme_unbinned_44__MGr3G3H3I_000000146975_17	vRhyme_unbinned_44__MGr3G3H3I_000000146975	vRhyme_unbinned_44__MGr3G3H3I_000000146975	metabolic	medium	rfk; riboflavin kinase, archaea type [EC:2.7.1.161]	K07732	rfk; riboflavin kinase, archaea type [EC:2.7.1.161]			PF01982.23	Domain of unknown function DUF120									K07732	rfk; riboflavin kinase, archaea type [EC:2.7.1.161]	KEGG
vRhyme_unbinned_88__MGr3G3H3I_000000288833_83	vRhyme_unbinned_88__MGr3G3H3I_000000288833	vRhyme_unbinned_88__MGr3G3H3I_000000288833	metabolic	medium	gumL; pyruvyltransferase	K13665	gumL; pyruvyltransferase			PF04230.20	Polysaccharide pyruvyl transferase									K13665	gumL; pyruvyltransferase	KEGG
vRhyme_unbinned_99__MGr3G3H3I_000000077756|provirus_33272_71474_15	vRhyme_unbinned_99__MGr3G3H3I_000000077756|provirus_33272_71474	vRhyme_unbinned_99__MGr3G3H3I_000000077756|provirus_33272_71474	metabolic	medium	hdrA2; heterodisulfide reductase subunit A2 [EC:1.8.7.3] [EC:1.8.98.4] [EC:1.8.98.5] [EC:1.8.98.6]			HMMsoil11677	hdrA2; heterodisulfide reductase subunit A2 [EC:1.8.7.3] [EC:1.8.98.4] [EC:1.8.98.5] [EC:1.8.98.6]	PF09903.15	Uncharacterized protein conserved in bacteria (DUF2130)									PF09903.15	Uncharacterized protein conserved in bacteria (DUF2130)	Pfam
vRhyme_unbinned_31__MGr3G3H3I_000000103998_26	vRhyme_unbinned_31__MGr3G3H3I_000000103998	vRhyme_unbinned_31__MGr3G3H3I_000000103998	metabolic	low	rocD, OAT; ornithine--oxo-acid transaminase [EC:2.6.1.13]	K09251	patA; putrescine aminotransferase [EC:2.6.1.82]	HMMsoil34373	rocD, OAT; ornithine--oxo-acid transaminase [EC:2.6.1.13]	PF00202.28	Aminotransferase class-III							phrog_2736	aminotransferase	HMMsoil34373	rocD, OAT; ornithine--oxo-acid transaminase [EC:2.6.1.13]	FOAM
vRhyme_bin_11__MGr3G3H3I_000000213947_5	vRhyme_bin_11__MGr3G3H3I_000000213947	MGr3G3H3I_vRhyme_bin_11	physiological	high	cspA; cold shock protein	K03704	cspA; cold shock protein			PF00313.29	'Cold-shock' DNA-binding domain									K03704	cspA; cold shock protein	KEGG
vRhyme_unbinned_11__MGr3G3H3I_000000030488_6	vRhyme_unbinned_11__MGr3G3H3I_000000030488	vRhyme_unbinned_11__MGr3G3H3I_000000030488	physiological	medium	SERGEF; secretion-regulating guanine nucleotide exchange factor	K15421	SERGEF; secretion-regulating guanine nucleotide exchange factor	HMMsoil102338	SPEG; striated muscle-specific serine/threonine protein kinase [EC:2.7.11.1]	PF25390.2	RCC1-like domain							phrog_16766	regulator of chromosome condensation	PF25390.2	RCC1-like domain	Pfam
vRhyme_unbinned_31__MGr3G3H3I_000000103998_25	vRhyme_unbinned_31__MGr3G3H3I_000000103998	vRhyme_unbinned_31__MGr3G3H3I_000000103998	physiological	medium	cspA; cold shock protein	K03704	cspA; cold shock protein			PF00313.29	'Cold-shock' DNA-binding domain									K03704	cspA; cold shock protein	KEGG
vRhyme_unbinned_78__MGr3G3H3I_000000231783_12	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	physiological	medium	cspA; cold shock protein	K03704	cspA; cold shock protein			PF00313.29	'Cold-shock' DNA-binding domain									K03704	cspA; cold shock protein	KEGG
vRhyme_bin_11__LABRr1A1B1C_000000192364_4	vRhyme_bin_11__LABRr1A1B1C_000000192364	LABRr1A1B1C_vRhyme_bin_11	regulatory	high	RNA-binding protein					PF12961.14	Domain of unknown function (DUF3850)							phrog_986	RNA-binding protein	phrog_986	RNA-binding protein	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000220419_10	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	regulatory	high	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	K03497	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein			PF02195.26	ParB N-terminal domain							phrog_1033	ParB-like partition protein	phrog_1033	ParB-like partition protein	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000321934_9	vRhyme_bin_11__LABRr1A1B1C_000000321934	LABRr1A1B1C_vRhyme_bin_11	regulatory	high	DNA binding protein					PF00216.27	Bacterial DNA-binding protein							phrog_379	DNA binding protein	PF00216.27	Bacterial DNA-binding protein	Pfam
vRhyme_bin_11__MHr2D2E2F_000000121636_5	vRhyme_bin_11__MHr2D2E2F_000000121636	MHr2D2E2F_vRhyme_bin_11	regulatory	high	csrA; carbon storage regulator	K03563	csrA; carbon storage regulator			PF02599.22	Global regulator protein family							phrog_9500	CsrA-like regulator	K03563	csrA; carbon storage regulator	KEGG
vRhyme_bin_11__MHr2D2E2F_000000342937_21	vRhyme_bin_11__MHr2D2E2F_000000342937	MHr2D2E2F_vRhyme_bin_11	regulatory	high	RNA-binding protein	K11089	TROVE2, SSA2; 60 kDa SS-A/Ro ribonucleoprotein			PF25045.2	Ro60 vWA domain							phrog_850	RNA-binding protein	K11089	TROVE2, SSA2; 60 kDa SS-A/Ro ribonucleoprotein	KEGG
vRhyme_bin_11__MHr2D2E2F_000000342937_25	vRhyme_bin_11__MHr2D2E2F_000000342937	MHr2D2E2F_vRhyme_bin_11	regulatory	high	groES, HSPE1; chaperonin GroES	K04078	groES, HSPE1; chaperonin GroES			PF00166.27	Chaperonin 10 Kd subunit							phrog_3188	co-chaperonin GroES	K04078	groES, HSPE1; chaperonin GroES	KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_12	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	regulatory	high	ssb; single-strand DNA-binding protein	K03111	ssb; single-strand DNA-binding protein			PF00436.32	Single-strand binding protein family							phrog_44	single strand DNA binding protein	K03111	ssb; single-strand DNA-binding protein	KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_39	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	regulatory	high	lexA; repressor LexA [EC:3.4.21.88]	K01356	lexA; repressor LexA [EC:3.4.21.88]			PF01726.23	LexA DNA binding domain							phrog_4	transcriptional repressor	K01356	lexA; repressor LexA [EC:3.4.21.88]	KEGG
vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337_2	vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337	vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337	regulatory	high	transcriptional repressor					PF00717.29	Peptidase S24-like							phrog_4	transcriptional repressor	phrog_4	transcriptional repressor	PHROG
vRhyme_unbinned_16__MGr3G3H3I_000000046301_8	vRhyme_unbinned_16__MGr3G3H3I_000000046301	vRhyme_unbinned_16__MGr3G3H3I_000000046301	regulatory	high	late transcriptional activator					PF08765.18	Mor transcription activator family							phrog_836	late transcriptional activator	phrog_836	late transcriptional activator	PHROG
vRhyme_unbinned_21__MGr3G3H3I_000000062622_11	vRhyme_unbinned_21__MGr3G3H3I_000000062622	vRhyme_unbinned_21__MGr3G3H3I_000000062622	regulatory	high	transcriptional regulator					PF06114.20	IrrE N-terminal-like domain							phrog_2439	transcriptional regulator	phrog_2439	transcriptional regulator	PHROG
vRhyme_unbinned_32__MGr3G3H3I_000000112980_9	vRhyme_unbinned_32__MGr3G3H3I_000000112980	vRhyme_unbinned_32__MGr3G3H3I_000000112980	regulatory	high	transcriptional regulator	K22300	dicA; HTH-type transcriptional regulator, cell division transcriptional repressor	HMMsoil126373	ade; adenine deaminase [EC:3.5.4.2]	PF06114.20	IrrE N-terminal-like domain							phrog_2439	transcriptional regulator	phrog_2439	transcriptional regulator	PHROG
vRhyme_unbinned_37__MGr3G3H3I_000000135683_12	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	regulatory	high	SMARCAL1, HARP; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:5.6.2.-]	K14440	SMARCAL1, HARP; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:5.6.2.-]	HMMsoil50354	ENTPD2; adenosinetriphosphatase [EC:3.6.1.-]	PF00176.30	SNF2-related domain							phrog_29996	""	K14440	SMARCAL1, HARP; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:5.6.2.-]	KEGG
vRhyme_unbinned_37__MGr3G3H3I_000000135683_13	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	regulatory	high	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	K03497	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein			PF02195.26	ParB N-terminal domain							phrog_3264	ParB-like partition protein	K03497	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	KEGG
vRhyme_unbinned_3__MGr3G3H3I_000000009885_15	vRhyme_unbinned_3__MGr3G3H3I_000000009885	vRhyme_unbinned_3__MGr3G3H3I_000000009885	regulatory	high	RNA-binding protein					PF12961.14	Domain of unknown function (DUF3850)							phrog_986	RNA-binding protein	phrog_986	RNA-binding protein	PHROG
vRhyme_unbinned_3__MGr3G3H3I_000000009885_5	vRhyme_unbinned_3__MGr3G3H3I_000000009885	vRhyme_unbinned_3__MGr3G3H3I_000000009885	regulatory	high	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	K03497	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein			PF02195.26	ParB N-terminal domain							phrog_4715	ParB-like partition protein	K03497	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	KEGG
vRhyme_unbinned_3__MGr3G3H3I_000000009885_7	vRhyme_unbinned_3__MGr3G3H3I_000000009885	vRhyme_unbinned_3__MGr3G3H3I_000000009885	regulatory	high	rsbV; anti-sigma B factor antagonist	K04749	rsbV; anti-sigma B factor antagonist	HMMsoil69860	glsA, GLS; glutaminase [EC:3.5.1.2]	PF01740.27	STAS domain									K04749	rsbV; anti-sigma B factor antagonist	KEGG
vRhyme_unbinned_41__MGr3G3H3I_000000142568_15	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	regulatory	high	repA; regulatory protein RepA	K07505	repA; regulatory protein RepA			PF13481.13	AAA domain							phrog_25693	""	phrog_25693	""	PHROG
vRhyme_unbinned_41__MGr3G3H3I_000000142568_20	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	regulatory	high	alpA; prophage regulatory protein	K07733	alpA; prophage regulatory protein			PF05930.19	Prophage CP4-57 regulatory protein (AlpA)									K07733	alpA; prophage regulatory protein	KEGG
vRhyme_unbinned_46__MGr3G3H3I_000000153998_16	vRhyme_unbinned_46__MGr3G3H3I_000000153998	vRhyme_unbinned_46__MGr3G3H3I_000000153998	regulatory	high	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	K03497	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein											phrog_620	ParB-like partition protein	phrog_620	ParB-like partition protein	PHROG
vRhyme_unbinned_53__MGr3G3H3I_000000162938_6	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	regulatory	high	transcriptional regulator			HMMsoil73877	aroK, aroL; shikimate kinase [EC:2.7.1.71]	PF01381.29	Helix-turn-helix							phrog_7241	transcriptional regulator	HMMsoil73877	aroK, aroL; shikimate kinase [EC:2.7.1.71]	FOAM
vRhyme_unbinned_58__MGr3G3H3I_000000175243_18	vRhyme_unbinned_58__MGr3G3H3I_000000175243	vRhyme_unbinned_58__MGr3G3H3I_000000175243	regulatory	high	excisionase and transcriptional regulator					PF05930.19	Prophage CP4-57 regulatory protein (AlpA)							phrog_2790	excisionase and transcriptional regulator	PF05930.19	Prophage CP4-57 regulatory protein (AlpA)	Pfam
vRhyme_unbinned_60__MGr3G3H3I_000000180455_10	vRhyme_unbinned_60__MGr3G3H3I_000000180455	vRhyme_unbinned_60__MGr3G3H3I_000000180455	regulatory	high	transcriptional regulator			HMMsoil73877	aroK, aroL; shikimate kinase [EC:2.7.1.71]	PF13560.13	Helix-turn-helix domain							phrog_7241	transcriptional regulator	HMMsoil73877	aroK, aroL; shikimate kinase [EC:2.7.1.71]	FOAM
vRhyme_unbinned_62__MGr3G3H3I_000000188077_25	vRhyme_unbinned_62__MGr3G3H3I_000000188077	vRhyme_unbinned_62__MGr3G3H3I_000000188077	regulatory	high	late transcriptional activator													phrog_836	late transcriptional activator	phrog_836	late transcriptional activator	PHROG
vRhyme_unbinned_62__MGr3G3H3I_000000188077_9	vRhyme_unbinned_62__MGr3G3H3I_000000188077	vRhyme_unbinned_62__MGr3G3H3I_000000188077	regulatory	high	dicA; HTH-type transcriptional regulator, cell division transcriptional repressor	K22300	dicA; HTH-type transcriptional regulator, cell division transcriptional repressor	HMMsoil126373	ade; adenine deaminase [EC:3.5.4.2]	PF01381.29	Helix-turn-helix							phrog_8	transcriptional regulator	K22300	dicA; HTH-type transcriptional regulator, cell division transcriptional repressor	KEGG
vRhyme_unbinned_6__MGr3G3H3I_000000012933_6	vRhyme_unbinned_6__MGr3G3H3I_000000012933	vRhyme_unbinned_6__MGr3G3H3I_000000012933	regulatory	high	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	K03497	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein													K03497	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	KEGG
vRhyme_unbinned_76__MGr3G3H3I_000000223668_24	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	regulatory	high	K07729; putative transcriptional regulator	K07729	K07729; putative transcriptional regulator	HMMsoil52190	aroK, aroL; shikimate kinase [EC:2.7.1.71]	PF11753.14	Protein of unknwon function (DUF3310)							phrog_11324	nucleotide kinase	phrog_11324	nucleotide kinase	PHROG
vRhyme_unbinned_81__MGr3G3H3I_000000246984_4	vRhyme_unbinned_81__MGr3G3H3I_000000246984	vRhyme_unbinned_81__MGr3G3H3I_000000246984	regulatory	high	groES, HSPE1; chaperonin GroES	K04078	groES, HSPE1; chaperonin GroES			PF00166.27	Chaperonin 10 Kd subunit							phrog_3188	co-chaperonin GroES	K04078	groES, HSPE1; chaperonin GroES	KEGG
vRhyme_unbinned_82__MGr3G3H3I_000000255661_3	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	regulatory	high	groES, HSPE1; chaperonin GroES	K04078	groES, HSPE1; chaperonin GroES			PF00166.27	Chaperonin 10 Kd subunit							phrog_3188	co-chaperonin GroES	K04078	groES, HSPE1; chaperonin GroES	KEGG
vRhyme_unbinned_82__MGr3G3H3I_000000255661_5	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	regulatory	high	groEL, HSPD1, HSP60, CPN60; chaperonin GroEL [EC:5.6.1.7]	K04077	groEL, HSPD1, HSP60, CPN60; chaperonin GroEL [EC:5.6.1.7]			PF00118.30	TCP-1/cpn60 chaperonin family							phrog_5725	chaperonin groEL	K04077	groEL, HSPD1, HSP60, CPN60; chaperonin GroEL [EC:5.6.1.7]	KEGG
vRhyme_unbinned_85__MGr3G3H3I_000000273023_8	vRhyme_unbinned_85__MGr3G3H3I_000000273023	vRhyme_unbinned_85__MGr3G3H3I_000000273023	regulatory	high	transcriptional regulator													phrog_2345	transcriptional regulator	phrog_2345	transcriptional regulator	PHROG
vRhyme_unbinned_87__MGr3G3H3I_000000274731_6	vRhyme_unbinned_87__MGr3G3H3I_000000274731	vRhyme_unbinned_87__MGr3G3H3I_000000274731	regulatory	high	DNA binding protein					PF13412.13	Winged helix-turn-helix DNA-binding							phrog_6401	DNA binding protein	phrog_6401	DNA binding protein	PHROG
vRhyme_unbinned_88__MGr3G3H3I_000000288833_110	vRhyme_unbinned_88__MGr3G3H3I_000000288833	vRhyme_unbinned_88__MGr3G3H3I_000000288833	regulatory	high	groES, HSPE1; chaperonin GroES	K04078	groES, HSPE1; chaperonin GroES			PF00166.27	Chaperonin 10 Kd subunit									K04078	groES, HSPE1; chaperonin GroES	KEGG
