Protein	Contig	Genome	Function	KEGG_hmm_id	FOAM_hmm_id	Pfam_hmm_id	dbCAN_hmm_id	METABOLIC_hmm_id	CAMPER_hmm_id	PHROG_hmm_id	KEGG_score	FOAM_score	Pfam_score	dbCAN_score	METABOLIC_score	CAMPER_score	PHROG_score	KEGG_coverage	FOAM_coverage	Pfam_coverage	dbCAN_coverage	METABOLIC_coverage	CAMPER_coverage	PHROG_coverage	KEGG_V-score	Pfam_V-score	PHROG_V-score	Viral_Flanking_Genes_Left_Dist	Viral_Flanking_Genes_Right_Dist	MGE_Flanking_Genes_Left_Dist	MGE_Flanking_Genes_Right_Dist	Viral_Origin_Confidence	KEGG_Description	FOAM_Description	Pfam_Description	dbCAN_Description	METABOLIC_Description	CAMPER_Description	PHROG_Description	top_hit_hmm_id	top_hit_description	top_hit_db	FILTER_MATCH_ALL	FILTER_REMOVE_TOKEN_ALL	FILTER_EXCEPTION_ALL	FILTER_EXCEPTION_TOKEN_ALL	step5_in_merged_region	protein_in_nonviral_region	nonviral_region_pos
vRhyme_bin_11__LABRr1A1B1C_000000220419_10	vRhyme_bin_11__LABRr1A1B1C_000000220419	LABRr1A1B1C_vRhyme_bin_11	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	K03497		PF02195.26				phrog_1033	32.521481		24.548155				30.92798	0.4342857142857143		0.7894736842105263				0.40718562874251496	10.0	10.0	10.0	1437.0	2742.0	NaN	NaN	high	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein		ParB N-terminal domain				ParB-like partition protein	K03497	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	KEGG	false		false		true	false	
vRhyme_bin_11__LABRr1A1B1C_000000321934_9	vRhyme_bin_11__LABRr1A1B1C_000000321934	LABRr1A1B1C_vRhyme_bin_11	Bacterial DNA-binding protein			PF00216.27				phrog_379			41.84367				35.664322			0.9333333333333333				0.644927536231884		10.0	10.0	NaN	1707.0	NaN	NaN	high			Bacterial DNA-binding protein				DNA binding protein	PF00216	Bacterial DNA-binding protein	Pfam	false		false		true	false	
vRhyme_bin_12__LABRr1A1B1C_000000124220_20	vRhyme_bin_12__LABRr1A1B1C_000000124220	LABRr1A1B1C_vRhyme_bin_12	Helix-turn-helix domain			PF12728.14							30.761183							0.8431372549019608						10.0		3531.0	261.0	NaN	NaN	low			Helix-turn-helix domain					PF12728	Helix-turn-helix domain	Pfam	false		false		true	false	
vRhyme_bin_11__MGr3G3H3I_000000213947_5	vRhyme_bin_11__MGr3G3H3I_000000213947	MGr3G3H3I_vRhyme_bin_11	'Cold-shock' DNA-binding domain	K03704		PF00313.29					109.415161		99.704941					0.34594594594594597		0.9696969696969697					10.0	10.0		3768.0	711.0	NaN	NaN	high	cspA; cold shock protein		'Cold-shock' DNA-binding domain					K03704	cspA; cold shock protein	KEGG	false		false		true	false	
vRhyme_bin_11__MHr2D2E2F_000000049988_8	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	Bacterial regulatory protein, Fis family			PF02954.26							25.751293							0.7619047619047619						5.4		NaN	6999.0	14091.0	NaN	medium			Bacterial regulatory protein, Fis family					PF02954	Bacterial regulatory protein, Fis family	Pfam	false		false		false	true	
vRhyme_bin_11__MHr2D2E2F_000000049988_25	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K13589	HMMsoil22408	PF00072.31				phrog_731	66.382263	67.563881	67.017998				47.66901	0.5645161290322581	0.4954545454545455	0.8018018018018018				0.3656387665198238	10.0	10.0	9.94	NaN	1581.0	NaN	NaN	low	cpdR; two-component system, cell cycle response regulator CpdR	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	Response regulator receiver domain				""	HMMsoil22408	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	FOAM	false		false		true	false	
vRhyme_bin_11__MHr2D2E2F_000000121636_5	vRhyme_bin_11__MHr2D2E2F_000000121636	MHr2D2E2F_vRhyme_bin_11	Global regulator protein family			PF02599.22				phrog_9500			103.542549				71.70816			0.9433962264150944				0.7692307692307693		10.0	10.0	NaN	4389.0	NaN	NaN	high			Global regulator protein family				CsrA-like regulator	PF02599	Global regulator protein family	Pfam	false		false		true	false	
vRhyme_bin_11__MHr2D2E2F_000000308642_6	vRhyme_bin_11__MHr2D2E2F_000000308642	MHr2D2E2F_vRhyme_bin_11	Putative DNA-binding phage zinc finger domain			PF24623.3							25.892551							0.7719298245614035								2235.0	1188.0	NaN	NaN	high			Putative DNA-binding phage zinc finger domain					PF24623	Putative DNA-binding phage zinc finger domain	Pfam	false		false		true	false	
vRhyme_bin_11__MHr2D2E2F_000000342937_21	vRhyme_bin_11__MHr2D2E2F_000000342937	MHr2D2E2F_vRhyme_bin_11	RNA-binding protein	K11089		PF25045.2				phrog_850	596.340881		208.525177				277.158569	0.8092399403874814		0.9939393939393939				0.9621848739495799				NaN	NaN	NaN	NaN	high	TROVE2, SSA2; 60 kDa SS-A/Ro ribonucleoprotein		Ro60 vWA domain				RNA-binding protein	K11089	TROVE2, SSA2; 60 kDa SS-A/Ro ribonucleoprotein	KEGG	false		false		true	false	
vRhyme_bin_11__MHr2D2E2F_000000342937_25	vRhyme_bin_11__MHr2D2E2F_000000342937	MHr2D2E2F_vRhyme_bin_11	groES, HSPE1; chaperonin GroES	K04078		PF00166.27				phrog_3188	135.12352		110.188286				92.173882	0.4067796610169492		0.978494623655914				0.9791666666666666	10.0	10.0	3.67	NaN	NaN	NaN	NaN	high	groES, HSPE1; chaperonin GroES		Chaperonin 10 Kd subunit				co-chaperonin GroES	K04078	groES, HSPE1; chaperonin GroES	KEGG	false		false		true	false	
vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599_2	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	vRhyme_unbinned_100__MGr3G3H3I_000000103162|provirus_6091_24599	Sigma-70, region 4			PF08281.19							30.615494							0.8888888888888888						10.0		NaN	12885.0	NaN	NaN	medium			Sigma-70, region 4					PF08281	Sigma-70, region 4	Pfam	false		false		true	false	
vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337_2	vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337	vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337	transcriptional repressor			PF00717.29				phrog_4			41.511707				60.781254			0.8189655172413793				0.46		10.0	10.0	NaN	1794.0	NaN	NaN	medium			Peptidase S24-like				transcriptional repressor	phrog_4	transcriptional repressor	PHROG	false		false		true	false	
vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337_21	vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337	vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337	DNA binding protein			PF13643.12				phrog_1305			35.905113				129.708084			0.5795454545454546				0.9336283185840708		10.0	10.0	8406.0	3753.0	NaN	NaN	high			Domain of unknown function (DUF4145)				DNA binding protein	phrog_1305	DNA binding protein	PHROG	false		false		true	false	
vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090_11	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	K07729; putative transcriptional regulator	K07729	HMMsoil126373	PF13560.13					43.475719	31.555597	28.315989					0.35233160621761656	0.7454545454545455	0.625					10.0	10.0		2859.0	NaN	NaN	NaN	low	K07729; putative transcriptional regulator	ade; adenine deaminase [EC:3.5.4.2]	Helix-turn-helix domain					K07729	K07729; putative transcriptional regulator	KEGG	false		false		true	false	
vRhyme_unbinned_111__MGr3G3H3I_000000255312|provirus_3194_13139_3	vRhyme_unbinned_111__MGr3G3H3I_000000255312|provirus_3194_13139	vRhyme_unbinned_111__MGr3G3H3I_000000255312|provirus_3194_13139	Helix-turn-helix domain			PF12728.14							39.796329							0.8627450980392157						10.0		1938.0	795.0	NaN	NaN	high			Helix-turn-helix domain					PF12728	Helix-turn-helix domain	Pfam	false		false		true	false	
vRhyme_unbinned_112__MGr3G3H3I_000000261563|provirus_41_8855_3	vRhyme_unbinned_112__MGr3G3H3I_000000261563|provirus_41_8855	vRhyme_unbinned_112__MGr3G3H3I_000000261563|provirus_41_8855	CIRBP; cold-inducible RNA-binding protein	K13195		PF00076.29					99.478035		78.557236					0.30952380952380953		1.0					1.61	1.85		NaN	651.0	NaN	NaN	low	CIRBP; cold-inducible RNA-binding protein		RNA recognition motif					K13195	CIRBP; cold-inducible RNA-binding protein	KEGG	false		false		true	false	
vRhyme_unbinned_11__MGr3G3H3I_000000030488_2	vRhyme_unbinned_11__MGr3G3H3I_000000030488	vRhyme_unbinned_11__MGr3G3H3I_000000030488	IclR helix-turn-helix domain			PF09339.17				phrog_125			29.515327				42.760105			0.6730769230769231				0.3228346456692913		2.22	10.0	NaN	NaN	NaN	NaN	low			IclR helix-turn-helix domain				DNA invertase	phrog_125	DNA invertase	PHROG	false		false		false	true	
vRhyme_unbinned_11__MGr3G3H3I_000000030488_6	vRhyme_unbinned_11__MGr3G3H3I_000000030488	vRhyme_unbinned_11__MGr3G3H3I_000000030488	RCC1; regulator of chromosome condensation	K11493	HMMsoil102338	PF25390.2				phrog_16766	232.572205	61.642357	289.216888				100.865013	0.5165354330708661	0.9875	0.7107438016528925				0.3656618610747051				4188.0	NaN	NaN	NaN	medium	RCC1; regulator of chromosome condensation	SPEG; striated muscle-specific serine/threonine protein kinase [EC:2.7.11.1]	RCC1-like domain				regulator of chromosome condensation	PF25390	RCC1-like domain	Pfam	false		false		false	true	
vRhyme_unbinned_13__MGr3G3H3I_000000037801_19	vRhyme_unbinned_13__MGr3G3H3I_000000037801	vRhyme_unbinned_13__MGr3G3H3I_000000037801	Helix-turn-helix domain			PF12728.14							28.253595							0.8627450980392157						10.0		1278.0	2727.0	13146.0	15003.0	medium			Helix-turn-helix domain					PF12728	Helix-turn-helix domain	Pfam	false		false		true	false	
vRhyme_unbinned_16__MGr3G3H3I_000000046301_1	vRhyme_unbinned_16__MGr3G3H3I_000000046301	vRhyme_unbinned_16__MGr3G3H3I_000000046301	narL; two-component system, NarL family, nitrate/nitrite response regulator NarL	K07684	HMMsoil96567	PF00072.31				phrog_731	238.293243	95.151733	92.214035				112.432739	0.6409495548961425	0.5167464114832536	0.990990990990991				0.9118942731277533	10.0	10.0	9.94	NaN	3624.0	NaN	NaN	low	narL; two-component system, NarL family, nitrate/nitrite response regulator NarL	narX; two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX [EC:2.7.13.3]; narQ; two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ [EC:2.7.13.3]	Response regulator receiver domain				""	K07684	narL; two-component system, NarL family, nitrate/nitrite response regulator NarL	KEGG	false		false		true	false	
vRhyme_unbinned_16__MGr3G3H3I_000000046301_8	vRhyme_unbinned_16__MGr3G3H3I_000000046301	vRhyme_unbinned_16__MGr3G3H3I_000000046301	late transcriptional activator			PF08765.18				phrog_836			33.074699				65.170464			0.7009345794392523				0.8345864661654135		10.0	10.0	1101.0	1203.0	NaN	NaN	high			Mor transcription activator family				late transcriptional activator	phrog_836	late transcriptional activator	PHROG	false		false		true	false	
vRhyme_unbinned_20__MGr3G3H3I_000000054425_6	vRhyme_unbinned_20__MGr3G3H3I_000000054425	vRhyme_unbinned_20__MGr3G3H3I_000000054425	higA; HTH-type transcriptional regulator / antitoxin HigA	K18831	HMMsoil68357	PF13560.13				phrog_1373	90.157455	50.699303	43.384003				52.654697	0.5576036866359447	0.9454545454545454	0.828125				0.7168674698795181	5.79	10.0	3.26	NaN	435.0	NaN	NaN	low	higA; HTH-type transcriptional regulator / antitoxin HigA	alaA; alanine-synthesizing transaminase [EC:2.6.1.66] [EC:2.6.1.2]; K10907; aminotransferase [EC:2.6.1.-]	Helix-turn-helix domain				transcriptional regulator	K18831	higA; HTH-type transcriptional regulator / antitoxin HigA	KEGG	false		false		true	false	
vRhyme_unbinned_20__MGr3G3H3I_000000054425_10	vRhyme_unbinned_20__MGr3G3H3I_000000054425	vRhyme_unbinned_20__MGr3G3H3I_000000054425	Helix-turn-helix domain	K07733		PF12728.14					28.867466		41.780682					0.3220338983050847		0.9607843137254902					10.0	10.0		2058.0	180.0	NaN	16125.0	low	alpA; prophage regulatory protein		Helix-turn-helix domain					PF12728	Helix-turn-helix domain	Pfam	false		false		true	false	
vRhyme_unbinned_21__MGr3G3H3I_000000062622_7	vRhyme_unbinned_21__MGr3G3H3I_000000062622	vRhyme_unbinned_21__MGr3G3H3I_000000062622	Helix-turn-helix domain			PF12728.14							45.106152							0.9411764705882353						10.0		1425.0	1143.0	4818.0	NaN	high			Helix-turn-helix domain					PF12728	Helix-turn-helix domain	Pfam	false		false		true	false	
vRhyme_unbinned_21__MGr3G3H3I_000000062622_11	vRhyme_unbinned_21__MGr3G3H3I_000000062622	vRhyme_unbinned_21__MGr3G3H3I_000000062622	transcriptional regulator			PF06114.20				phrog_2439			59.832939				169.393585			0.7868852459016393				0.9782016348773842		10.0	10.0	3942.0	NaN	5889.0	NaN	high			IrrE N-terminal-like domain				transcriptional regulator	phrog_2439	transcriptional regulator	PHROG	false		false		true	false	
vRhyme_unbinned_22__MGr3G3H3I_000000064551_12	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	Helix-turn-helix domain			PF13518.13							26.114231							0.6538461538461539						10.0		5091.0	429.0	NaN	NaN	low			Helix-turn-helix domain					PF13518	Helix-turn-helix domain	Pfam	false		false		true	false	
vRhyme_unbinned_22__MGr3G3H3I_000000064551_13	vRhyme_unbinned_22__MGr3G3H3I_000000064551	vRhyme_unbinned_22__MGr3G3H3I_000000064551	Helix-turn-helix domain			PF12728.14							34.785645							0.9607843137254902						10.0		429.0	3090.0	NaN	NaN	low			Helix-turn-helix domain					PF12728	Helix-turn-helix domain	Pfam	false		false		true	false	
vRhyme_unbinned_24__MGr3G3H3I_000000069672_4	vRhyme_unbinned_24__MGr3G3H3I_000000069672	vRhyme_unbinned_24__MGr3G3H3I_000000069672	Helix-turn-helix domain	K07733		PF12728.14					32.356148		52.387318					0.3220338983050847		1.0					10.0	10.0		1773.0	1383.0	17577.0	10572.0	high	alpA; prophage regulatory protein		Helix-turn-helix domain					PF12728	Helix-turn-helix domain	Pfam	false		false		true	false	
vRhyme_unbinned_25__MGr3G3H3I_000000077196_2	vRhyme_unbinned_25__MGr3G3H3I_000000077196	vRhyme_unbinned_25__MGr3G3H3I_000000077196	Helix-turn-helix domain			PF12728.14							40.91156							0.9803921568627451						10.0		1338.0	2007.0	NaN	NaN	high			Helix-turn-helix domain					PF12728	Helix-turn-helix domain	Pfam	false		false		true	false	
vRhyme_unbinned_2__MGr3G3H3I_000000004931_25	vRhyme_unbinned_2__MGr3G3H3I_000000004931	vRhyme_unbinned_2__MGr3G3H3I_000000004931	RNA-binding protein			PF12961.14				phrog_986			59.608723				46.042065			0.974025974025974				0.31225296442687744		10.0	10.0	1881.0	NaN	7209.0	NaN	medium			Domain of unknown function (DUF3850)				RNA-binding protein	PF12961	Domain of unknown function (DUF3850)	Pfam	false		false		true	false	
vRhyme_unbinned_31__MGr3G3H3I_000000103998_23	vRhyme_unbinned_31__MGr3G3H3I_000000103998	vRhyme_unbinned_31__MGr3G3H3I_000000103998	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4; Response to osmotic stress		HMMsoil4371	PF04800.18						114.846161	109.088951						1.0	0.9791666666666666						0.52		5949.0	NaN	NaN	NaN	low		NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4; Response to osmotic stress	NADH dehydrogenase ubiquinone Fe-S protein 4					HMMsoil4371	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4; Response to osmotic stress	FOAM	false		false		true	false	
vRhyme_unbinned_31__MGr3G3H3I_000000103998_25	vRhyme_unbinned_31__MGr3G3H3I_000000103998	vRhyme_unbinned_31__MGr3G3H3I_000000103998	'Cold-shock' DNA-binding domain	K03704		PF00313.29					151.919586		108.825539					0.3891891891891892		0.9696969696969697					10.0	10.0		6732.0	NaN	NaN	NaN	low	cspA; cold shock protein		'Cold-shock' DNA-binding domain					K03704	cspA; cold shock protein	KEGG	false		false		true	false	
vRhyme_unbinned_32__MGr3G3H3I_000000112980_9	vRhyme_unbinned_32__MGr3G3H3I_000000112980	vRhyme_unbinned_32__MGr3G3H3I_000000112980	transcriptional regulator	K22300	HMMsoil126373	PF06114.20				phrog_2439	43.381329	66.802528	69.554642				270.916473	0.6090225563909775	0.9454545454545454	0.9918032786885246				0.9318801089918256	10.0	10.0	10.0	2370.0	1830.0	NaN	NaN	high	dicA; HTH-type transcriptional regulator, cell division transcriptional repressor	ade; adenine deaminase [EC:3.5.4.2]	IrrE N-terminal-like domain				transcriptional regulator	phrog_2439	transcriptional regulator	PHROG	false		false		true	false	
vRhyme_unbinned_33__MGr3G3H3I_000000117414_5	vRhyme_unbinned_33__MGr3G3H3I_000000117414	vRhyme_unbinned_33__MGr3G3H3I_000000117414	Winged helix-turn-helix DNA-binding			PF13412.13							39.608658							0.75						4.43		7842.0	NaN	NaN	NaN	medium			Winged helix-turn-helix DNA-binding					PF13412	Winged helix-turn-helix DNA-binding	Pfam	false		false		false	true	
vRhyme_unbinned_37__MGr3G3H3I_000000135683_5	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	Bacterial regulatory protein, Fis family			PF02954.26							45.828323							0.9761904761904762						5.4		1095.0	228.0	2727.0	NaN	high			Bacterial regulatory protein, Fis family					PF02954	Bacterial regulatory protein, Fis family	Pfam	false		false		true	false	
vRhyme_unbinned_39__MGr3G3H3I_000000139510_11	vRhyme_unbinned_39__MGr3G3H3I_000000139510	vRhyme_unbinned_39__MGr3G3H3I_000000139510	gcrA; GcrA cell cycle regulator	K13583		PF07750.18					59.230236		48.813625					0.3107344632768362		0.3419354838709677					10.0	10.0		NaN	222.0	NaN	3684.0	high	gcrA; GcrA cell cycle regulator		GcrA cell cycle regulator					K13583	gcrA; GcrA cell cycle regulator	KEGG	false		false		true	false	
vRhyme_unbinned_3__MGr3G3H3I_000000009885_5	vRhyme_unbinned_3__MGr3G3H3I_000000009885	vRhyme_unbinned_3__MGr3G3H3I_000000009885	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	K03497		PF02195.26				phrog_4715	177.509262		85.538742				116.190117	0.8114285714285714		0.968421052631579				0.33174603174603173	10.0	10.0	10.0	1167.0	3162.0	NaN	NaN	high	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein		ParB N-terminal domain				ParB-like partition protein	K03497	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	KEGG	false		false		true	false	
vRhyme_unbinned_3__MGr3G3H3I_000000009885_7	vRhyme_unbinned_3__MGr3G3H3I_000000009885	vRhyme_unbinned_3__MGr3G3H3I_000000009885	rsbV; anti-sigma B factor antagonist	K04749	HMMsoil69860	PF01740.27					51.990707	24.512733	47.210995					0.4925373134328358	0.8617021276595744	0.9622641509433962					0.77	1.13		1902.0	1260.0	NaN	NaN	high	rsbV; anti-sigma B factor antagonist	glsA, GLS; glutaminase [EC:3.5.1.2]	STAS domain					K04749	rsbV; anti-sigma B factor antagonist	KEGG	false		false		true	false	
vRhyme_unbinned_3__MGr3G3H3I_000000009885_15	vRhyme_unbinned_3__MGr3G3H3I_000000009885	vRhyme_unbinned_3__MGr3G3H3I_000000009885	RNA-binding protein			PF12961.14				phrog_986			69.852333				78.569847			0.935064935064935				0.44664031620553357		10.0	10.0	1461.0	726.0	NaN	NaN	high			Domain of unknown function (DUF3850)				RNA-binding protein	phrog_986	RNA-binding protein	PHROG	false		false		true	false	
vRhyme_unbinned_3__MGr3G3H3I_000000009885_17	vRhyme_unbinned_3__MGr3G3H3I_000000009885	vRhyme_unbinned_3__MGr3G3H3I_000000009885	Helix-turn-helix		HMMsoil3470	PF01381.29						39.860439	31.180561						0.8727272727272727	0.8909090909090909						10.0		726.0	939.0	NaN	NaN	high		UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	Helix-turn-helix					HMMsoil3470	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	FOAM	false		false		true	false	
vRhyme_unbinned_41__MGr3G3H3I_000000142568_15	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	repA; regulatory protein RepA	K07505		PF13481.13				phrog_25693	121.408798		107.871765				172.980408	0.6016260162601627		0.9435897435897436				0.8098765432098766	10.0	10.0	7.79	2871.0	2136.0	NaN	NaN	high	repA; regulatory protein RepA		AAA domain				""	phrog_25693	""	PHROG	false		false		true	false	
vRhyme_unbinned_41__MGr3G3H3I_000000142568_18	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	Transcriptional Coactivator p15 (PC4)			PF02229.23							33.002792							0.9615384615384616						3.33		435.0	489.0	NaN	NaN	high			Transcriptional Coactivator p15 (PC4)					PF02229	Transcriptional Coactivator p15 (PC4)	Pfam	false		false		true	false	
