Protein	Contig	Genome	Function	KEGG_hmm_id	FOAM_hmm_id	Pfam_hmm_id	dbCAN_hmm_id	METABOLIC_hmm_id	CAMPER_hmm_id	PHROG_hmm_id	KEGG_score	FOAM_score	Pfam_score	dbCAN_score	METABOLIC_score	CAMPER_score	PHROG_score	KEGG_coverage	FOAM_coverage	Pfam_coverage	dbCAN_coverage	METABOLIC_coverage	CAMPER_coverage	PHROG_coverage	KEGG_V-score	Pfam_V-score	PHROG_V-score	Viral_Flanking_Genes_Left_Dist	Viral_Flanking_Genes_Right_Dist	MGE_Flanking_Genes_Left_Dist	MGE_Flanking_Genes_Right_Dist	step5_in_merged_region	nonviral_region_pos	Viral_Origin_Confidence	KEGG_Description	FOAM_Description	Pfam_Description	dbCAN_Description	METABOLIC_Description	CAMPER_Description	PHROG_Description	top_hit_hmm_id	top_hit_description	top_hit_db	protein_in_nonviral_region
vRhyme_bin_1__BAr2D2E2F_000000009081_11	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										NaN	1269.0	NaN	NaN	true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000009081_12	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1								phrog_29367							38.040791							0.3412969283276451				NaN	594.0	NaN	NaN	true		medium							""	phrog_29367	""	PHROG	false
vRhyme_bin_1__BAr2D2E2F_000000009081_13	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]		HMMsoil22408	PF00072.31						36.993263	32.321281						0.4954545454545455	0.8468468468468469						10.0		NaN	402.0	NaN	NaN	true		low		cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	Response regulator receiver domain					HMMsoil22408	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	FOAM	false
vRhyme_bin_1__BAr2D2E2F_000000009081_14	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	K03497		PF17762.9				phrog_25613	73.905563		26.887453				97.708755	0.48857142857142855		0.6568627450980392				0.972972972972973	10.0	0.37	3.19	NaN	2181.0	NaN	NaN	true		low	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein		ParB HTH domain				""	phrog_25613	""	PHROG	false
vRhyme_bin_1__BAr2D2E2F_000000009081_15	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										NaN	1263.0	NaN	NaN	true		low											false
vRhyme_bin_1__BAr2D2E2F_000000009081_16	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										NaN	510.0	NaN	NaN	true		low											false
vRhyme_bin_1__BAr2D2E2F_000000009081_17	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	sigE_F_G; RNA polymerase sigma-E/F/G factor	K03091		PF04542.21					88.793221		52.082363					0.361376673040153		0.8732394366197183					10.0	10.0		NaN	846.0	NaN	NaN	true		low	sigE_F_G; RNA polymerase sigma-E/F/G factor		Sigma-70 region 2					K03091	sigE_F_G; RNA polymerase sigma-E/F/G factor	KEGG	false
vRhyme_bin_1__BAr2D2E2F_000000009081_18	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	Sigma-70, region 4			PF04545.23							27.220856							0.6						10.0		NaN	2535.0	NaN	NaN	true		low			Sigma-70, region 4					PF04545	Sigma-70, region 4	Pfam	false
vRhyme_bin_1__BAr2D2E2F_000000009081_19	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										NaN	1482.0	NaN	NaN	true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000009081_20	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										NaN	921.0	NaN	NaN	true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000009081_21	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	acm; lysozyme	K07273		PF01183.27	GH25			phrog_291	247.715683		151.30217	172.676987			148.459427	0.5359116022099447		1.0	1.0			0.3850687622789784	10.0	10.0	10.0	NaN	723.0	NaN	NaN	true		high	acm; lysozyme		Glycosyl hydrolases family 25	lysozyme (EC 3.2.1.17)			endolysin	K07273	acm; lysozyme	KEGG	false
vRhyme_bin_1__BAr2D2E2F_000000009081_22	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	dam; DNA adenine methylase [EC:2.1.1.72]	K06223		PF02086.22				phrog_56	262.180634		190.726501				210.319733	0.458029197080292		1.0				0.401854714064915	10.0	10.0	10.0	723.0	NaN	NaN	NaN	true		medium	dam; DNA adenine methylase [EC:2.1.1.72]		D12 class N6 adenine-specific DNA methyltransferase				DNA methyltransferase	K06223	dam; DNA adenine methylase [EC:2.1.1.72]	KEGG	false
vRhyme_bin_1__BAr2D2E2F_000000009081_23	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										837.0	NaN	NaN	NaN	false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000009081_24	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										990.0	NaN	NaN	13995.0	false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000009081_25	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										1383.0	NaN	NaN	12981.0	false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000009081_26	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										1536.0	NaN	NaN	11583.0	false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000009081_27	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										1872.0	NaN	NaN	10878.0	false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000009081_28	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	Fatty acid hydroxylase			PF04116.20							38.536652							0.9924242424242424						3.96		2001.0	NaN	NaN	10488.0	false		low			Fatty acid hydroxylase					PF04116	Fatty acid hydroxylase	Pfam	true
vRhyme_bin_1__BAr2D2E2F_000000009081_29	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										2499.0	NaN	NaN	10218.0	false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000009081_30	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										3204.0	NaN	NaN	9987.0	false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000009081_31	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1								phrog_2319							114.837952							0.543859649122807				3597.0	NaN	NaN	8793.0	false		medium							""	phrog_2319	""	PHROG	true
vRhyme_bin_1__BAr2D2E2F_000000011539_1	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										NaN	879.0	NaN	NaN	false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000011539_2	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										NaN	591.0	NaN	2052.0	false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000011539_3	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										NaN	285.0	NaN	1506.0	false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000011539_4	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	PDF, def; peptide deformylase [EC:3.5.1.88]	K01462		PF01327.27				phrog_2890	119.919228		100.715561				101.850868	0.5951417004048583		0.9743589743589743				0.96	10.0	10.0	10.0	NaN	NaN	NaN	1008.0	true		low	PDF, def; peptide deformylase [EC:3.5.1.88]		Polypeptide deformylase				peptide deformylase	K01462	PDF, def; peptide deformylase [EC:3.5.1.88]	KEGG	false
vRhyme_bin_1__BAr2D2E2F_000000011539_5	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										525.0	NaN	NaN	639.0	true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000011539_6	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	udg; uracil-DNA glycosylase [EC:3.2.2.27]	K21929	HMMsoil968	PF03167.26					244.996872	99.764091	139.167999					0.5542168674698795	0.9927536231884058	1.0					10.0	10.0		717.0	NaN	NaN	15096.0	true		medium	udg; uracil-DNA glycosylase [EC:3.2.2.27]	dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]	Uracil DNA glycosylase superfamily					K21929	udg; uracil-DNA glycosylase [EC:3.2.2.27]	KEGG	false
vRhyme_bin_1__BAr2D2E2F_000000011539_7	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										888.0	NaN	1155.0	13941.0	true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000011539_8	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										1092.0	NaN	1365.0	13731.0	true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000011539_9	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										1314.0	NaN	1554.0	13542.0	true		high											false
vRhyme_bin_1__BAr2D2E2F_000000011539_10	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										1953.0	NaN	2238.0	12858.0	true		high											false
vRhyme_bin_1__BAr2D2E2F_000000011539_11	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										2211.0	NaN	2634.0	12462.0	true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000011539_12	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	SEC-C motif			PF02810.22							34.554619							0.8947368421052632						5.92		2493.0	NaN	2973.0	12123.0	true		medium			SEC-C motif					PF02810	SEC-C motif	Pfam	false
vRhyme_bin_1__BAr2D2E2F_000000011539_13	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										3387.0	NaN	3933.0	11163.0	true		high											false
vRhyme_bin_1__BAr2D2E2F_000000011539_14	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										3603.0	NaN	4146.0	10950.0	true		high											false
vRhyme_bin_1__BAr2D2E2F_000000011539_15	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										3960.0	NaN	6075.0	9021.0	true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000011539_16	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										4167.0	NaN	7335.0	7761.0	true		high											false
vRhyme_bin_1__BAr2D2E2F_000000011539_17	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										4707.0	NaN	8646.0	6450.0	true		high											false
vRhyme_bin_1__BAr2D2E2F_000000011539_18	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	ParB N-terminal domain			PF02195.26							26.453548							0.7578947368421053						10.0		5196.0	NaN	11334.0	3762.0	true		high			ParB N-terminal domain					PF02195	ParB N-terminal domain	Pfam	false
vRhyme_bin_1__BAr2D2E2F_000000011539_19	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										414.0	NaN	13605.0	1491.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000011539_20	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1								phrog_1574							62.378643							0.7208333333333333				1560.0	NaN	13986.0	1110.0	false		medium							""	phrog_1574	""	PHROG	true
vRhyme_bin_1__BAr2D2E2F_000000011539_21	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										2316.0	NaN	14745.0	351.0	false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000011539_22	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										2721.0	NaN	15096.0	2691.0	false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000011539_23	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										3237.0	NaN	1338.0	1353.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000011539_24	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										3603.0	NaN	1629.0	1062.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000011539_25	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										4023.0	NaN	2370.0	321.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000011539_26	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										4497.0	NaN	2691.0	8838.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000011539_27	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										4803.0	NaN	447.0	8391.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000011539_28	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										5007.0	NaN	2691.0	6147.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000011539_29	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1								phrog_1574							55.854763							0.9166666666666666				5304.0	NaN	6282.0	2556.0	false		high							""	phrog_1574	""	PHROG	true
vRhyme_bin_1__BAr2D2E2F_000000011539_30	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										6039.0	NaN	6378.0	2460.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000011539_31	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										6390.0	NaN	7095.0	1743.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000011539_32	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										6747.0	NaN	7452.0	1386.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000011539_33	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										6909.0	NaN	7644.0	1194.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000011539_34	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										7239.0	NaN	8394.0	444.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_1	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	NaN	3831.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_2	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	NaN	2700.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_3	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	NaN	2487.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_4	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	NaN	2151.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_5	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	NaN	1707.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_6	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	Transglycosylase SLT domain			PF01464.26							28.906301							0.8034188034188035						10.0		NaN	NaN	NaN	1437.0	false		high			Transglycosylase SLT domain					PF01464	Transglycosylase SLT domain	Pfam	true
vRhyme_bin_1__BAr2D2E2F_000000017828_7	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	NaN	10146.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_8	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	840.0	9306.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_9	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	1461.0	8685.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_10	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	2013.0	8133.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_11	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	2742.0	7404.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_12	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	4515.0	5631.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_13	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	4935.0	5211.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_14	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	5244.0	4902.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_15	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	6711.0	3435.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_16	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	7035.0	3111.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_17	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	7227.0	2919.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_18	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	8595.0	1551.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_19	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	9285.0	861.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_20	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	9711.0	435.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_21	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	9933.0	213.0	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_22	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	10146.0	NaN	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_23	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	381.0	NaN	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_24	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	564.0	NaN	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_25	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	1206.0	NaN	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_26	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	1971.0	NaN	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_27	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	2220.0	NaN	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_28	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	2643.0	NaN	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_29	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	2922.0	NaN	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_30	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	3048.0	NaN	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_31	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	3576.0	NaN	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_32	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	6489.0	NaN	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_33	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	9948.0	NaN	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_34	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	11508.0	NaN	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_35	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	12417.0	NaN	false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_36	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	13029.0	NaN	false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000017828_37	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	radA, sms; DNA repair protein RadA/Sms	K04485		PF06745.20				phrog_26214	123.073578		51.282192				58.080719	0.4501779359430605		0.658008658008658				0.45	10.0	10.0	0.79	NaN	NaN	14319.0	NaN	false		medium	radA, sms; DNA repair protein RadA/Sms		KaiC				""	K04485	radA, sms; DNA repair protein RadA/Sms	KEGG	true
vRhyme_bin_1__BAr2D2E2F_000000017828_38	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	15921.0	NaN	false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000017828_39	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	17565.0	NaN	false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000017828_40	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	NaN	1962.0	false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000017828_41	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	NaN	1674.0	false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000017828_42	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	NaN	1353.0	false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000017828_43	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	pyrophosphatase							phrog_3301							124.370811							0.7159763313609467				NaN	NaN	NaN	537.0	false		medium							pyrophosphatase	phrog_3301	pyrophosphatase	PHROG	true
vRhyme_bin_1__BAr2D2E2F_000000017828_44	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	NaN	174.0	false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000017828_45	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										NaN	NaN	NaN	NaN	false		medium											true
