id,name,V-score,VL-score,db
K06236,collagen type I alpha,10.0,4.404183498,KEGG
K15711,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A3 [EC:5.6.2. 2.3.2.27],10.0,4.400192489,KEGG
K25861,DNA annealing helicase and endonuclease ZRANB3 [EC:5.6.2.- 3.1.-.-],10.0,4.397731497,KEGG
K06823,collagen type XVIII alpha,10.0,4.395221521,KEGG
K06237,collagen type IV alpha,10.0,4.391429145,KEGG
K20092,chromodomain-helicase-DNA-binding protein 1-like [EC:5.6.2.-],10.0,4.39104102,KEGG
K01160,crossover junction endodeoxyribonuclease RusA [EC:3.1.21.10],10.0,4.384156207,KEGG
K16630,collagen type XXII alpha,10.0,4.380627241,KEGG
K15505,DNA repair protein RAD5 [EC:5.6.2.-],10.0,4.377470174,KEGG
K17677,ATP-dependent helicase IRC3 [EC:5.6.2.-],10.0,4.37485828,KEGG
K10062,collectin sub-family member 12,10.0,4.374345016,KEGG
K06400,site-specific DNA recombinase,10.0,4.37329828,KEGG
K19479,collagen type X alpha,10.0,4.373095987,KEGG
K24214,otolin-1,10.0,4.370864528,KEGG
K07451,5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-],10.0,4.368547198,KEGG
K26929,Zierdtviridae DNA helicase,10.0,4.368491429,KEGG
K16629,collagen type XXI alpha,10.0,4.368379872,KEGG
K20093,DNA excision repair protein ERCC-6-like [EC:5.6.2.-],10.0,4.363574377,KEGG
K14439,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 [EC:5.6.2.-],10.0,4.361236617,KEGG
K08135,collagen type XV alpha,10.0,4.350616237,KEGG
K01356,repressor LexA [EC:3.4.21.88],10.0,4.349763044,KEGG
K11654,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 [EC:5.6.2.-],10.0,4.348246434,KEGG
K21686,"XRE family transcriptional regulator, fatty acid utilization regulator",10.0,4.346939463,KEGG
K10877,DNA repair and recombination protein RAD54B [EC:5.6.2.-],10.0,4.345844043,KEGG
K01447,N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28],10.0,4.342876479,KEGG
K23455,collagen type VIII alpha,10.0,4.341968408,KEGG
K23619,collagen type XXVIII alpha,10.0,4.341474094,KEGG
K26586,acetylcholinesterase collagenic tail peptide,10.0,4.340364784,KEGG
K07465,putative RecB family exonuclease,10.0,4.337019753,KEGG
K11727,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 1 [EC:5.6.2.-],10.0,4.336899809,KEGG
K03546,DNA repair protein SbcC/Rad50,10.0,4.33543784,KEGG
K19449,"XRE family transcriptional regulator, master regulator for biofilm formation",10.0,4.335217116,KEGG
K16628,collagen type VII alpha,10.0,4.331791587,KEGG
K16617,collagen type XIII alpha,10.0,4.330048325,KEGG
K21502,Autographiviridae DNA primase/helicase [EC:2.7.7.- 5.6.2.3],10.0,4.32446766,KEGG
K07603,collagen type XVII alpha,10.0,4.322653372,KEGG
K06238,collagen type VI alpha,10.0,4.322364035,KEGG
K20098,DNA excision repair protein ERCC-6-like 2 [EC:5.6.2.-],10.0,4.322343361,KEGG
K01358,"ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]",10.0,4.322177931,KEGG
K24339,collagen type XVI alpha,10.0,4.310884402,KEGG
K24355,collagen type XXIII alpha,10.0,4.30873511,KEGG
K19001,ATP-dependent DNA helicase,10.0,4.307923704,KEGG
K10875,DNA repair and recombination protein RAD54 and RAD54-like protein [EC:5.6.2.-],10.0,4.307260642,KEGG
K26875,Herelleviridae DNA helicase,10.0,4.305759672,KEGG
K10068,pulmonary surfactant-associated protein D,10.0,4.305695229,KEGG
K01153,"type I restriction enzyme, R subunit [EC:3.1.21.3]",10.0,4.305458855,KEGG
K24358,collagen type XXVI alpha (EMI domain-containing protein 2),10.0,4.303627976,KEGG
K15083,DNA repair protein RAD16,10.0,4.301203679,KEGG
K26714,Steigviridae DNA polymerase I,10.0,4.301029996,KEGG
K24340,collagen type XIX alpha,10.0,4.299245728,KEGG
K15173,transcription termination factor 2 [EC:5.6.2.-],10.0,4.298460069,KEGG
K01156,type III restriction enzyme [EC:3.1.21.5],10.0,4.293892667,KEGG
K08133,collagen type XIV alpha,10.0,4.290034611,KEGG
K03580,ATP-dependent helicase HepA [EC:5.6.2.-],10.0,4.288986587,KEGG
K14060,putative DNA-invertase from lambdoid prophage Rac,10.0,4.286209386,KEGG
K07474,phage terminase small subunit,10.0,4.278890725,KEGG
K24218,complement C1q and tumor necrosis factor-related protein 7,10.0,4.274942566,KEGG
K16618,DNA polymerase nu [EC:2.7.7.7],10.0,4.273949893,KEGG
K26645,Bacillus phage DNA polymerase,10.0,4.269582986,KEGG
K21507,Escherichia phage methyltransferase [EC:2.1.1.-],10.0,4.265053789,KEGG
K15192,TATA-binding protein-associated factor [EC:5.6.2.-],10.0,4.262261193,KEGG
K07296,adiponectin,10.0,4.259522207,KEGG
K10843,DNA excision repair protein ERCC-3 [EC:5.6.2.4],10.0,4.254403046,KEGG
K00525,ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1],10.0,4.252343224,KEGG
K24248,EMI domain-containing protein 1,10.0,4.249345136,KEGG
K08640,zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14],10.0,4.248463718,KEGG
K15336,tRNA (cytosine38-C5)-methyltransferase [EC:2.1.1.204],10.0,4.245216457,KEGG
K26640,Duinviridae RNA-directed RNA polymerase,10.0,4.244573973,KEGG
K00754,L-malate glycosyltransferase [EC:2.4.1.-],10.0,4.238898792,KEGG
K26706,Schitoviridae DNA polymerase,10.0,4.236234863,KEGG
K26879,Herelleviridae helicase DnaB-like,10.0,4.235705159,KEGG
K03988,complement C1q subcomponent subunit C,10.0,4.233985479,KEGG
K26623,Autographiviridae DNA polymerase,10.0,4.230346722,KEGG
K08482,circadian clock protein KaiC,10.0,4.227243782,KEGG
K11647,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2/4 [EC:5.6.2.-],10.0,4.223833277,KEGG
K08132,collagen type XII alpha,10.0,4.219924913,KEGG
K06558,macrophage scavenger receptor 1,10.0,4.219820207,KEGG
K10841,DNA excision repair protein ERCC-6,10.0,4.21114725,KEGG
K07450,putative resolvase,10.0,4.204933522,KEGG
K24357,collagen type XX alpha,10.0,4.203386492,KEGG
K03465,thymidylate synthase (FAD) [EC:2.1.1.148],10.0,4.202433822,KEGG
K24356,collagen type XXV alpha,10.0,4.201588281,KEGG
K07741,anti-repressor protein,10.0,4.198876927,KEGG
K14056,"HTH-type transcriptional regulator, repressor for puuD",10.0,4.198079476,KEGG
K26894,Betalipothrixvirus putative helicase,10.0,4.196590654,KEGG
K10421,CAP-Gly domain-containing linker protein 1,10.0,4.194985843,KEGG
K15710,E3 ubiquitin-protein ligase SHPRH [EC:5.6.2.- 2.3.2.27],10.0,4.192929679,KEGG
K26890,Kyanoviridae DNA helicase,10.0,4.183554534,KEGG
K21314,Demerecviridae DNA polymerase [EC:2.7.7.7],10.0,4.180699201,KEGG
K24211,complement C1q and tumor necrosis factor-related protein 2,10.0,4.180211922,KEGG
K19171,DNA sulfur modification protein DndD,10.0,4.175830604,KEGG
K07505,regulatory protein RepA,10.0,4.172369377,KEGG
K11643,chromodomain-helicase-DNA-binding protein 4 [EC:5.6.2.-],10.0,4.168409084,KEGG
K19002,"1,2-diacylglycerol 3-alpha-glucosyltransferase [EC:2.4.1.337]",10.0,4.167612673,KEGG
K03986,complement C1q subcomponent subunit A,10.0,4.165184952,KEGG
K26631,Casjensviridae DNA polymerase,10.0,4.162116141,KEGG
K06223,DNA adenine methylase [EC:2.1.1.72],10.0,4.159627341,KEGG
K03529,chromosome segregation protein,10.0,4.15715444,KEGG
K26878,Bacillus phage helicase DnaB-like,10.0,4.14420046,KEGG
K01784,UDP-glucose 4-epimerase [EC:5.1.3.2],10.0,4.143451999,KEGG
K15856,GDP-4-dehydro-6-deoxy-D-mannose reductase [EC:1.1.1.281],10.0,4.137955124,KEGG
K02315,DNA replication protein DnaC,10.0,4.13289977,KEGG
K01710,"dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]",10.0,4.128011333,KEGG
K03987,complement C1q subcomponent subunit B,10.0,4.123753669,KEGG
K16150,glycogen synthase [EC:2.4.1.11],10.0,4.122019172,KEGG
K26870,Demerecviridae probable helicase D10 [EC:3.6.4.-],10.0,4.11961875,KEGG
K19997,GlcNAc-P-P-Und epimerase [EC:5.1.3.26],10.0,4.118330874,KEGG
K06919,putative DNA primase/helicase,10.0,4.115909922,KEGG
K06907,Bacteriophage tail sheath protein,10.0,4.115344196,KEGG
K08679,UDP-glucuronate 4-epimerase [EC:5.1.3.6],10.0,4.114310677,KEGG
K19638,collagen and calcium-binding EGF domain-containing protein 1,10.0,4.11320777,KEGG
K01520,dUTP diphosphatase [EC:3.6.1.23],10.0,4.111363344,KEGG
K03763,"DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]",10.0,4.108835528,KEGG
K03654,ATP-dependent DNA helicase RecQ [EC:5.6.2.4],10.0,4.10130018,KEGG
K26661,Mesyanzhinovviridae DNA polymerase,10.0,4.09985322,KEGG
K02473,UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine 4-epimerase [EC:5.1.3.7 5.1.3.-],10.0,4.097847077,KEGG
K16364,gliomedin,10.0,4.097777735,KEGG
K14436,chromodomain-helicase-DNA-binding protein 6 [EC:5.6.2.-],10.0,4.097500252,KEGG
K21211,"NDP-hexose 4,6-dehydratase",10.0,4.09485529,KEGG
K08678,UDP-glucuronate decarboxylase [EC:4.1.1.35],10.0,4.093211492,KEGG
K21332,dTDP-alpha-D-glucuronic acid decarboxylase [EC:1.1.1.-],10.0,4.09233459,KEGG
K12453,CDP-paratose synthetase [EC:1.1.1.342],10.0,4.092194121,KEGG
K17947,dTDP-L-rhamnose 4-epimerase [EC:5.1.3.25],10.0,4.08578989,KEGG
K11786,ATP-dependent helicase STH1/SNF2 [EC:5.6.2.-],10.0,4.084290229,KEGG
K12454,CDP-paratose 2-epimerase [EC:5.1.3.10],10.0,4.083180004,KEGG
K21512,Enterobacteria phage terminase large subunit [EC:3.1.21.4],10.0,4.080698623,KEGG
K07273,lysozyme,10.0,4.074816441,KEGG
K20283,golgin subfamily A member 4,10.0,4.073901558,KEGG
K12450,"UDP-glucose 4,6-dehydratase [EC:4.2.1.76]",10.0,4.073241648,KEGG
K26662,Mesyanzhinovviridae DNA polymerase I,10.0,4.069112851,KEGG
K04773,protease IV [EC:3.4.21.-],10.0,4.06796309,KEGG
K03791,putative chitinase,10.0,4.065505023,KEGG
K13313,dTDP-4-dehydro-6-deoxy-alpha-D-gulose 4-ketoreductase [EC:1.1.1.364],10.0,4.064907027,KEGG
K22252,GDP-6-deoxy-D-talose 4-dehydrogenase [EC:1.1.1.135],10.0,4.064532861,KEGG
K10066,collectin sub-family member 11,10.0,4.064308207,KEGG
K00067,dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133],10.0,4.061979947,KEGG
K03503,DNA polymerase V [EC:3.4.21.-],10.0,4.06103759,KEGG
K26866,Ruegeria phage superfamily II DNA/RNA helicase,10.0,4.059676994,KEGG
K26908,Mimiviridae putative ATP-dependent RNA helicase,10.0,4.059563418,KEGG
K04485,DNA repair protein RadA/Sms,10.0,4.059487684,KEGG
K12448,UDP-arabinose 4-epimerase [EC:5.1.3.5],10.0,4.057057209,KEGG
K26529,Poxviridae dUTP diphosphatase [EC:3.6.1.23],10.0,4.054536453,KEGG
K02342,DNA polymerase III subunit epsilon [EC:2.7.7.7],10.0,4.053923151,KEGG
K26920,Prasinovirus putative VV A18 helicase,10.0,4.051113917,KEGG
K18959,Straboviridae ATP-dependent DNA helicase UvsW [EC:5.6.2.4],10.0,4.050341082,KEGG
K14435,chromodomain-helicase-DNA-binding protein 5 [EC:5.6.2.-],10.0,4.045987606,KEGG
K02319,"DNA polymerase, archaea type [EC:2.7.7.7]",10.0,4.043440876,KEGG
K07110,"XRE family transcriptional regulator, fatty acid utilization regulator",10.0,4.042221002,KEGG
K00390,phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10],10.0,4.04060234,KEGG
K23786,5'-3' exonuclease [EC:3.1.11.-],10.0,4.040562785,KEGG
K21523,"Straboviridae terminase, large subunit [EC:3.1.-.-]",10.0,4.039850178,KEGG
K17733,peptidoglycan LD-endopeptidase CwlK [EC:3.4.-.-],10.0,4.038659894,KEGG
K16148,alpha-maltose-1-phosphate synthase [EC:2.4.1.342],10.0,4.03810331,KEGG
K11144,primosomal protein DnaI,10.0,4.03686833,KEGG
K07012,CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.- 5.6.2.4],10.0,4.036069701,KEGG
K21214,NDP-hexose 4-ketoreductase,10.0,4.033664963,KEGG
K02313,chromosomal replication initiator protein,10.0,4.03173154,KEGG
K26041,Straboviridae intron-associated endonuclease 1 [EC:3.1.-.-],10.0,4.030518765,KEGG
K21238,Autographiviridae DNA-directed DNA polymerase [EC:2.7.7.7],10.0,4.030235296,KEGG
K16898,ATP-dependent helicase/nuclease subunit A [EC:5.6.2.4 3.1.-.-],10.0,4.02881517,KEGG
K22407,thymine dioxygenase / DNA helicase [EC:1.14.11.6 5.6.2.-],10.0,4.028611915,KEGG
K01709,"CDP-glucose 4,6-dehydratase [EC:4.2.1.45]",10.0,4.024813933,KEGG
K07455,recombination protein RecT,10.0,4.024772913,KEGG
K13668,phosphatidyl-myo-inositol dimannoside synthase [EC:2.4.1.346],10.0,4.024362504,KEGG
K12943,lipoprotein YgeR,10.0,4.024280376,KEGG
K21528,Enterobacteriaceae phage serine recombinase [EC:3.1.22.- 6.5.1.-],10.0,4.023910606,KEGG
K20091,chromodomain-helicase-DNA-binding protein 2 [EC:5.6.2.-],10.0,4.021478732,KEGG
K00527,ribonucleoside-triphosphate reductase (thioredoxin) [EC:1.17.4.2],10.0,4.01924095,KEGG
K10065,collectin sub-family member 10,10.0,4.018117721,KEGG
K00091,dihydroflavonol-4-reductase [EC:1.1.1.219],10.0,4.017575868,KEGG
K26670,Mitoviridae RNA-directed RNA polymerase,10.0,4.014142362,KEGG
K22226,Fe-coproporphyrin III synthase,10.0,4.013595524,KEGG
K10046,"GDP-D-mannose 3', 5'-epimerase [EC:5.1.3.18 5.1.3.-]",10.0,4.013553431,KEGG
K16899,ATP-dependent helicase/nuclease subunit B [EC:5.6.2.4 3.1.-.-],10.0,4.012119836,KEGG
K03274,ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20],10.0,4.010850957,KEGG
K02377,GDP-L-fucose synthase [EC:1.1.1.271],10.0,4.007192824,KEGG
K10807,ribonucleoside-diphosphate reductase subunit M1 [EC:1.17.4.1],10.0,4.006166425,KEGG
K16697,teichuronic acid biosynthesis glycosyltransferase TuaC [EC:2.4.-.-],10.0,4.003201947,KEGG
K26826,Clostridium phage peptidase,10.0,4.001387523,KEGG
K06194,lipoprotein NlpD,10.0,4.000607587,KEGG
K00986,RNA-directed DNA polymerase [EC:2.7.7.49],10.0,3.995942163,KEGG
K03581,exodeoxyribonuclease V alpha subunit [EC:3.1.11.5],10.0,3.995591324,KEGG
K06905,Bacteriophage probable baseplate hub protein,10.0,3.994625054,KEGG
K06903,Bacteriophage baseplate protein W,10.0,3.992509335,KEGG
K12455,CDP-abequose synthase [EC:1.1.1.341],10.0,3.99100444,KEGG
K04494,chromodomain helicase DNA binding protein 8 [EC:5.6.2.-],10.0,3.981999714,KEGG
K21793,oxidoreductase,10.0,3.981773319,KEGG
K26891,Kyanoviridae DNA primase/helicase,10.0,3.978910577,KEGG
K20282,GRIP and coiled-coil domain-containing protein 2,10.0,3.97799781,KEGG
K26963,Enterobacteria phage portal protein,10.0,3.975247941,KEGG
K03553,recombination protein RecA,10.0,3.974373507,KEGG
K11367,chromodomain-helicase-DNA-binding protein 1 [EC:5.6.2.-],10.0,3.97308165,KEGG
K15521,D-inositol-3-phosphate glycosyltransferase [EC:2.4.1.250],10.0,3.969136234,KEGG
K08309,soluble lytic murein transglycosylase [EC:4.2.2.-],10.0,3.968996327,KEGG
K10779,transcriptional regulator ATRX,10.0,3.964118143,KEGG
K19304,murein DD-endopeptidase [EC:3.4.24.-],10.0,3.96279537,KEGG
K18981,uronate dehydrogenase [EC:1.1.1.203],10.0,3.958181498,KEGG
K26977,Enterobacteria phage tip attachment protein J,10.0,3.953856298,KEGG
K21472,peptidoglycan LD-endopeptidase LytH [EC:3.4.-.-],10.0,3.953469743,KEGG
K01146,protein Xni,10.0,3.945911517,KEGG
K08307,membrane-bound lytic murein transglycosylase D [EC:4.2.2.-],10.0,3.945714714,KEGG
K10762,putative replication protein,10.0,3.941113727,KEGG
K24311,UDP-4-keto-6-deoxy-GlcNAc-4-reductase [EC:1.1.1.-],10.0,3.939868544,KEGG
K26916,Chlorovirus ATP-dependent RNA helicase,10.0,3.93916968,KEGG
K03657,ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4],10.0,3.939019776,KEGG
K11642,chromodomain-helicase-DNA-binding protein 3 [EC:5.6.2.-],10.0,3.937969003,KEGG
K10398,kinesin family member 11,10.0,3.937568039,KEGG
K19720,collagen type III alpha,10.0,3.935204867,KEGG
K22320,2-alkyl-3-oxoalkanoate reductase [EC:1.1.1.412],10.0,3.934599438,KEGG
K04484,DNA repair protein RadB,10.0,3.934397441,KEGG
K26039,Straboviridae ribonucleoside-diphosphate reductase subunit alpha [EC:1.17.4.1],10.0,3.933790884,KEGG
K03547,DNA repair protein SbcD/Mre11,10.0,3.929521101,KEGG
K26624,Autographiviridae DNA polymerase,10.0,3.926342447,KEGG
K24310,UDP-N-acetyl-alpha-D-quinovosamine dehydrogenase [EC:1.1.1.426],10.0,3.923036669,KEGG
K00560,thymidylate synthase [EC:2.1.1.45],10.0,3.918868743,KEGG
K01448,N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28],10.0,3.917925422,KEGG
K19224,peptidoglycan DL-endopeptidase LytE [EC:3.4.-.-],10.0,3.914766137,KEGG
K26029,Straboviridae pre-baseplate central spike protein Gp5 [EC:3.2.1.17],10.0,3.912222057,KEGG
K07726,putative transcriptional regulator,10.0,3.911902996,KEGG
K07748,sterol-4alpha-carboxylate 3-dehydrogenase (decarboxylating) [EC:1.1.1.170],10.0,3.91041094,KEGG
K07727,putative transcriptional regulator,10.0,3.910143961,KEGG
K04078,chaperonin GroES,10.0,3.910143961,KEGG
K16698,teichuronic acid biosynthesis glycosyltransferase TuaG [EC:2.4.-.-],10.0,3.910037124,KEGG
K07459,putative ATP-dependent endonuclease of the OLD family,10.0,3.908860173,KEGG
K19223,peptidoglycan DL-endopeptidase LytF [EC:3.4.-.-],10.0,3.907626305,KEGG
K00524,"ribonucleotide reductase, class II [EC:1.17.4.2]",10.0,3.905310062,KEGG
K09961,uncharacterized protein,10.0,3.902166129,KEGG
K26872,Drexlerviridae ATP-dependent helicase,10.0,3.900148561,KEGG
K02337,DNA polymerase III subunit alpha [EC:2.7.7.7],10.0,3.900093902,KEGG
K06871,uncharacterized protein,10.0,3.898780013,KEGG
K24212,complement C1q and tumor necrosis factor-related protein 5,10.0,3.898231385,KEGG
K21038,Bordetella phage reverse transcriptase [EC:2.7.7.49],10.0,3.896911841,KEGG
K16870,N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289],10.0,3.895201475,KEGG
K26860,Autographiviridae DNA primase/helicase,10.0,3.891593204,KEGG
K07496,putative transposase,10.0,3.890700398,KEGG
K11936,"poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]",10.0,3.890700398,KEGG
K01493,dCMP deaminase [EC:3.5.4.12],10.0,3.889581802,KEGG
K14438,chromodomain-helicase-DNA-binding protein 9 [EC:5.6.2.-],10.0,3.889077493,KEGG
K21526,Autographiviridae exonuclease [EC:3.1.11.3],10.0,3.887279635,KEGG
K02338,DNA polymerase III subunit beta [EC:2.7.7.7],10.0,3.884285462,KEGG
K03091,RNA polymerase sigma-E/F/G factor,10.0,3.883547879,KEGG
K19448,Simplexvirus ribonucleoside-diphosphate reductase large subunit [EC:1.17.4.1],10.0,3.882922791,KEGG
K13695,probable lipoprotein NlpC,10.0,3.88098499,KEGG
K19170,DNA sulfur modification protein DndC,10.0,3.880356199,KEGG
K18947,Straboviridae DNA replication helicase [EC:5.6.2.3],10.0,3.880012838,KEGG
K07317,adenine-specific DNA-methyltransferase [EC:2.1.1.72],10.0,3.879210605,KEGG
K21511,Enterobacteria phage capsid assembly protease [EC:3.4.21.-],10.0,3.877716801,KEGG
K19470,complement C1q tumor necrosis factor-related protein 1/6/8,10.0,3.877256133,KEGG
K19220,peptidoglycan DL-endopeptidase CwlS [EC:3.4.-.-],10.0,3.873843533,KEGG
K07478,putative ATPase,10.0,3.873320602,KEGG
K05592,ATP-dependent RNA helicase DeaD [EC:3.6.4.13],10.0,3.872039668,KEGG
K14162,error-prone DNA polymerase [EC:2.7.7.7],10.0,3.871806364,KEGG
K06338,spore coat protein SA,10.0,3.871105701,KEGG
K25281,Enterovirus genome polyprotein,10.0,3.870228279,KEGG
K26865,Ruegeria phage DNA helicase,10.0,3.868468099,KEGG
K26727,Zierdtviridae DNA polymerase,10.0,3.8670548,KEGG
K04748,nitric oxide reductase NorQ protein,10.0,3.862965759,KEGG
K19243,NAD+ dependent glucose-6-phosphate dehydrogenase [EC:1.1.1.388],10.0,3.862787098,KEGG
K16703,colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK [EC:2.4.-.-],10.0,3.860218185,KEGG
K26441,DNA ligase [EC:6.5.1.1],10.0,3.860158261,KEGG
K26829,Bacillus phage metallo-endopeptidase,10.0,3.86009833,KEGG
K03087,RNA polymerase nonessential primary-like sigma factor,10.0,3.859618579,KEGG
K02336,DNA polymerase II [EC:2.7.7.7],10.0,3.859378504,KEGG
K20269,rhizosphere induced protein,10.0,3.857694258,KEGG
K26698,Sopolycivirus RNA-directed RNA polymerase,10.0,3.857392811,KEGG
K14575,AAA family ATPase,10.0,3.856124444,KEGG
K21919,BTB/POZ domain-containing protein KCTD9,10.0,3.855337404,KEGG
K08256,phosphatidyl-myo-inositol alpha-mannosyltransferase [EC:2.4.1.345],10.0,3.855216195,KEGG
K19068,"UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase [EC:1.1.1.367]",10.0,3.852662944,KEGG
K10857,exodeoxyribonuclease X [EC:3.1.11.-],10.0,3.852479994,KEGG
K04801,replication factor C small subunit,10.0,3.851869601,KEGG
K05636,"laminin, beta 1",10.0,3.851197176,KEGG
K11665,chromatin-remodeling ATPase INO80 [EC:5.6.2.-],10.0,3.850891184,KEGG
K13306,dTDP-4-dehydro-6-deoxyglucose reductase [EC:1.1.1.266],10.0,3.850707485,KEGG
K04774,serine protease SohB [EC:3.4.21.-],10.0,3.850584976,KEGG
K26030,Straboviridae deoxycytidylate deaminase [EC:3.5.4.12],10.0,3.849235091,KEGG
K26951,Autographiviridae terminase large subunit [EC:3.6.4.- 3.1.21.-],10.0,3.848127511,KEGG
K10866,DNA repair protein RAD50 [EC:3.6.-.-],10.0,3.847696021,KEGG
K10804,acyl-CoA thioesterase I [EC:3.1.2.- 3.1.2.2 3.1.1.2 3.1.1.5],10.0,3.847140617,KEGG
K15352,secreted effector protein PipB2,10.0,3.847140617,KEGG
K18555,fluoroquinolone resistance protein,10.0,3.846275242,KEGG
K03427,type I restriction enzyme M protein [EC:2.1.1.72],10.0,3.843170465,KEGG
K26867,Chaseviridae DNA primase/helicase,10.0,3.841609712,KEGG
K19423,glycosyltransferase EpsE [EC:2.4.-.-],10.0,3.840858554,KEGG
K25652,teichoic acid N-acetylgalactosaminyltransferase [EC:2.4.1.-],10.0,3.840168849,KEGG
K22227,AdoMet-dependent heme synthase [EC:1.3.98.6],10.0,3.838849091,KEGG
K26877,Herelleviridae DNA primase/helicase,10.0,3.838156185,KEGG
K01174,micrococcal nuclease [EC:3.1.31.1],10.0,3.836007459,KEGG
K02405,RNA polymerase sigma factor FliA,10.0,3.83511959,KEGG
K11592,endoribonuclease Dicer [EC:3.1.26.-],10.0,3.834992604,KEGG
K18955,"WhiB family transcriptional regulator, redox-sensing transcriptional regulator",10.0,3.834166284,KEGG
K24696,"[mycofactocin precursor peptide]-tyrosine decarboxylase / 3-amino-5-[(4-hydroxyphenyl)methyl]-4,4-dimethylpyrrolidin-2-one synthase [EC:1.3.98.7 4.1.99.26]",10.0,3.833593294,KEGG
