id	V-score	VL-score	db	name
K02454	1.74	2.240549248	KEGG	gspE; general secretion pathway protein E [EC:7.4.2.8]
K02455	0.28	1.447158031	KEGG	gspF; general secretion pathway protein F
K02456	6.13	2.787460475	KEGG	gspG; general secretion pathway protein G
K02457	3.19	2.503790683	KEGG	gspH; general secretion pathway protein H
K02458	0.17	1.230448921	KEGG	gspI; general secretion pathway protein I
K02459	0.55	1.740362689	KEGG	gspJ; general secretion pathway protein J
K02460	0.06	0.77815125	KEGG	gspK; general secretion pathway protein K
K02461	0.01	0.0	KEGG	gspL; general secretion pathway protein L
K02462			KEGG	gspM; general secretion pathway protein M
K02463			KEGG	gspN; general secretion pathway protein N
K02464	0.47	1.672097858	KEGG	gspO; general secretion pathway protein O [EC:3.4.23.43 2.1.1.-]
K02465			KEGG	gspS; general secretion pathway protein S
K02659	0.06	0.77815125	KEGG	pilI; twitching motility protein PilI
K02660	3.18	2.50242712	KEGG	pilJ; twitching motility protein PilJ
K02669	1.4	2.146128036	KEGG	pilT; twitching motility protein PilT
K02670	1.16	2.064457989	KEGG	pilU; twitching motility protein PilU
K03157	0.02	0.301029996	KEGG	LTB, TNFC; lymphotoxin beta (TNF superfamily, member 3)
K03159	0.66	1.819543936	KEGG	TNFRSF3, LTBR; lymphotoxin beta receptor TNFR superfamily member 3
K03194	1.47	2.167317335	KEGG	virB1; type IV secretion system protein VirB1
K03195	0.35	1.544068044	KEGG	virB10, lvhB10; type IV secretion system protein VirB10
K03196	2.09	2.320146286	KEGG	virB11, lvhB11; type IV secretion system protein VirB11 [EC:7.4.2.8]
K03197	0.05	0.698970004	KEGG	virB2, lvhB2; type IV secretion system protein VirB2
K03198	0.09	0.954242509	KEGG	virB3, lvhB3; type IV secretion system protein VirB3
K03199	4.79	2.680335513	KEGG	virB4, lvhB4; type IV secretion system protein VirB4 [EC:7.4.2.8]
K03200	0.15	1.176091259	KEGG	virB5, lvhB5; type IV secretion system protein VirB5
K03201	0.49	1.69019608	KEGG	virB6, lvhB6; type IV secretion system protein VirB6
K03202			KEGG	virB7, lvhB7; type IV secretion system protein VirB7
K03203	0.12	1.079181246	KEGG	virB8, lvhB8; type IV secretion system protein VirB8
K03204	0.26	1.414973348	KEGG	virB9, lvhB9; type IV secretion system protein VirB9
K03205	8.05	2.90579588	KEGG	virD4, lvhD4; type IV secretion system protein VirD4 [EC:7.4.2.8]
K03219	4.83	2.683947131	KEGG	yscC, sctC, ssaC; type III secretion protein C
K03220	0.03	0.477121255	KEGG	yscD, sctD, ssaD; type III secretion protein D
K03221	0.01	0.0	KEGG	yscF, sctF, ssaG, prgI; type III secretion protein F
K03222	0.02	0.301029996	KEGG	yscJ, sctJ, hrcJ, ssaJ; type III secretion protein J
K03223	0.01	0.0	KEGG	yscL, sctL; type III secretion protein L
K03224	0.14	1.146128036	KEGG	yscN, sctN, hrcN, ssaN; ATP synthase in type III secretion protein N [EC:7.4.2.8]
K03225	0.11	1.041392685	KEGG	yscQ, sctQ, hrcQ, ssaQ, spaO; type III secretion protein Q
K03226	0.01	0.0	KEGG	yscR, sctR, hrcR, ssaR; type III secretion protein R
K03227			KEGG	yscS, sctS, hrcS, ssaS; type III secretion protein S
K03228			KEGG	yscT, sctT, hrcT, ssaT; type III secretion protein T
K03229	0.02	0.301029996	KEGG	yscU, sctU, hrcU, ssaU; type III secretion protein U
K03230	0.03	0.477121255	KEGG	yscV, sctV, hrcV, ssaV, invA; type III secretion protein V
K03283	8.79	2.943988875	KEGG	HSPA1_6_8; heat shock 70kDa protein 1/6/8
K03327	1.25	2.096910013	KEGG	SLC47A, MATE, DTX; MATE family, multidrug and toxin extrusion protein
K03516			KEGG	flhE; flagellar protein FlhE
K03599	0.75	1.875061263	KEGG	sspA, mglA; stringent starvation protein A
K03600	0.87	1.939519253	KEGG	sspB; stringent starvation protein B
K03668	0.17	1.230448921	KEGG	hslJ; heat shock protein HslJ
K03704	10.0	3.225825991	KEGG	cspA; cold shock protein
K03799	1.29	2.11058971	KEGG	htpX; heat shock protein HtpX [EC:3.4.24.-]
K03810	4.26	2.629409599	KEGG	mviM; virulence factor
K03919	3.0	2.477121255	KEGG	alkB; DNA oxidative demethylase [EC:1.14.11.33]
K04009	0.83	1.919078092	KEGG	C3AR1; C3a anaphylatoxin chemotactic receptor
K04010	0.91	1.959041392	KEGG	C5AR1, CD88; C5a anaphylatoxin chemotactic receptor 1
K04048			KEGG	yscA, sctA; type III secretion protein A
K04049			KEGG	yscB, sctB; type III secretion protein B
K04050			KEGG	yscE, sctE; type III secretion protein E
K04051			KEGG	yscG, sctG; type III secretion protein G
K04052			KEGG	yscH, sctH; type III secretion protein H
K04053			KEGG	yscI, sctI; type III secretion protein I
K04054			KEGG	yscK, sctK; type III secretion protein K
K04055			KEGG	yscM, sctM; type III secretion protein M
K04056			KEGG	yscO, sctO; type III secretion protein O
K04057			KEGG	yscP, sctP; type III secretion protein P
K04058			KEGG	yscW, sctW; type III secretion protein W
K04059			KEGG	yscX, sctX; type III secretion protein X
K04060	0.84	1.924279286	KEGG	yscY, sctY; type III secretion protein Y
K04061	0.01	0.0	KEGG	flhB2; flagellar biosynthesis protein
K04171	0.47	1.672097858	KEGG	C5AR2, GPR77; C5a anaphylatoxin chemotactic receptor 2
K04392	1.76	2.245512668	KEGG	RAC1; Ras-related C3 botulinum toxin substrate 1
K04455	2.49	2.396199347	KEGG	HSPB1; heat shock protein beta-1
K04562	10.0	3.54863506	KEGG	flhG, fleN; flagellar biosynthesis protein FlhG
K04638	0.01	0.0	KEGG	IFT57, HIPPI, ESRRBL1; intraflagellar transport protein 57
K04762	0.04	0.602059991	KEGG	hslR; ribosome-associated heat shock protein Hsp15
K05468	0.03	0.477121255	KEGG	LTA, TNFB; lymphotoxin alpha (TNF superfamily, member 1)
K06011	0.1	1.0	KEGG	boNT; botulinum neurotoxin [EC:3.4.24.69]
K06099	9.35	2.970811611	KEGG	CSDA, ZONAB; cold shock domain protein A
K06144			KEGG	uspB; universal stress protein B
K06149	0.72	1.857332496	KEGG	uspA; universal stress protein A
K06267	10.0	3.32776749	KEGG	HMMR, RHAMM, CD168; hyaluronan-mediated motility receptor
K06348	8.82	2.945468585	KEGG	kapD; sporulation inhibitor KapD
K06371	0.05	0.698970004	KEGG	sda; developmental checkpoint coupling sporulation initiation to replication initiation
K06375	0.01	0.0	KEGG	spo0B; stage 0 sporulation protein B (sporulation initiation phosphotransferase) [EC:2.7.-.-]
K06377	0.06	0.77815125	KEGG	spo0M; sporulation-control protein
K06380	1.62	2.209515015	KEGG	spoIIB; stage II sporulation protein B
K06381	1.33	2.123851641	KEGG	spoIID; stage II sporulation protein D (peptidoglycan lytic transglycosylase) [EC:4.2.2.29]
K06382	0.04	0.602059991	KEGG	spoIIE; stage II sporulation protein E [EC:3.1.3.16]
K06384	0.08	0.903089987	KEGG	spoIIM; stage II sporulation protein M
K06385	0.06	0.77815125	KEGG	spoIIP; stage II sporulation protein P
K06386	10.0	3.531478917	KEGG	spoIIQ; stage II sporulation protein Q
K06387	0.03	0.477121255	KEGG	spoIIR; stage II sporulation protein R
K06388			KEGG	spoIISA; stage II sporulation protein SA
K06389	0.06	0.77815125	KEGG	spoIISB; stage II sporulation protein SB
K06390	0.23	1.361727836	KEGG	spoIIIAA; stage III sporulation protein AA
K06391	0.01	0.0	KEGG	spoIIIAB; stage III sporulation protein AB
K06392	0.04	0.602059991	KEGG	spoIIIAC; stage III sporulation protein AC
K06393			KEGG	spoIIIAD; stage III sporulation protein AD
K06394	0.02	0.301029996	KEGG	spoIIIAE; stage III sporulation protein AE
K06395	0.01	0.0	KEGG	spoIIIAF; stage III sporulation protein AF
K06396	0.04	0.602059991	KEGG	spoIIIAG; stage III sporulation protein AG
K06397	0.02	0.301029996	KEGG	spoIIIAH; stage III sporulation protein AH
K06398	0.06	0.77815125	KEGG	spoIVA; stage IV sporulation protein A
K06399	0.22	1.342422681	KEGG	spoIVB; stage IV sporulation protein B [EC:3.4.21.116]
K06401	10.0	3.380934463	KEGG	spoIVFA; stage IV sporulation protein FA
K06402	1.34	2.127104798	KEGG	spoIVFB; stage IV sporulation protein FB [EC:3.4.24.-]
K06403	0.02	0.301029996	KEGG	spoVAA; stage V sporulation protein AA
K06404	0.01	0.0	KEGG	spoVAB; stage V sporulation protein AB
K06405	0.03	0.477121255	KEGG	spoVAC; stage V sporulation protein AC
K06406	0.09	0.954242509	KEGG	spoVAD; stage V sporulation protein AD
K06407	0.03	0.477121255	KEGG	spoVAE; stage V sporulation protein AE
K06408	0.11	1.041392685	KEGG	spoVAF; stage V sporulation protein AF
K06409	1.47	2.167317335	KEGG	spoVB; stage V sporulation protein B
K06412	5.75	2.759667845	KEGG	spoVG; stage V sporulation protein G
K06413	7.02	2.846337112	KEGG	spoVK; stage V sporulation protein K
K06414			KEGG	spoVM; stage V sporulation protein M
K06415	1.95	2.290034611	KEGG	spoVR; stage V sporulation protein R
K06416	5.4	2.73239376	KEGG	spoVS; stage V sporulation protein S
K06417	7.01	2.845718018	KEGG	spoVID; stage VI sporulation protein D
K06438			KEGG	yqfD; similar to stage IV sporulation protein
K06603	0.04	0.602059991	KEGG	flaG; flagellar protein FlaG
K06604			KEGG	flaI; flagellar protein FlaI
K07012	10.0	4.036069701	KEGG	cas3; CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.- 5.6.2.4]
K07016	0.08	0.903089987	KEGG	csm1, cas10; CRISPR-associated protein Csm1
K07061	0.01	0.0	KEGG	cmr1; CRISPR-associated protein Cmr1
K07062	1.69	2.227886705	KEGG	fitB; toxin FitB [EC:3.1.-.-]
K07172	1.83	2.26245109	KEGG	mazE, chpAI; antitoxin MazE
K07326	0.39	1.591064607	KEGG	fhaC; hemolysin activation/secretion protein
K07327	0.11	1.041392685	KEGG	flaD; archaeal flagellar protein FlaD
K07328			KEGG	flaE; archaeal flagellar protein FlaE
K07329			KEGG	flaF; archaeal flagellar protein FlaF
K07330			KEGG	flaG; archaeal flagellar protein FlaG
K07331	10.0	3.219060332	KEGG	flaH; archaeal flagellar protein FlaH
K07332	1.94	2.28780173	KEGG	flaI; archaeal flagellar protein FlaI
K07333	0.46	1.662757832	KEGG	flaJ; archaeal flagellar protein FlaJ
K07334	10.0	3.009025742	KEGG	higB-1; toxin HigB-1
K07344	1.01	2.004321374	KEGG	trbL; type IV secretion system protein TrbL
K07464	10.0	3.333245699	KEGG	cas4; CRISPR-associated exonuclease Cas4 [EC:3.1.12.1]
K07475	0.72	1.857332496	KEGG	cas3; CRISPR-associated endonuclease Cas3-HD [EC:3.1.-.-]
K07570	2.27	2.356025857	KEGG	GSP13; general stress protein 13
K07725	1.94	2.28780173	KEGG	csa3; CRISPR-associated protein Csa3
K07746	1.44	2.158362492	KEGG	parD1_3_4; antitoxin ParD1/3/4
K07804	3.4	2.531478917	KEGG	pagC; putatice virulence related protein PagC
K07822	0.05	0.698970004	KEGG	flaC; archaeal flagellar protein FlaC
K07860	1.61	2.206825876	KEGG	RAC2; Ras-related C3 botulinum toxin substrate 2
K07861	1.11	2.045322979	KEGG	RAC3; Ras-related C3 botulinum toxin substrate 3
K07934	1.98	2.29666519	KEGG	IFT27, RAYL, RABL4; intraflagellar transport protein 27
K07935	0.4	1.602059991	KEGG	IFT22, RABL5; intraflagellar transport protein 22
K08293	10.0	3.043362278	KEGG	SMK1; sporulation-specific mitogen-activated protein kinase SMK1 [EC:2.7.11.24]
K08384	1.07	2.029383778	KEGG	spoVD; stage V sporulation protein D (sporulation-specific penicillin-binding protein)
K08645			KEGG	lef; anthrax lethal toxin endopeptidase [EC:3.4.24.83]
K08879			KEGG	HSPB8; heat shock protein beta-8
K09000	0.03	0.477121255	KEGG	cmr4; CRISPR-associated protein Cmr4
K09002	0.41	1.612783857	KEGG	csm3; CRISPR-associated protein Csm3
K09127	0.01	0.0	KEGG	cmr3; CRISPR-associated protein Cmr3
K09144	2.51	2.399673721	KEGG	abiEii; nucleotidyl transferase AbiEii/AbiGii toxin family protein
K09159			KEGG	cptB; antitoxin CptB
K09485	8.4	2.924279286	KEGG	HSP110; heat shock protein 110kDa
K09487	1.34	2.127104798	KEGG	HSP90B, TRA1; heat shock protein 90kDa beta
K09489	8.58	2.933487288	KEGG	HSPA4; heat shock 70kDa protein 4
K09491	8.58	2.933487288	KEGG	HSPA13, STCH; heat shock 70kDa protein 13
K09543	0.02	0.301029996	KEGG	HSPB2; heat shock protein beta-2
K09544			KEGG	HSPB3; heat shock protein beta-3
K09545	0.63	1.799340549	KEGG	HSPB6; heat shock protein beta-6
K09546			KEGG	HSPB7; heat shock protein beta-7
K09547	0.01	0.0	KEGG	HSPB9; heat shock protein beta-9
K09553	2.38	2.376576957	KEGG	STIP1; stress-induced-phosphoprotein 1
K09951	0.8	1.903089987	KEGG	cas2; CRISPR-associated protein Cas2
K09952	10.0	3.1430148	KEGG	csn1, cas9; CRISPR-associated endonuclease Csn1 [EC:3.1.-.-]
K10859	4.12	2.614897216	KEGG	ALKBH2; DNA oxidative demethylase [EC:1.14.11.33]
K10919			KEGG	tcpH; toxin coregulated pilus biosynthesis protein H
K10920			KEGG	tcpP; toxin coregulated pilus biosynthesis protein P
K10928	0.18	1.255272505	KEGG	ctxA; cholera enterotoxin subunit A [EC:2.4.2.36]
K10929	0.07	0.84509804	KEGG	ctxB; cholera enterotoxin subunit B
K10930	0.05	0.698970004	KEGG	tcpA; toxin coregulated pilin
K10931			KEGG	tcpB; toxin coregulated pilus biosynthesis protein B
K10932	0.01	0.0	KEGG	tcpC; toxin coregulated pilus biosynthesis outer membrane protein C
K10933			KEGG	tcpD; toxin coregulated pilus biosynthesis protein D
K10934	0.03	0.477121255	KEGG	tcpE; toxin coregulated pilus biosynthesis protein E
K10935			KEGG	tcpF; toxin coregulated pilus biosynthesis protein F
K10952	1.37	2.136720567	KEGG	ace; accessory cholera enterotoxin
K10953	0.11	1.041392685	KEGG	rtxA; RTX toxin RtxA
K10954	10.0	3.616160313	KEGG	zot; zona occludens toxin
K10961	2.6	2.414973348	KEGG	tcpI; toxin coregulated pilus biosynthesis protein I
K10962			KEGG	tcpQ; toxin coregulated pilus biosynthesis protein Q
K10963			KEGG	tcpR; toxin coregulated pilus biosynthesis protein R
K10964			KEGG	tcpS; toxin coregulated pilus biosynthesis protein S
K10965	1.27	2.103803721	KEGG	tcpT; toxin coregulated pilus biosynthesis protein T
K10966	0.03	0.477121255	KEGG	tcpJ; toxin coregulated pilus biosynthesis protein J [EC:3.4.23.43 2.1.1.-]
K11006	0.1	1.0	KEGG	stxA; shiga toxin subunit A
K11007	0.09	0.954242509	KEGG	stxB; shiga toxin subunit B
K11009	0.01	0.0	KEGG	ymt; murine toxin
K11011			KEGG	set1A; enterotoxin Set1A
K11012			KEGG	set1B; enterotoxin Set1B
K11013	0.19	1.278753601	KEGG	cdtA; cytolethal distending toxin subunit A
K11014	0.2	1.301029996	KEGG	cdtB; cytolethal distending toxin subunit B
K11015	0.1	1.0	KEGG	cdtC; cytolethal distending toxin subunit C
K11017	0.34	1.531478917	KEGG	shlB, hhdB, hpmB; hemolysin activation/secretion protein
K11020			KEGG	toxA; exotoxin A [EC:2.4.2.-]
K11021	2.41	2.382017043	KEGG	tccC; insecticidal toxin complex protein TccC
K11022	1.0	2.0	KEGG	rtxA1, rtxA; structural toxin protein (hemagglutinin/hemolysin) RtxA
K11023	0.41	1.612783857	KEGG	ptxA, artA, pltA; pertussis toxin subunit 1 [EC:2.4.2.-]
K11024			KEGG	ptxB; pertussis toxin subunit 2
K11025			KEGG	ptxC; pertussis toxin subunit 3
K11026			KEGG	ptxD; pertussis toxin subunit 4
K11027			KEGG	ptxE; pertussis toxin subunit 5
K11028			KEGG	vacA; vacuolating cytotoxin
K11029			KEGG	cyaA; anthrax edema toxin adenylate cyclase [EC:4.6.1.1]
K11033	0.01	0.0	KEGG	nheA; non-hemolytic enterotoxin A
K11034	0.1	1.0	KEGG	nheBC; non-hemolytic enterotoxin B/C
K11038	0.25	1.397940009	KEGG	hlg, luk; leukocidin/hemolysin toxin family protein
K11040	0.87	1.939519253	KEGG	se; staphylococcal enterotoxin
K11041	0.02	0.301029996	KEGG	eta; exfoliative toxin A/B
K11043	0.11	1.041392685	KEGG	tst; toxic shock syndrome toxin-1
K11057	0.01	0.0	KEGG	cpb2; beta2-toxin
K11058	0.04	0.602059991	KEGG	cpe; enterotoxin Cpe
K11059	0.2	1.301029996	KEGG	entA; probable enterotoxin A
K11060	10.0	3.163459552	KEGG	entB; probable enterotoxin B
K11061	0.07	0.84509804	KEGG	entC; probable enterotoxin C
K11062	10.0	3.608953699	KEGG	entD; probable enterotoxin D
K11063	4.06	2.608526034	KEGG	tcdAB; toxin A/B
K11889	10.0	3.14332713	KEGG	impN; type VI secretion system protein ImpN [EC:2.7.11.1]
K11890	0.01	0.0	KEGG	impM; type VI secretion system protein ImpM
K11891	0.12	1.079181246	KEGG	impL, vasK, icmF; type VI secretion system protein ImpL
K11892	0.63	1.799340549	KEGG	impK, ompA, vasF, dotU; type VI secretion system protein ImpK
K11893	0.08	0.903089987	KEGG	impJ, vasE; type VI secretion system protein ImpJ
K11894	0.41	1.612783857	KEGG	impI, vasC; type VI secretion system protein ImpI
K11895	0.08	0.903089987	KEGG	impH, vasB; type VI secretion system protein ImpH
K11896	0.12	1.079181246	KEGG	impG, vasA; type VI secretion system protein ImpG
K11897	0.03	0.477121255	KEGG	impF; type VI secretion system protein ImpF
K11898	0.02	0.301029996	KEGG	impE; type VI secretion system protein ImpE
K11899	0.08	0.903089987	KEGG	impD; type VI secretion system protein ImpD
K11900	0.09	0.954242509	KEGG	impC; type VI secretion system protein ImpC
K11901	0.07	0.84509804	KEGG	impB; type VI secretion system protein ImpB
K11902	0.08	0.903089987	KEGG	impA; type VI secretion system protein ImpA
K11903	0.96	1.982271233	KEGG	hcp; type VI secretion system secreted protein Hcp
K11904	10.0	3.18610838	KEGG	vgrG; type VI secretion system secreted protein VgrG
K11905	2.86	2.456366033	KEGG	K11905; type VI secretion system protein
K11906	0.06	0.77815125	KEGG	vasD, lip; type VI secretion system protein VasD
K11907	10.0	3.18582536	KEGG	vasG, clpV; type VI secretion system protein VasG
K11909	2.34	2.369215857	KEGG	vasI; type VI secretion system protein VasI
K11910	0.1	1.0	KEGG	vasJ; type VI secretion system protein VasJ
K11911	0.07	0.84509804	KEGG	vasL; type VI secretion system protein VasL
K11913	0.4	1.602059991	KEGG	fha1; type VI secretion system protein
K11918			KEGG	lip3; type VI secretion system protein
K11919	1.0	2.0	KEGG	hsiF3; type VI secretion system lysozyme-related protein
K11932	0.61	1.785329835	KEGG	uspG; universal stress protein G
K11935	1.13	2.053078443	KEGG	pgaA; biofilm PGA synthesis protein PgaA
K11937	0.02	0.301029996	KEGG	pgaD; biofilm PGA synthesis protein PgaD
K11940	0.04	0.602059991	KEGG	hspQ; heat shock protein HspQ
K12078	0.02	0.301029996	KEGG	ptlA; type IV secretion system protein PtlA
K12079	0.02	0.301029996	KEGG	ptlB; type IV secretion system protein PtlB
K12080	0.3	1.477121255	KEGG	ptlC; type IV secretion system protein PtlC [EC:7.4.2.8]
K12081	0.02	0.301029996	KEGG	ptlE; type IV secretion system protein PtlE
K12082	0.23	1.361727836	KEGG	ptlG; type IV secretion system protein PtlG
K12083	1.09	2.037426498	KEGG	ptlH; type IV secretion system protein PtlH [EC:7.4.2.8]
K12084			KEGG	ptlD; type IV secretion system protein PtlD
K12085	0.07	0.84509804	KEGG	ptlF; type IV secretion system protein PtlF
K12151	0.25	1.397940009	KEGG	bhsA; multiple stress resistance protein BhsA
K12320	2.0	2.301029996	KEGG	GUCY2C; heat-stable enterotoxin receptor [EC:4.6.1.2]
K12366			KEGG	ELMO1, CED12; engulfment and cell motility protein 1
K12516	0.14	1.146128036	KEGG	bigA; putative surface-exposed virulence protein
K12532	0.32	1.505149978	KEGG	rtxD, fitB; membrane fusion protein, RTX toxin transport system
K12536	10.0	3.314077992	KEGG	hasD, prtD, aprD, rsaD, prsD, eexD; ATP-binding cassette, subfamily C, type I secretion system permease/ATPase
K12537	10.0	3.154423973	KEGG	hasE, prtE, rsaE, prsE, eexE; membrane fusion protein, type I secretion system
K12538	0.51	1.707570176	KEGG	hasF, prtF; outer membrane protein, type I secretion system
K12576			KEGG	SPO12; sporulation-specific protein 12
K12771	10.0	3.211921084	KEGG	SPS1; sporulation-specific protein 1 [EC:2.7.11.1]
K12772			KEGG	SPS4; sporulation-specific protein 4
K12773	0.01	0.0	KEGG	SPR3; sporulation-regulated protein 3
K12783			KEGG	SSP1; sporulation-specific protein 1
K13301			KEGG	secM; secretion monitor
K13439	0.06	0.77815125	KEGG	avrRpt2; cysteine protease avirulence protein AvrRpt2 [EC:3.4.22.-]
K13440	0.04	0.602059991	KEGG	avrPphB; cysteine protease avirulence protein AvrPphB [EC:3.4.22.-]
K13455	0.01	0.0	KEGG	avrXccC, avrB; avirulence protein
K13593	2.42	2.383815366	KEGG	tipF; cyclic-di-GMP phosphodiesterase, flagellum assembly factor TipF
K13626	0.05	0.698970004	KEGG	fliW; flagellar assembly factor FliW
K13650	0.24	1.380211242	KEGG	mcbA; MqsR-controlled colanic acid and biofilm protein A
K13790			KEGG	icsB, bopA; virulence protein IcsB
K13820	0.02	0.301029996	KEGG	fliR-flhB; flagellar biosynthesis protein FliR/FlhB
K14055	0.7	1.84509804	KEGG	uspE; universal stress protein E
K14061	0.64	1.806179974	KEGG	uspF; universal stress protein F
K14064	0.13	1.113943352	KEGG	uspC; universal stress protein C
K14065	0.02	0.301029996	KEGG	uspD; universal stress protein D
K15126	0.01	0.0	KEGG	bteA; type III secretion system cytotoxic effector protein
K15303	1.59	2.201397124	KEGG	AKR7; aflatoxin B1 aldehyde reductase
K15366	0.06	0.77815125	KEGG	spvB; salmonella plasmid virulence protein B
K15421	10.0	3.252610341	KEGG	SERGEF; secretion-regulating guanine nucleotide exchange factor
K16473	0.02	0.301029996	KEGG	IFT20; intraflagellar transport protein 20
K16474	2.19	2.340444115	KEGG	IFT88; intraflagellar transport protein 88
K16619	0.04	0.602059991	KEGG	plc, cpa; phospholipase C / alpha-toxin [EC:3.1.4.3]
K16623	0.09	0.954242509	KEGG	ntnH; botulinum neurotoxin type non-toxic component
K16883			KEGG	sta; heat-stable enterotoxin STa/STI
K16884	0.01	0.0	KEGG	stb; heat-stable enterotoxin STb/STII
K16947			KEGG	SPR28; sporulation-regulated protein 28
K17651	0.32	1.505149978	KEGG	ORDA, CYP64A; aflatoxin B synthase [EC:1.14.14.117]
K18373	0.01	0.0	KEGG	hrpB1; type III secretion protein HrpB1
K18374			KEGG	hrpB2; type III secretion inner rod protein HrpB2
K18375			KEGG	hrpE; type III secretion hrp pilus HrpE
K18376			KEGG	hrpF; type III secretion translocon protein HrpF
K18378			KEGG	hpa1; type III secretion harpin protein Hpa1
K18380	0.01	0.0	KEGG	hpaB; type III secretion control protein HpaB
K18381			KEGG	hpaC; type III secretion control protein HpaP
K18433			KEGG	virD1; type IV secretion system T-DNA border endonuclease VirD1
K18434	0.39	1.591064607	KEGG	virD2; type IV secretion system T-DNA border endonuclease VirD2
K18829	0.33	1.51851394	KEGG	mvpT, vapB; antitoxin VapB
K18837	0.59	1.770852012	KEGG	cbtA; cytoskeleton-binding toxin CbtA and related proteins
K18839	0.03	0.477121255	KEGG	ghoT; toxin GhoT
K18840			KEGG	ghoS; antitoxin GhoS
K18842	1.56	2.193124598	KEGG	chpS, chpBI; antitoxin ChpS
K18843	10.0	3.439016728	KEGG	hicB; antitoxin HicB
K18923	1.26	2.100370545	KEGG	stbD; antitoxin StbD
K18985			KEGG	ELMO2, CED12A; engulfment and cell motility protein 2
K19046	0.12	1.079181246	KEGG	casB, cse2; CRISPR system Cascade subunit CasB
K19074			KEGG	csa2; CRISPR-associated protein Csa2
K19075	0.11	1.041392685	KEGG	cst2, cas7; CRISPR-associated protein Cst2
K19076	0.03	0.477121255	KEGG	cmr2, cas10; CRISPR-associated protein Cmr2
K19085	0.04	0.602059991	KEGG	csa1; CRISPR-associated protein Csa1
K19086			KEGG	csa4, cas8a2; CRISPR-associated protein Csa4
K19087			KEGG	csa5; CRISPR-associated protein Csa5
K19088	0.04	0.602059991	KEGG	cst1, cas8a; CRISPR-associated protein Cst1
K19089	0.01	0.0	KEGG	cas5a_b_c; CRISPR-associated protein Cas5a/b/c
K19090	0.68	1.832508913	KEGG	cas5t; CRISPR-associated protein Cas5t
K19091	0.59	1.770852012	KEGG	cas6; CRISPR-associated endoribonuclease Cas6 [EC:3.1.-.-]
K19092	5.35	2.728353782	KEGG	parE1_3_4; toxin ParE1/3/4
K19093	0.51	1.707570176	KEGG	parE2; toxin ParE2
K19094			KEGG	parD2; antitoxin ParD2
