Protein	Contig	Genome	Protein Viral Origin Confidence	Protein in Strict Viral Region	Function	category_L1	category_L2	category_L3
vRhyme_bin_1__BAr2D2E2F_000000009081_14	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	medium	true	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	Transcriptional regulation	General regulator	
vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337_2	vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337	vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337	medium	true	transcriptional repressor	Transcriptional regulation	Repressor	
vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337_21	vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337	vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337	medium	true	DNA binding protein	Transcriptional regulation	DNA-binding transcription factor	
vRhyme_unbinned_16__MGr3G3H3I_000000046301_1	vRhyme_unbinned_16__MGr3G3H3I_000000046301	vRhyme_unbinned_16__MGr3G3H3I_000000046301	medium	true	uvrY, gacA, varA; two-component system, NarL family, invasion response regulator UvrY	Signal transduction & two-component systems	Two-component / sensor-response	
vRhyme_unbinned_16__MGr3G3H3I_000000046301_1	vRhyme_unbinned_16__MGr3G3H3I_000000046301	vRhyme_unbinned_16__MGr3G3H3I_000000046301	medium	true	uvrY, gacA, varA; two-component system, NarL family, invasion response regulator UvrY	Transcriptional regulation	General regulator	
vRhyme_unbinned_32__MGr3G3H3I_000000112980_9	vRhyme_unbinned_32__MGr3G3H3I_000000112980	vRhyme_unbinned_32__MGr3G3H3I_000000112980	medium	true	transcriptional regulator	Transcriptional regulation	General regulator	
vRhyme_unbinned_85__MGr3G3H3I_000000273023_1	vRhyme_unbinned_85__MGr3G3H3I_000000273023	vRhyme_unbinned_85__MGr3G3H3I_000000273023	medium	true	flgR; two-component system, NtrC family, response regulator	Transcriptional regulation	General regulator	
vRhyme_unbinned_85__MGr3G3H3I_000000273023_1	vRhyme_unbinned_85__MGr3G3H3I_000000273023	vRhyme_unbinned_85__MGr3G3H3I_000000273023	medium	true	flgR; two-component system, NtrC family, response regulator	Signal transduction & two-component systems	Two-component / sensor-response	
vRhyme_bin_11__MHr2D2E2F_000000049988_25	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	low	true	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
vRhyme_unbinned_21__MGr3G3H3I_000000062622_11	vRhyme_unbinned_21__MGr3G3H3I_000000062622	vRhyme_unbinned_21__MGr3G3H3I_000000062622	low	true	transcriptional regulator	Transcriptional regulation	General regulator	
vRhyme_unbinned_29__MGr3G3H3I_000000101571_4	vRhyme_unbinned_29__MGr3G3H3I_000000101571	vRhyme_unbinned_29__MGr3G3H3I_000000101571	low	true	rfaH; transcriptional antiterminator RfaH	Other		
vRhyme_unbinned_31__MGr3G3H3I_000000103998_1	vRhyme_unbinned_31__MGr3G3H3I_000000103998	vRhyme_unbinned_31__MGr3G3H3I_000000103998	low	true	evgS, bvgS; two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
vRhyme_unbinned_45__MGr3G3H3I_000000148917_2	vRhyme_unbinned_45__MGr3G3H3I_000000148917	vRhyme_unbinned_45__MGr3G3H3I_000000148917	low	true	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	Transcriptional regulation	General regulator	
vRhyme_unbinned_53__MGr3G3H3I_000000162938_3	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	low	true	K02483; two-component system, OmpR family, response regulator	Signal transduction & two-component systems	Two-component / sensor-response	
vRhyme_unbinned_53__MGr3G3H3I_000000162938_3	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	low	true	K02483; two-component system, OmpR family, response regulator	Transcriptional regulation	General regulator	
