Protein	Contig	Genome	Function	KEGG_hmm_id	FOAM_hmm_id	Pfam_hmm_id	dbCAN_hmm_id	METABOLIC_hmm_id	CAMPER_hmm_id	PHROG_hmm_id	KEGG_score	FOAM_score	Pfam_score	dbCAN_score	METABOLIC_score	CAMPER_score	PHROG_score	KEGG_coverage	FOAM_coverage	Pfam_coverage	dbCAN_coverage	METABOLIC_coverage	CAMPER_coverage	PHROG_coverage	KEGG_V-score	Pfam_V-score	PHROG_V-score	Viral_Flanking_Genes_Left_Dist	Viral_Flanking_Genes_Right_Dist	MGE_Flanking_Genes_Left_Dist	MGE_Flanking_Genes_Right_Dist	Viral_Origin_Confidence	KEGG_Description	FOAM_Description	Pfam_Description	dbCAN_Description	METABOLIC_Description	CAMPER_Description	PHROG_Description	top_hit_hmm_id	top_hit_description	top_hit_db	FILTER_MATCH_ALL	FILTER_REMOVE_TOKEN_ALL	FILTER_EXCEPTION_ALL	FILTER_EXCEPTION_TOKEN_ALL	step5_in_merged_region	protein_in_ambig_region	nonviral_region_pos
vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337_21	vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337	vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337	DNA binding protein							phrog_1305							129.708084							0.9336283185840708		10.0	10.0	3858.0				medium							DNA binding protein	phrog_1305	DNA binding protein	PHROG	false		false		true	false	
vRhyme_unbinned_16__MGr3G3H3I_000000046301_1	vRhyme_unbinned_16__MGr3G3H3I_000000046301	vRhyme_unbinned_16__MGr3G3H3I_000000046301	uvrY, gacA, varA; two-component system, NarL family, invasion response regulator UvrY	K07689	HMMsoil96567	PF00072.31				phrog_731	237.375656	95.151733	92.214035				112.432739	0.7084745762711865	0.5167464114832536	0.990990990990991				0.9118942731277533	10.0	10.0	9.94		3624.0		1233.0	medium	uvrY, gacA, varA; two-component system, NarL family, invasion response regulator UvrY	narX; two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX [EC:2.7.13.3]; narQ; two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ [EC:2.7.13.3]	Response regulator receiver domain				""	K07689	uvrY, gacA, varA; two-component system, NarL family, invasion response regulator UvrY	KEGG	false		false		true	false	
vRhyme_unbinned_16__MGr3G3H3I_000000046301_8	vRhyme_unbinned_16__MGr3G3H3I_000000046301	vRhyme_unbinned_16__MGr3G3H3I_000000046301	late transcriptional activator							phrog_836							65.170464							0.8345864661654135	0.32	10.0	10.0	1101.0	1203.0	4491.0		high							late transcriptional activator	phrog_836	late transcriptional activator	PHROG	false		false		true	false	
vRhyme_unbinned_21__MGr3G3H3I_000000062622_11	vRhyme_unbinned_21__MGr3G3H3I_000000062622	vRhyme_unbinned_21__MGr3G3H3I_000000062622	transcriptional regulator							phrog_2439							169.393585							0.9782016348773842	5.79	10.0	10.0	3942.0		6510.0		low							transcriptional regulator	phrog_2439	transcriptional regulator	PHROG	false		false		true	false	
vRhyme_unbinned_29__MGr3G3H3I_000000101571_4	vRhyme_unbinned_29__MGr3G3H3I_000000101571	vRhyme_unbinned_29__MGr3G3H3I_000000101571	rfaH; transcriptional antiterminator RfaH	K05785		PF02357.25				phrog_6386	110.189644		60.42902				80.309669	0.564748201438849		0.967741935483871				0.9162011173184358	10.0	10.0	8.71	3141.0	603.0			low	rfaH; transcriptional antiterminator RfaH		Transcription termination factor nusG				transcription antiterminator	K05785	rfaH; transcriptional antiterminator RfaH	KEGG	false		false		true	false	
vRhyme_unbinned_31__MGr3G3H3I_000000103998_1	vRhyme_unbinned_31__MGr3G3H3I_000000103998	vRhyme_unbinned_31__MGr3G3H3I_000000103998	evgS, bvgS; two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]	K07679	HMMsoil470					phrog_20458	593.718567	427.583008					438.262207	0.46977124183006536	0.6309067688378033					0.4945717732207479	10.0	10.0	2.93		2445.0		2445.0	low	evgS, bvgS; two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]	hk1; two-component system, glycerol uptake and utilization sensor kinase [EC:2.7.13.3]					""	K07679	evgS, bvgS; two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]	KEGG	false		false		true	false	
vRhyme_unbinned_31__MGr3G3H3I_000000103998_23	vRhyme_unbinned_31__MGr3G3H3I_000000103998	vRhyme_unbinned_31__MGr3G3H3I_000000103998	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4; Response to osmotic stress		HMMsoil4371	PF04800.18						114.846161	109.088951						1.0	0.9791666666666666					0.52	0.52		5949.0	783.0	8835.0		low		NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4; Response to osmotic stress	NADH dehydrogenase ubiquinone Fe-S protein 4					HMMsoil4371	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4; Response to osmotic stress	FOAM	false		false		false	true	
vRhyme_unbinned_31__MGr3G3H3I_000000103998_25	vRhyme_unbinned_31__MGr3G3H3I_000000103998	vRhyme_unbinned_31__MGr3G3H3I_000000103998	'Cold-shock' DNA-binding domain	K03704		PF00313.29					143.443665		108.825539					0.4161490683229814		0.9696969696969697					10.0	10.0	10.0	6732.0		9618.0		low	cspA; cold shock protein		'Cold-shock' DNA-binding domain					K03704	cspA; cold shock protein	KEGG	false		false		false	true	
vRhyme_unbinned_32__MGr3G3H3I_000000112980_9	vRhyme_unbinned_32__MGr3G3H3I_000000112980	vRhyme_unbinned_32__MGr3G3H3I_000000112980	transcriptional regulator							phrog_2439							270.916473							0.9318801089918256	10.0	10.0	10.0	2370.0	1830.0		1830.0	medium							transcriptional regulator	phrog_2439	transcriptional regulator	PHROG	false		false		true	false	
vRhyme_unbinned_37__MGr3G3H3I_000000135683_12	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	SMARCAL1, HARP; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:5.6.2.-]	K14440	HMMsoil50354	PF00176.30					338.412689	144.765778	91.509415					0.5918635170603674	0.7708333333333334	0.8541666666666666					10.0	10.0	10.0	5592.0	1824.0		1824.0	high	SMARCAL1, HARP; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:5.6.2.-]	ENTPD2; adenosinetriphosphatase [EC:3.6.1.-]	SNF2-related domain					K14440	SMARCAL1, HARP; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:5.6.2.-]	KEGG	false		false		true	false	
vRhyme_unbinned_37__MGr3G3H3I_000000135683_13	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	K03497						phrog_3264	96.460999						75.212273	0.5156695156695157						0.4540059347181009	10.0	10.0	10.0	1824.0	3078.0			high	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein						ParB-like partition protein	K03497	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	KEGG	false		false		true	false	
vRhyme_unbinned_39__MGr3G3H3I_000000139510_17	vRhyme_unbinned_39__MGr3G3H3I_000000139510	vRhyme_unbinned_39__MGr3G3H3I_000000139510	SMARCAL1, HARP; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:5.6.2.-]	K14440		PF00176.30					423.221161		97.848938					0.5603674540682415		0.7777777777777778					10.0	10.0	10.0	465.0				high	SMARCAL1, HARP; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:5.6.2.-]		SNF2-related domain					K14440	SMARCAL1, HARP; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:5.6.2.-]	KEGG	false		false		true	false	
vRhyme_unbinned_3__MGr3G3H3I_000000009885_5	vRhyme_unbinned_3__MGr3G3H3I_000000009885	vRhyme_unbinned_3__MGr3G3H3I_000000009885	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	K03497						phrog_18726	174.025467						111.399109	0.7606837606837606						0.4230769230769231	10.0	10.0	10.0	1167.0	3162.0			high	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein						""	K03497	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	KEGG	false		false		true	false	
vRhyme_unbinned_3__MGr3G3H3I_000000009885_15	vRhyme_unbinned_3__MGr3G3H3I_000000009885	vRhyme_unbinned_3__MGr3G3H3I_000000009885	RNA-binding protein			PF12961.14				phrog_986			69.852333				78.569847			0.935064935064935				0.44664031620553357		10.0	10.0	1461.0	726.0	7374.0		high			Domain of unknown function (DUF3850)				RNA-binding protein	phrog_986	RNA-binding protein	PHROG	false		false		true	false	
vRhyme_unbinned_41__MGr3G3H3I_000000142568_15	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	repA; regulatory protein RepA	K07505		PF13481.13				phrog_25693	120.608261		107.871765				172.980408	0.7513227513227513		0.9435897435897436				0.8098765432098766	10.0	10.0	7.79	2871.0	2136.0		4119.0	high	repA; regulatory protein RepA		AAA domain				""	phrog_25693	""	PHROG	false		false		true	false	
vRhyme_unbinned_45__MGr3G3H3I_000000148917_2	vRhyme_unbinned_45__MGr3G3H3I_000000148917	vRhyme_unbinned_45__MGr3G3H3I_000000148917	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	K03497		PF07506.18				phrog_3951	92.432198		71.663185				113.288025	0.5356125356125356		0.9567567567567568				0.8704318936877077	10.0	1.33	5.41	891.0	888.0		888.0	low	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein		RepB plasmid partitioning protein				""	phrog_3951	""	PHROG	false		false		true	false	
vRhyme_unbinned_53__MGr3G3H3I_000000162938_3	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	K02483; two-component system, OmpR family, response regulator	K02483						phrog_731	174.489059						135.783295	0.5734072022160664						0.9779735682819384	10.0	10.0	9.94		705.0		11976.0	low	K02483; two-component system, OmpR family, response regulator						""	K02483	K02483; two-component system, OmpR family, response regulator	KEGG	false		false		true	false	
vRhyme_unbinned_62__MGr3G3H3I_000000188077_25	vRhyme_unbinned_62__MGr3G3H3I_000000188077	vRhyme_unbinned_62__MGr3G3H3I_000000188077	late transcriptional activator							phrog_836							78.697151							0.924812030075188		0.67	10.0	1785.0				high							late transcriptional activator	phrog_836	late transcriptional activator	PHROG	false		false		true	false	
vRhyme_unbinned_78__MGr3G3H3I_000000231783_12	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	'Cold-shock' DNA-binding domain	K03704		PF00313.29					73.803307		61.343327					0.40372670807453415		0.9848484848484849					10.0	10.0	10.0	3459.0	3768.0			high	cspA; cold shock protein		'Cold-shock' DNA-binding domain					K03704	cspA; cold shock protein	KEGG	false		false		true	false	
vRhyme_unbinned_81__MGr3G3H3I_000000246984_4	vRhyme_unbinned_81__MGr3G3H3I_000000246984	vRhyme_unbinned_81__MGr3G3H3I_000000246984	groES, HSPE1; chaperonin GroES	K04078		PF00166.27				phrog_3188	86.33815		82.25148				66.317184	0.4492753623188406		1.0				0.96875	10.0	10.0	3.67					high	groES, HSPE1; chaperonin GroES		Chaperonin 10 Kd subunit				co-chaperonin GroES	K04078	groES, HSPE1; chaperonin GroES	KEGG	false		false		false	true	
vRhyme_unbinned_82__MGr3G3H3I_000000255661_3	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	groES, HSPE1; chaperonin GroES	K04078		PF00166.27					78.333412		67.67308					0.4396135265700483		0.978494623655914					10.0	10.0	3.67		756.0		52515.0	high	groES, HSPE1; chaperonin GroES		Chaperonin 10 Kd subunit					K04078	groES, HSPE1; chaperonin GroES	KEGG	false		false		true	false	
vRhyme_unbinned_82__MGr3G3H3I_000000255661_5	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	groEL, HSPD1, HSP60, CPN60; chaperonin GroEL [EC:5.6.1.7]	K04077		PF00118.30				phrog_5725	473.985718		151.199844				384.601593	0.6473489519112207		0.8261758691206544				0.987037037037037	10.0	10.0	10.0	756.0	15063.0		51759.0	high	groEL, HSPD1, HSP60, CPN60; chaperonin GroEL [EC:5.6.1.7]		TCP-1/cpn60 chaperonin family				chaperonin groEL	K04077	groEL, HSPD1, HSP60, CPN60; chaperonin GroEL [EC:5.6.1.7]	KEGG	false		false		true	false	
vRhyme_unbinned_85__MGr3G3H3I_000000273023_1	vRhyme_unbinned_85__MGr3G3H3I_000000273023	vRhyme_unbinned_85__MGr3G3H3I_000000273023	flgR; two-component system, NtrC family, response regulator	K02481		PF00158.33				phrog_7998	503.683197		237.521927				196.578247	0.49798657718120803		0.9940476190476191				0.8967551622418879	10.0	9.89	2.66		3126.0			medium	flgR; two-component system, NtrC family, response regulator		Sigma-54 interaction domain				""	K02481	flgR; two-component system, NtrC family, response regulator	KEGG	false		false		true	false	
vRhyme_unbinned_91__MGr3G3H3I_000000294607_14	vRhyme_unbinned_91__MGr3G3H3I_000000294607	vRhyme_unbinned_91__MGr3G3H3I_000000294607	groES, HSPE1; chaperonin GroES	K04078							63.528278							0.5458937198067633							10.0	10.0	3.67	3516.0				high	groES, HSPE1; chaperonin GroES							K04078	groES, HSPE1; chaperonin GroES	KEGG	false		false		true	false	
