Protein	Contig	Genome	Protein Classification	Protein Viral Origin Confidence	Protein in Strict Viral Region	Function	KEGG KO	KEGG KO Name	FOAM ID	FOAM Annotation	Pfam Accession	Pfam Name	CAZy Family	CAZy Activities	METABOLIC db ID	METABOLIC Annotation	CAMPER ID	CAMPER Annotation	PHROG Number	PHROG Annotation	Best Scoring HMM	Best Scoring HMM Annotation	Best Scoring HMM Origin
vRhyme_unbinned_105__MGr3G3H3I_000000182691|provirus_17376_26434_1	vRhyme_unbinned_105__MGr3G3H3I_000000182691|provirus_17376_26434	vRhyme_unbinned_105__MGr3G3H3I_000000182691|provirus_17376_26434	metabolic	low	false	ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]	K21064	ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]			PF08282.19	haloacid dehalogenase-like hydrolase							phrog_4901	hydrolase	K21064	ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]	KEGG
vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090_15	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	metabolic	low	false	Iron reduction	K18235	vgb; virginiamycin B lyase [EC:4.2.99.-]			PF08450.19	SMP-30/Gluconolactonase/LRE-like region			DFE_0463	Iron reduction					DFE_0463	Iron reduction	METABOLIC
vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090_2	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	metabolic	low	false	iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]	K04487	iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]	HMMsoil86550	iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]	PF00266.26	Aminotransferase class-V							phrog_12787	""	K04487	iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]	KEGG
vRhyme_unbinned_28__MGr3G3H3I_000000090299_18	vRhyme_unbinned_28__MGr3G3H3I_000000090299	vRhyme_unbinned_28__MGr3G3H3I_000000090299	metabolic	low	false	ptsN; nitrogen PTS system EIIA component [EC:2.7.1.-]			HMMsoil25269	ptsN; nitrogen PTS system EIIA component [EC:2.7.1.-]	PF00571.34	CBS domain									HMMsoil25269	ptsN; nitrogen PTS system EIIA component [EC:2.7.1.-]	FOAM
vRhyme_unbinned_31__MGr3G3H3I_000000103998_23	vRhyme_unbinned_31__MGr3G3H3I_000000103998	vRhyme_unbinned_31__MGr3G3H3I_000000103998	metabolic	low	false	NADH dehydrogenase ubiquinone Fe-S protein 4			HMMsoil4371	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4; Response to osmotic stress	PF04800.18	NADH dehydrogenase ubiquinone Fe-S protein 4									HMMsoil4371	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4; Response to osmotic stress	FOAM
vRhyme_unbinned_31__MGr3G3H3I_000000103998_26	vRhyme_unbinned_31__MGr3G3H3I_000000103998	vRhyme_unbinned_31__MGr3G3H3I_000000103998	metabolic	low	false	rocD, OAT; ornithine--oxo-acid transaminase [EC:2.6.1.13]	K09251	patA; putrescine aminotransferase [EC:2.6.1.82]	HMMsoil34373	rocD, OAT; ornithine--oxo-acid transaminase [EC:2.6.1.13]	PF00202.28	Aminotransferase class-III							phrog_2736	aminotransferase	HMMsoil34373	rocD, OAT; ornithine--oxo-acid transaminase [EC:2.6.1.13]	FOAM
vRhyme_bin_11__LABRr1A1B1C_000000110784_13	vRhyme_bin_11__LABRr1A1B1C_000000110784	LABRr1A1B1C_vRhyme_bin_11	physiological	high	true	anti-restriction protein													phrog_7245	anti-restriction protein	phrog_7245	anti-restriction protein	PHROG
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_1	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	physiological	high	true	Thoeris anti-defense 2-like domain					PF11195.15	Thoeris anti-defense 2-like domain									PF11195	Thoeris anti-defense 2-like domain	Pfam
vRhyme_unbinned_41__MGr3G3H3I_000000142568_3	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	physiological	high	true	anti-restriction protein					PF18818.8	Zincin-like metallopeptidase							phrog_7245	anti-restriction protein	phrog_7245	anti-restriction protein	PHROG
vRhyme_unbinned_78__MGr3G3H3I_000000231783_12	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	physiological	high	true	cspA; cold shock protein	K03704	cspA; cold shock protein			PF00313.29	'Cold-shock' DNA-binding domain									K03704	cspA; cold shock protein	KEGG
vRhyme_unbinned_78__MGr3G3H3I_000000231783_20	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	physiological	high	true	Virulence-associated protein E-like domain					PF05272.18	Virulence-associated protein E-like domain							phrog_1313	DNA helicase	phrog_1313	DNA helicase	PHROG
vRhyme_bin_12__LABRr1A1B1C_000000124220_14	vRhyme_bin_12__LABRr1A1B1C_000000124220	LABRr1A1B1C_vRhyme_bin_12	physiological	medium	true	higB-1; toxin HigB-1	K07334	higB-1; toxin HigB-1													K07334	higB-1; toxin HigB-1	KEGG
vRhyme_unbinned_41__MGr3G3H3I_000000142568_21	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	physiological	medium	true	higA-1; antitoxin HigA-1	K21498	higA-1; antitoxin HigA-1													K21498	higA-1; antitoxin HigA-1	KEGG
vRhyme_unbinned_41__MGr3G3H3I_000000142568_22	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	physiological	medium	true	higB-1; toxin HigB-1	K07334	higB-1; toxin HigB-1			PF05015.19	RelE-like toxin of type II toxin-antitoxin system HigB							phrog_3066	toxin of TA system	K07334	higB-1; toxin HigB-1	KEGG
vRhyme_unbinned_43__MGr3G3H3I_000000145042_20	vRhyme_unbinned_43__MGr3G3H3I_000000145042	vRhyme_unbinned_43__MGr3G3H3I_000000145042	physiological	medium	false	BstA abortive infection system, replication inhibitor					PF26567.1	BstA C-terminal domain							phrog_6287	BstA abortive infection system, replication inhibitor	phrog_6287	BstA abortive infection system, replication inhibitor	PHROG
vRhyme_unbinned_60__MGr3G3H3I_000000180455_4	vRhyme_unbinned_60__MGr3G3H3I_000000180455	vRhyme_unbinned_60__MGr3G3H3I_000000180455	physiological	medium	true	anti-restriction protein													phrog_7245	anti-restriction protein	phrog_7245	anti-restriction protein	PHROG
vRhyme_unbinned_11__MGr3G3H3I_000000030488_6	vRhyme_unbinned_11__MGr3G3H3I_000000030488	vRhyme_unbinned_11__MGr3G3H3I_000000030488	physiological	low	false	SERGEF; secretion-regulating guanine nucleotide exchange factor	K15421	SERGEF; secretion-regulating guanine nucleotide exchange factor			PF25390.2	RCC1-like domain									PF25390	RCC1-like domain	Pfam
vRhyme_unbinned_20__MGr3G3H3I_000000054425_1	vRhyme_unbinned_20__MGr3G3H3I_000000054425	vRhyme_unbinned_20__MGr3G3H3I_000000054425	physiological	low	false	AcrB/AcrD/AcrF family					PF00873.26	AcrB/AcrD/AcrF family									PF00873	AcrB/AcrD/AcrF family	Pfam
vRhyme_unbinned_20__MGr3G3H3I_000000054425_5	vRhyme_unbinned_20__MGr3G3H3I_000000054425	vRhyme_unbinned_20__MGr3G3H3I_000000054425	physiological	low	false	HigB_toxin, RelE-like toxic component of a toxin-antitoxin system	K19166	higB; mRNA interferase HigB [EC:3.1.-.-]			PF09907.16	HigB_toxin, RelE-like toxic component of a toxin-antitoxin system							phrog_5734	""	K19166	higB; mRNA interferase HigB [EC:3.1.-.-]	KEGG
vRhyme_unbinned_27__MGr3G3H3I_000000077811_18	vRhyme_unbinned_27__MGr3G3H3I_000000077811	vRhyme_unbinned_27__MGr3G3H3I_000000077811	physiological	low	false	Antitoxin TacA 1-like					PF08681.19	Antitoxin TacA 1-like									PF08681	Antitoxin TacA 1-like	Pfam
vRhyme_unbinned_31__MGr3G3H3I_000000103998_25	vRhyme_unbinned_31__MGr3G3H3I_000000103998	vRhyme_unbinned_31__MGr3G3H3I_000000103998	physiological	low	false	cspA; cold shock protein	K03704	cspA; cold shock protein			PF00313.29	'Cold-shock' DNA-binding domain									K03704	cspA; cold shock protein	KEGG
vRhyme_bin_11__MGr3G3H3I_000000213947_5	vRhyme_bin_11__MGr3G3H3I_000000213947	MGr3G3H3I_vRhyme_bin_11	regulatory	high	true	'Cold-shock' DNA-binding domain					PF00313.29	'Cold-shock' DNA-binding domain									PF00313	'Cold-shock' DNA-binding domain	Pfam
vRhyme_bin_11__MHr2D2E2F_000000342937_21	vRhyme_bin_11__MHr2D2E2F_000000342937	MHr2D2E2F_vRhyme_bin_11	regulatory	high	true	RNA-binding protein	K11089	TROVE2, SSA2; 60 kDa SS-A/Ro ribonucleoprotein			PF05731.18	TROVE domain							phrog_850	RNA-binding protein	K11089	TROVE2, SSA2; 60 kDa SS-A/Ro ribonucleoprotein	KEGG
vRhyme_bin_11__MHr2D2E2F_000000342937_25	vRhyme_bin_11__MHr2D2E2F_000000342937	MHr2D2E2F_vRhyme_bin_11	regulatory	high	true	groES, HSPE1; chaperonin GroES	K04078	groES, HSPE1; chaperonin GroES			PF00166.27	Chaperonin 10 Kd subunit							phrog_3188	co-chaperonin GroES	K04078	groES, HSPE1; chaperonin GroES	KEGG
vRhyme_bin_1__BAr2D2E2F_000000370749_12	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	regulatory	high	true	single strand DNA binding protein	K03111	ssb; single-strand DNA-binding protein			PF00436.32	Single-strand binding protein family							phrog_44	single strand DNA binding protein	phrog_44	single strand DNA binding protein	PHROG
vRhyme_bin_1__BAr2D2E2F_000000370749_39	vRhyme_bin_1__BAr2D2E2F_000000370749	BAr2D2E2F_vRhyme_bin_1	regulatory	high	true	lexA; repressor LexA [EC:3.4.21.88]	K01356	lexA; repressor LexA [EC:3.4.21.88]			PF00717.29	Peptidase S24-like									K01356	lexA; repressor LexA [EC:3.4.21.88]	KEGG
vRhyme_unbinned_16__MGr3G3H3I_000000046301_8	vRhyme_unbinned_16__MGr3G3H3I_000000046301	vRhyme_unbinned_16__MGr3G3H3I_000000046301	regulatory	high	true	late transcriptional activator													phrog_836	late transcriptional activator	phrog_836	late transcriptional activator	PHROG
vRhyme_unbinned_37__MGr3G3H3I_000000135683_12	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	regulatory	high	true	SMARCAL1, HARP; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:5.6.2.-]	K14440	SMARCAL1, HARP; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:5.6.2.-]	HMMsoil50354	ENTPD2; adenosinetriphosphatase [EC:3.6.1.-]	PF00176.30	SNF2-related domain									K14440	SMARCAL1, HARP; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:5.6.2.-]	KEGG
vRhyme_unbinned_37__MGr3G3H3I_000000135683_13	vRhyme_unbinned_37__MGr3G3H3I_000000135683	vRhyme_unbinned_37__MGr3G3H3I_000000135683	regulatory	high	true	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	K03497	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein											phrog_3264	ParB-like partition protein	K03497	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	KEGG
vRhyme_unbinned_39__MGr3G3H3I_000000139510_17	vRhyme_unbinned_39__MGr3G3H3I_000000139510	vRhyme_unbinned_39__MGr3G3H3I_000000139510	regulatory	high	true	SMARCAL1, HARP; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:5.6.2.-]	K14440	SMARCAL1, HARP; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:5.6.2.-]			PF00176.30	SNF2-related domain									K14440	SMARCAL1, HARP; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:5.6.2.-]	KEGG
vRhyme_unbinned_3__MGr3G3H3I_000000009885_15	vRhyme_unbinned_3__MGr3G3H3I_000000009885	vRhyme_unbinned_3__MGr3G3H3I_000000009885	regulatory	high	true	RNA-binding protein					PF12961.14	Domain of unknown function (DUF3850)							phrog_986	RNA-binding protein	phrog_986	RNA-binding protein	PHROG
vRhyme_unbinned_3__MGr3G3H3I_000000009885_5	vRhyme_unbinned_3__MGr3G3H3I_000000009885	vRhyme_unbinned_3__MGr3G3H3I_000000009885	regulatory	high	true	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	K03497	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein											phrog_18726	""	K03497	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	KEGG
vRhyme_unbinned_41__MGr3G3H3I_000000142568_15	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	regulatory	high	true	repA; regulatory protein RepA	K07505	repA; regulatory protein RepA			PF13481.13	AAA domain							phrog_25693	""	phrog_25693	""	PHROG
vRhyme_unbinned_62__MGr3G3H3I_000000188077_25	vRhyme_unbinned_62__MGr3G3H3I_000000188077	vRhyme_unbinned_62__MGr3G3H3I_000000188077	regulatory	high	true	late transcriptional activator													phrog_836	late transcriptional activator	phrog_836	late transcriptional activator	PHROG
vRhyme_unbinned_81__MGr3G3H3I_000000246984_4	vRhyme_unbinned_81__MGr3G3H3I_000000246984	vRhyme_unbinned_81__MGr3G3H3I_000000246984	regulatory	high	false	groES, HSPE1; chaperonin GroES	K04078	groES, HSPE1; chaperonin GroES			PF00166.27	Chaperonin 10 Kd subunit							phrog_3188	co-chaperonin GroES	K04078	groES, HSPE1; chaperonin GroES	KEGG
vRhyme_unbinned_82__MGr3G3H3I_000000255661_3	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	regulatory	high	true	groES, HSPE1; chaperonin GroES	K04078	groES, HSPE1; chaperonin GroES			PF00166.27	Chaperonin 10 Kd subunit									K04078	groES, HSPE1; chaperonin GroES	KEGG
vRhyme_unbinned_82__MGr3G3H3I_000000255661_5	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	regulatory	high	true	groEL, HSPD1, HSP60, CPN60; chaperonin GroEL [EC:5.6.1.7]	K04077	groEL, HSPD1, HSP60, CPN60; chaperonin GroEL [EC:5.6.1.7]			PF00118.30	TCP-1/cpn60 chaperonin family							phrog_5725	chaperonin groEL	K04077	groEL, HSPD1, HSP60, CPN60; chaperonin GroEL [EC:5.6.1.7]	KEGG
vRhyme_unbinned_91__MGr3G3H3I_000000294607_14	vRhyme_unbinned_91__MGr3G3H3I_000000294607	vRhyme_unbinned_91__MGr3G3H3I_000000294607	regulatory	high	true	groES, HSPE1; chaperonin GroES	K04078	groES, HSPE1; chaperonin GroES													K04078	groES, HSPE1; chaperonin GroES	KEGG
vRhyme_bin_11__MHr2D2E2F_000000121636_5	vRhyme_bin_11__MHr2D2E2F_000000121636	MHr2D2E2F_vRhyme_bin_11	regulatory	medium	true	Global regulator protein family					PF02599.22	Global regulator protein family							phrog_9500	CsrA-like regulator	PF02599	Global regulator protein family	Pfam
vRhyme_bin_12__LABRr1A1B1C_000000124220_15	vRhyme_bin_12__LABRr1A1B1C_000000124220	LABRr1A1B1C_vRhyme_bin_12	regulatory	medium	true	higA; HTH-type transcriptional regulator / antitoxin HigA	K18831	higA; HTH-type transcriptional regulator / antitoxin HigA											phrog_2439	transcriptional regulator	K18831	higA; HTH-type transcriptional regulator / antitoxin HigA	KEGG
vRhyme_bin_1__BAr2D2E2F_000000009081_14	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	regulatory	medium	true	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	K03497	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein											phrog_25613	""	phrog_25613	""	PHROG
vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337_2	vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337	vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337	regulatory	medium	true	transcriptional repressor													phrog_4	transcriptional repressor	phrog_4	transcriptional repressor	PHROG
vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337_21	vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337	vRhyme_unbinned_108__MGr3G3H3I_000000219853|provirus_7900_28337	regulatory	medium	true	DNA binding protein													phrog_1305	DNA binding protein	phrog_1305	DNA binding protein	PHROG
vRhyme_unbinned_16__MGr3G3H3I_000000046301_1	vRhyme_unbinned_16__MGr3G3H3I_000000046301	vRhyme_unbinned_16__MGr3G3H3I_000000046301	regulatory	medium	true	uvrY, gacA, varA; two-component system, NarL family, invasion response regulator UvrY	K07689	uvrY, gacA, varA; two-component system, NarL family, invasion response regulator UvrY	HMMsoil96567	narX; two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX [EC:2.7.13.3]; narQ; two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ [EC:2.7.13.3]	PF00072.31	Response regulator receiver domain							phrog_731	""	K07689	uvrY, gacA, varA; two-component system, NarL family, invasion response regulator UvrY	KEGG
vRhyme_unbinned_32__MGr3G3H3I_000000112980_9	vRhyme_unbinned_32__MGr3G3H3I_000000112980	vRhyme_unbinned_32__MGr3G3H3I_000000112980	regulatory	medium	true	transcriptional regulator													phrog_2439	transcriptional regulator	phrog_2439	transcriptional regulator	PHROG
vRhyme_unbinned_85__MGr3G3H3I_000000273023_1	vRhyme_unbinned_85__MGr3G3H3I_000000273023	vRhyme_unbinned_85__MGr3G3H3I_000000273023	regulatory	medium	true	flgR; two-component system, NtrC family, response regulator	K02481	flgR; two-component system, NtrC family, response regulator			PF00158.33	Sigma-54 interaction domain							phrog_7998	""	K02481	flgR; two-component system, NtrC family, response regulator	KEGG
vRhyme_bin_11__MHr2D2E2F_000000049988_25	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	regulatory	low	true	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]			HMMsoil22408	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	PF00072.31	Response regulator receiver domain									HMMsoil22408	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	FOAM
vRhyme_unbinned_21__MGr3G3H3I_000000062622_11	vRhyme_unbinned_21__MGr3G3H3I_000000062622	vRhyme_unbinned_21__MGr3G3H3I_000000062622	regulatory	low	true	transcriptional regulator													phrog_2439	transcriptional regulator	phrog_2439	transcriptional regulator	PHROG
vRhyme_unbinned_29__MGr3G3H3I_000000101571_4	vRhyme_unbinned_29__MGr3G3H3I_000000101571	vRhyme_unbinned_29__MGr3G3H3I_000000101571	regulatory	low	true	rfaH; transcriptional antiterminator RfaH	K05785	rfaH; transcriptional antiterminator RfaH			PF02357.25	Transcription termination factor nusG							phrog_6386	transcription antiterminator	K05785	rfaH; transcriptional antiterminator RfaH	KEGG
vRhyme_unbinned_31__MGr3G3H3I_000000103998_1	vRhyme_unbinned_31__MGr3G3H3I_000000103998	vRhyme_unbinned_31__MGr3G3H3I_000000103998	regulatory	low	true	evgS, bvgS; two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]	K07679	evgS, bvgS; two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]	HMMsoil470	hk1; two-component system, glycerol uptake and utilization sensor kinase [EC:2.7.13.3]									phrog_20458	""	K07679	evgS, bvgS; two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]	KEGG
vRhyme_unbinned_45__MGr3G3H3I_000000148917_2	vRhyme_unbinned_45__MGr3G3H3I_000000148917	vRhyme_unbinned_45__MGr3G3H3I_000000148917	regulatory	low	true	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein	K03497	parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein			PF07506.18	RepB plasmid partitioning protein							phrog_3951	""	phrog_3951	""	PHROG
vRhyme_unbinned_53__MGr3G3H3I_000000162938_3	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	regulatory	low	true	K02483; two-component system, OmpR family, response regulator	K02483	K02483; two-component system, OmpR family, response regulator											phrog_731	""	K02483	K02483; two-component system, OmpR family, response regulator	KEGG
vRhyme_bin_11__LABRr1A1B1C_000000014874_1	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000014874_10	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000014874_11	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000014874_12	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000014874_13	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000014874_14	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000014874_15	vRhyme_bin_11__LABRr1A1B1C_000000014874	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
