Protein	Contig	Genome	Protein Viral Origin Confidence	Protein in Strict Viral Region	Function	category_L1	category_L2	category_L3
vRhyme_unbinned_53__MGr3G3H3I_000000162938_6	vRhyme_unbinned_53__MGr3G3H3I_000000162938	vRhyme_unbinned_53__MGr3G3H3I_000000162938	medium	true	aroK, aroL; shikimate kinase [EC:2.7.1.71]	Amino acid metabolism	Aromatic amino acid metabolism (Phe / Tyr / Trp)	
vRhyme_unbinned_88__MGr3G3H3I_000000288833_90	vRhyme_unbinned_88__MGr3G3H3I_000000288833	vRhyme_unbinned_88__MGr3G3H3I_000000288833	medium	true	dTDP-4-dehydrorhamnose 3,5-epimerase	Other		
vRhyme_bin_11__LABRr1A1B1C_000000203956_1	vRhyme_bin_11__LABRr1A1B1C_000000203956	LABRr1A1B1C_vRhyme_bin_11	low	false	Ribulose-phosphate 3 epimerase family	Carbohydrate metabolism	Carbohydrate metabolism (other)	
vRhyme_bin_11__MGr3G3H3I_000000044066_1	vRhyme_bin_11__MGr3G3H3I_000000044066	MGr3G3H3I_vRhyme_bin_11	low	false	ABC.CD.P; putative ABC transport system permease protein	Metabolic substrate transport	ABC-type transport	
vRhyme_bin_11__MHr2D2E2F_000000167594_5	vRhyme_bin_11__MHr2D2E2F_000000167594	MHr2D2E2F_vRhyme_bin_11	low	false	ABC.SN.P; NitT/TauT family transport system permease protein	Metabolic substrate transport	Substrate transport (other)	
vRhyme_bin_11__MHr2D2E2F_000000167594_5	vRhyme_bin_11__MHr2D2E2F_000000167594	MHr2D2E2F_vRhyme_bin_11	low	false	ABC.SN.P; NitT/TauT family transport system permease protein	Metabolic substrate transport	ABC-type transport	
vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970_22	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	low	false	typA, bipA; GTP-binding protein	Other		
vRhyme_unbinned_105__MGr3G3H3I_000000182691|provirus_17376_26434_1	vRhyme_unbinned_105__MGr3G3H3I_000000182691|provirus_17376_26434	vRhyme_unbinned_105__MGr3G3H3I_000000182691|provirus_17376_26434	low	false	ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]	Cofactor & vitamin metabolism	Riboflavin / FAD metabolism	
vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090_15	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	low	false	Iron reduction	Other inorganic element cycling	Iron reduction	
vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090_15	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	low	false	Iron reduction	Energy metabolism	Iron reduction	
vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090_2	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	low	false	iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]	Amino acid metabolism	Cysteine / methionine metabolism	
vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090_2	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	vRhyme_unbinned_110__MGr3G3H3I_000000249059|provirus_16350_47090	low	false	iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]	Cofactor & vitamin metabolism	Thiamine metabolism	
vRhyme_unbinned_28__MGr3G3H3I_000000090299_18	vRhyme_unbinned_28__MGr3G3H3I_000000090299	vRhyme_unbinned_28__MGr3G3H3I_000000090299	low	false	ptsN; nitrogen PTS system EIIA component [EC:2.7.1.-]	Carbohydrate metabolism	Sugar interconversion	
vRhyme_unbinned_28__MGr3G3H3I_000000090299_18	vRhyme_unbinned_28__MGr3G3H3I_000000090299	vRhyme_unbinned_28__MGr3G3H3I_000000090299	low	false	ptsN; nitrogen PTS system EIIA component [EC:2.7.1.-]	Metabolic substrate transport	PTS / phosphotransferase transport	
vRhyme_unbinned_28__MGr3G3H3I_000000090299_18	vRhyme_unbinned_28__MGr3G3H3I_000000090299	vRhyme_unbinned_28__MGr3G3H3I_000000090299	low	false	ptsN; nitrogen PTS system EIIA component [EC:2.7.1.-]	Carbohydrate metabolism	Polysaccharide / complex carbon degradation	
vRhyme_unbinned_28__MGr3G3H3I_000000090299_18	vRhyme_unbinned_28__MGr3G3H3I_000000090299	vRhyme_unbinned_28__MGr3G3H3I_000000090299	low	false	ptsN; nitrogen PTS system EIIA component [EC:2.7.1.-]	Carbohydrate metabolism	Starch	
vRhyme_unbinned_31__MGr3G3H3I_000000103998_23	vRhyme_unbinned_31__MGr3G3H3I_000000103998	vRhyme_unbinned_31__MGr3G3H3I_000000103998	low	false	NADH dehydrogenase ubiquinone Fe-S protein 4	Energy metabolism	Oxidative phosphorylation / ETC	
vRhyme_unbinned_31__MGr3G3H3I_000000103998_26	vRhyme_unbinned_31__MGr3G3H3I_000000103998	vRhyme_unbinned_31__MGr3G3H3I_000000103998	low	false	rocD, OAT; ornithine--oxo-acid transaminase [EC:2.6.1.13]	Amino acid metabolism	Arginine / proline metabolism	
