Protein	Contig	Genome	Function	KEGG_hmm_id	FOAM_hmm_id	Pfam_hmm_id	dbCAN_hmm_id	METABOLIC_hmm_id	CAMPER_hmm_id	PHROG_hmm_id	KEGG_score	FOAM_score	Pfam_score	dbCAN_score	METABOLIC_score	CAMPER_score	PHROG_score	KEGG_coverage	FOAM_coverage	Pfam_coverage	dbCAN_coverage	METABOLIC_coverage	CAMPER_coverage	PHROG_coverage	KEGG_V-score	Pfam_V-score	PHROG_V-score	Viral_Flanking_Genes_Left_Dist	Viral_Flanking_Genes_Right_Dist	MGE_Flanking_Genes_Left_Dist	MGE_Flanking_Genes_Right_Dist	step5_in_merged_region	nonviral_region_pos	Viral_Origin_Confidence	KEGG_Description	FOAM_Description	Pfam_Description	dbCAN_Description	METABOLIC_Description	CAMPER_Description	PHROG_Description	top_hit_hmm_id	top_hit_description	top_hit_db	protein_in_ambig_region
vRhyme_bin_1__BAr2D2E2F_000000009081_30	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1																										3204.0		9489.0		false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000009081_31	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1								phrog_2319							114.837952							0.543859649122807				3597.0		9882.0		false		medium							""	phrog_2319	""	PHROG	true
vRhyme_bin_1__BAr2D2E2F_000000011539_1	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																											879.0			false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000011539_2	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																											591.0			false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000011539_3	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																											285.0			false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000011539_4	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	PDF, def; peptide deformylase [EC:3.5.1.88]	K01462		PF01327.27				phrog_2890	117.592163		100.715561				101.850868	0.5357142857142857		0.9743589743589743				0.96	10.0	10.0	10.0		717.0			true		low	PDF, def; peptide deformylase [EC:3.5.1.88]		Polypeptide deformylase				peptide deformylase	K01462	PDF, def; peptide deformylase [EC:3.5.1.88]	KEGG	false
vRhyme_bin_1__BAr2D2E2F_000000011539_5	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										525.0	192.0			true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000011539_6	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	udg; uracil-DNA glycosylase [EC:3.2.2.27]	K21929	HMMsoil968	PF03167.26					248.142166	99.764091	139.167999					0.590625	0.9927536231884058	1.0					10.0	10.0	10.0	717.0	5196.0			true		medium	udg; uracil-DNA glycosylase [EC:3.2.2.27]	dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]	Uracil DNA glycosylase superfamily					K21929	udg; uracil-DNA glycosylase [EC:3.2.2.27]	KEGG	false
vRhyme_bin_1__BAr2D2E2F_000000011539_7	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										888.0	4308.0			true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000011539_8	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										1092.0	4104.0			true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000011539_9	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										1314.0	3882.0			true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000011539_10	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										1953.0	3243.0			true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000011539_11	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										2211.0	2985.0			true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000011539_12	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																							7.18	5.92	0.61	2493.0	2703.0			true		low											false
vRhyme_bin_1__BAr2D2E2F_000000011539_13	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										3387.0	1809.0			true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000011539_14	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										3603.0	1593.0			true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000011539_15	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										3960.0	1236.0			true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000011539_16	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										4167.0	1029.0			true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000011539_17	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										4707.0	489.0			true		medium											false
vRhyme_bin_1__BAr2D2E2F_000000011539_18	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																							10.0	10.0		5196.0				true		low											false
vRhyme_bin_1__BAr2D2E2F_000000011539_19	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										414.0				false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000011539_20	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1								phrog_1574							62.378643							0.7208333333333333				1560.0				false		medium							""	phrog_1574	""	PHROG	true
vRhyme_bin_1__BAr2D2E2F_000000011539_21	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										2316.0				false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000011539_22	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																							8.12	9.08		2721.0				false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000011539_23	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										3237.0				false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000011539_24	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										3603.0				false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000011539_25	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										4023.0				false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000011539_26	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										4497.0				false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000011539_27	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										4803.0				false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000011539_28	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										5007.0				false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000011539_29	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										5304.0				false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000011539_30	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										6039.0				false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000011539_31	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										6390.0				false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000011539_32	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										6747.0				false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000011539_33	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										6909.0				false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000011539_34	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1																										7239.0				false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000017828_1	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																											2634.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_2	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																											2280.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_3	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																											1647.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_4	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																											1410.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_5	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																											204.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_6	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																								10.0			23343.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_7	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										519.0	22824.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_8	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										879.0	22464.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_9	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										1158.0	22185.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_10	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										1440.0	21903.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_11	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										2331.0	21012.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_12	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										3132.0	20211.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_13	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										3852.0	19491.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_14	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										4578.0	18765.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_15	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										5571.0	17772.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_16	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										7125.0	16218.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_17	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										7698.0	15645.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_18	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										8655.0	14688.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_19	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										9033.0	14310.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_20	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										9399.0	13944.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_21	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										10833.0	12510.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_22	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										11286.0	12057.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_23	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										12291.0	11052.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_24	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										13167.0	10176.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_25	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										13368.0	9975.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_26	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										14502.0	8841.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_27	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										16266.0	7077.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_28	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										16845.0	6498.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_29	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										17859.0	5484.0			false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000017828_30	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										18282.0	5061.0			false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000017828_31	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										19089.0	4254.0			false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000017828_32	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										19419.0	3924.0			false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000017828_33	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										21546.0	1797.0			false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000017828_34	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										21636.0	1707.0			false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000017828_35	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										22170.0	1173.0			false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000017828_36	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										22833.0	510.0			false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000017828_37	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	radA, sms; DNA repair protein RadA/Sms	K04485							124.629715							0.4343257443082312							10.0	10.0	0.79	23343.0	5094.0			false		medium	radA, sms; DNA repair protein RadA/Sms							K04485	radA, sms; DNA repair protein RadA/Sms	KEGG	true
vRhyme_bin_1__BAr2D2E2F_000000017828_38	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										885.0	4209.0			false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000017828_39	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										1581.0	3513.0			false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000017828_40	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										2433.0	2661.0			false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000017828_41	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										3468.0	1626.0			false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000017828_42	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										3654.0	1440.0			false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000017828_43	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	pyrophosphatase							phrog_3301							124.370811							0.7159763313609467				4113.0	981.0			false		medium							pyrophosphatase	phrog_3301	pyrophosphatase	PHROG	true
vRhyme_bin_1__BAr2D2E2F_000000017828_44	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										4515.0	579.0			false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000017828_45	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										4782.0	312.0			false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000017828_46	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1								phrog_18865							144.295288							0.5956284153005464	7.32	10.0	10.0	5094.0				false		medium							""	phrog_18865	""	PHROG	true
vRhyme_bin_1__BAr2D2E2F_000000017828_47	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										378.0				false		high											true
vRhyme_bin_1__BAr2D2E2F_000000017828_48	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										588.0				false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000017828_49	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										1323.0				false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000017828_50	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1																										1497.0				false		medium											true
vRhyme_bin_1__BAr2D2E2F_000000026327_1	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1																											2607.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000026327_2	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1																											2136.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000026327_3	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1																											1905.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000026327_4	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1																											603.0			false		high											true
vRhyme_bin_1__BAr2D2E2F_000000026327_5	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1				PF08719.18				phrog_1017			144.355331				146.121429			0.9386503067484663				0.8764705882352941	10.0	10.0	10.0		5931.0			true		high			NADAR domain				""	phrog_1017	""	PHROG	false
vRhyme_bin_1__BAr2D2E2F_000000026327_6	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1																										519.0	5412.0			true		high											false
vRhyme_bin_1__BAr2D2E2F_000000026327_7	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1																										990.0	4941.0			true		high											false
vRhyme_bin_1__BAr2D2E2F_000000026327_8	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1																										1254.0	4677.0			true		high											false
vRhyme_bin_1__BAr2D2E2F_000000026327_9	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1																										1896.0	4035.0			true		high											false
vRhyme_bin_1__BAr2D2E2F_000000026327_10	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1																										2331.0	3600.0			true		high											false
vRhyme_bin_1__BAr2D2E2F_000000026327_11	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1																										2535.0	3396.0			true		high											false
vRhyme_bin_1__BAr2D2E2F_000000026327_12	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1																										3411.0	2520.0			true		high											false
vRhyme_bin_1__BAr2D2E2F_000000026327_13	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1																										4107.0	1824.0			true		high											false
vRhyme_bin_1__BAr2D2E2F_000000026327_14	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1																										4227.0	1704.0			true		high											false
vRhyme_bin_1__BAr2D2E2F_000000026327_15	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1																										4446.0	1485.0			true		high											false
