Protein	Contig	Genome	Viral Probability (annotate)	Viral Confidence Level (annotate)	Viral Probability (de-novo)	Viral Confidence Level (de-novo)	Classification (annotate)	Function (annotate)	AVG-like Probability (de-novo)	AVG-like Confidence Level (de-novo)	Final AVG Probability (de-novo)	Final AVG Confidence Level (de-novo)
vRhyme_bin_1__BAr2D2E2F_000000009081_21	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.8913924	medium	1.0	very high	unclassified	acm; lysozyme	0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_22	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.33287972	low	1.0	very high	unclassified	DNA methyltransferase	0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_23	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.36006263	low	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_24	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.3956783	low	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_25	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.47823676	low	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_26	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.50267833	low	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_27	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.51535374	low	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_28	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.17851932	low	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_29	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.5292505	low	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_30	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.6211683	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000009081_31	vRhyme_bin_1__BAr2D2E2F_000000009081	BAr2D2E2F_vRhyme_bin_1	0.6131624	medium	1.0	very high	unclassified	""	0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_1	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.7631208	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_2	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.7397611	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_3	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.71846753	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_4	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.41156095	low	1.0	very high	unclassified	PDF, def; peptide deformylase [EC:3.5.1.88]	0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_5	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.829275	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_6	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.7626073	medium	0.9436	high	unclassified	udg; uracil-DNA glycosylase [EC:3.2.2.27]	0.9524	very high	0.8987	high
vRhyme_bin_1__BAr2D2E2F_000000011539_7	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.79472774	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_8	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.7789002	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_9	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.7999263	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_10	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.82031095	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_11	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.8105715	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_12	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.5501106	low	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_13	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.8747842	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_14	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.8569056	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_15	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.8639545	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_16	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.8676951	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_17	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.84519607	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_18	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.48252496	low	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_19	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.8005252	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_20	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.8226733	medium	1.0	very high	unclassified	""	0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_21	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.8701398	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_22	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.7464214	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_23	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.8829341	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_24	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.88571334	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_25	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.8962724	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_26	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.893614	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_27	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.9025942	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_28	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.8674597	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_29	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.872783	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_30	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.8506706	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_31	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.85400414	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_32	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.8721503	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_33	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.8721503	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000011539_34	vRhyme_bin_1__BAr2D2E2F_000000011539	BAr2D2E2F_vRhyme_bin_1	0.8796219	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_1	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.92073107	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_2	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.9277912	high	1.0	very high	unclassified		0.4601	high	0.4601	high
vRhyme_bin_1__BAr2D2E2F_000000017828_3	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.931579	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_4	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.9318476	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_5	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.93055046	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_6	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.96796703	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_7	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.9844857	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_8	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.97917384	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_9	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.9796394	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_10	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.97962785	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_11	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.9700709	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_12	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.97574615	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_13	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.9299013	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_14	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.9316573	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_15	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.97471434	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_16	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.9741515	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_17	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.9771816	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_18	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.966465	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_19	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.96691656	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_20	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.9683861	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_21	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.9150161	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_22	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.9204863	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_23	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.9282246	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_24	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.9243337	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_25	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.9196831	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_26	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.9319587	high	0.9028	high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_27	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.93445647	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_28	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.9156381	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_29	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.91099155	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_30	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.82138515	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_31	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.8232392	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_32	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.83321637	medium	0.9476	high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_33	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.73951936	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_34	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.7465744	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_35	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.71624494	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_36	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.7126664	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_37	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.8827985	medium	1.0	very high	unclassified	radA, sms; DNA repair protein RadA/Sms	0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_38	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.79101545	medium	1.0	very high	unclassified		0.0482	low	0.0482	low
vRhyme_bin_1__BAr2D2E2F_000000017828_39	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.84313124	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_40	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.8200304	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_41	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.7866617	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_42	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.7752959	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_43	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.74849254	medium	1.0	very high	unclassified	pyrophosphatase	0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_44	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.7025629	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_45	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.704481	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_46	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.7878869	medium	1.0	very high	unclassified	""	0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_47	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.9327281	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_48	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.9126987	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_49	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.90975267	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000017828_50	vRhyme_bin_1__BAr2D2E2F_000000017828	BAr2D2E2F_vRhyme_bin_1	0.897764	medium	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_1	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	0.9879197	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_2	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	0.9865736	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_3	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	0.9863692	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_4	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	0.98208106	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_5	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	0.9875613	high	1.0	very high	unclassified	""	0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_6	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	0.9859587	high	0.9553	high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_7	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	0.9865426	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_8	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	0.9888523	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_9	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	0.9881608	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_10	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	0.99037004	high	1.0	very high	unclassified		0.0	low	0.0	low
vRhyme_bin_1__BAr2D2E2F_000000026327_11	vRhyme_bin_1__BAr2D2E2F_000000026327	BAr2D2E2F_vRhyme_bin_1	0.9894481	high	1.0	very high	unclassified		0.0	low	0.0	low
